TECH,Date
0.18488352000713348,1991-02-13
0.18488352000713348,1991-02-14
0.18488352000713348,1991-02-15
0.19148699939250946,1991-02-19
0.19148699939250946,1991-02-20
0.19148699939250946,1991-02-21
0.20469297468662262,1991-02-22
0.211295485496521,1991-02-25
0.211295485496521,1991-02-26
0.211295485496521,1991-02-27
0.211295485496521,1991-02-28
0.20469297468662262,1991-03-01
0.20469297468662262,1991-03-04
0.211295485496521,1991-03-05
0.211295485496521,1991-03-06
0.2178988754749298,1991-03-07
0.23110485076904297,1991-03-08
0.23110485076904297,1991-03-11
0.23110485076904297,1991-03-12
0.23110485076904297,1991-03-13
0.23110485076904297,1991-03-14
0.23110485076904297,1991-03-15
0.23110485076904297,1991-03-18
0.23110485076904297,1991-03-19
0.2178988754749298,1991-03-20
0.23110485076904297,1991-03-21
0.25751686096191406,1991-03-22
0.270722895860672,1991-03-25
0.26411935687065125,1991-03-26
0.26411935687065125,1991-03-27
0.26411935687065125,1991-03-28
0.26411935687065125,1991-04-01
0.25751686096191406,1991-04-02
0.25751686096191406,1991-04-03
0.25751686096191406,1991-04-04
0.25751686096191406,1991-04-05
0.25751686096191406,1991-04-08
0.25751686096191406,1991-04-09
0.270722895860672,1991-04-10
0.29713472723960876,1991-04-11
0.31694331765174866,1991-04-12
0.31694331765174866,1991-04-15
0.29713472723960876,1991-04-16
0.29713472723960876,1991-04-17
0.29713472723960876,1991-04-18
0.29053130745887756,1991-04-19
0.270722895860672,1991-04-22
0.2773253619670868,1991-04-23
0.2773253619670868,1991-04-24
0.2773253619670868,1991-04-25
0.2773253619670868,1991-04-26
0.29053130745887756,1991-04-29
0.29053130745887756,1991-04-30
0.3037374019622803,1991-05-01
0.3037374019622803,1991-05-02
0.31694331765174866,1991-05-03
0.3103407323360443,1991-05-06
0.3037374019622803,1991-05-07
0.3037374019622803,1991-05-08
0.3103407323360443,1991-05-09
0.3103407323360443,1991-05-10
0.3037374019622803,1991-05-13
0.2839287519454956,1991-05-14
0.2839287519454956,1991-05-15
0.2839287519454956,1991-05-16
0.2839287519454956,1991-05-17
0.2839287519454956,1991-05-20
0.29053130745887756,1991-05-21
0.29053130745887756,1991-05-22
0.29053130745887756,1991-05-23
0.29053130745887756,1991-05-24
0.29053130745887756,1991-05-28
0.29053130745887756,1991-05-29
0.29053130745887756,1991-05-30
0.29053130745887756,1991-05-31
0.29053130745887756,1991-06-03
0.29053130745887756,1991-06-04
0.29053130745887756,1991-06-05
0.29053130745887756,1991-06-06
0.29053130745887756,1991-06-07
0.29053130745887756,1991-06-10
0.29053130745887756,1991-06-11
0.29053130745887756,1991-06-12
0.31694331765174866,1991-06-13
0.33014917373657227,1991-06-14
0.3235466480255127,1991-06-17
0.3235466480255127,1991-06-18
0.3235466480255127,1991-06-19
0.3235466480255127,1991-06-20
0.3235466480255127,1991-06-21
0.3235466480255127,1991-06-24
0.3235466480255127,1991-06-25
0.3235466480255127,1991-06-26
0.3829730451107025,1991-06-27
0.3565611243247986,1991-06-28
0.3565611243247986,1991-07-01
0.3499586284160614,1991-07-02
0.3499586284160614,1991-07-03
0.3499586284160614,1991-07-05
0.3433551788330078,1991-07-08
0.3433551788330078,1991-07-09
0.3565611243247986,1991-07-10
0.3565611243247986,1991-07-11
0.36316460371017456,1991-07-12
0.36976704001426697,1991-07-15
0.36976704001426697,1991-07-16
0.36976704001426697,1991-07-17
0.36976704001426697,1991-07-18
0.36976704001426697,1991-07-19
0.36976704001426697,1991-07-22
0.36976704001426697,1991-07-23
0.36976704001426697,1991-07-24
0.36976704001426697,1991-07-25
0.36976704001426697,1991-07-26
0.36976704001426697,1991-07-29
0.36976704001426697,1991-07-30
0.36976704001426697,1991-07-31
0.37637045979499817,1991-08-01
0.3829730451107025,1991-08-02
0.4159884452819824,1991-08-05
0.422590970993042,1991-08-06
0.422590970993042,1991-08-07
0.43579694628715515,1991-08-08
0.44240042567253113,1991-08-09
0.46220871806144714,1991-08-12
0.4556064009666443,1991-08-13
0.4556064009666443,1991-08-14
0.46220871806144714,1991-08-15
0.4556064009666443,1991-08-16
0.42919445037841797,1991-08-19
0.4820181727409363,1991-08-20
0.5480480194091797,1991-08-21
0.5150328278541565,1991-08-22
0.5282387137413025,1991-08-23
0.5282387137413025,1991-08-26
0.5282387137413025,1991-08-27
0.5282387137413025,1991-08-28
0.5282387137413025,1991-08-29
0.5282387137413025,1991-08-30
0.5282387137413025,1991-09-03
0.5282387137413025,1991-09-04
0.5018270611763,1991-09-05
0.46881231665611267,1991-09-06
0.44240042567253113,1991-09-09
0.4159884452819824,1991-09-10
0.42919445037841797,1991-09-11
0.46881231665611267,1991-09-12
0.46881231665611267,1991-09-13
0.5018270611763,1991-09-16
0.5018270611763,1991-09-17
0.5282387137413025,1991-09-18
0.5414448380470276,1991-09-19
0.5282387137413025,1991-09-20
0.5348420739173889,1991-09-23
0.5150328278541565,1991-09-24
0.5018270611763,1991-09-25
0.5084301233291626,1991-09-26
0.5084301233291626,1991-09-27
0.5084301233291626,1991-09-30
0.5150328278541565,1991-10-01
0.5282387137413025,1991-10-02
0.5282387137413025,1991-10-03
0.5282387137413025,1991-10-04
0.5150328278541565,1991-10-07
0.5150328278541565,1991-10-08
0.5150328278541565,1991-10-09
0.5084301233291626,1991-10-10
0.5084301233291626,1991-10-11
0.5150328278541565,1991-10-14
0.56125408411026,1991-10-15
0.5942687392234802,1991-10-16
0.5810626149177551,1991-10-17
0.5942687392234802,1991-10-18
0.6008721590042114,1991-10-21
0.6008721590042114,1991-10-22
0.6074748039245605,1991-10-23
0.5678565502166748,1991-10-24
0.5348420739173889,1991-10-25
0.5480480194091797,1991-10-28
0.5810626149177551,1991-10-29
0.6074748039245605,1991-10-30
0.6206807494163513,1991-10-31
0.6206807494163513,1991-11-01
0.6206807494163513,1991-11-04
0.6008721590042114,1991-11-05
0.6074748039245605,1991-11-06
0.640489935874939,1991-11-07
0.640489935874939,1991-11-08
0.6470924615859985,1991-11-11
0.693313717842102,1991-11-12
0.6867103576660156,1991-11-13
0.6470924615859985,1991-11-14
0.587666392326355,1991-11-15
0.56125408411026,1991-11-18
0.5150328278541565,1991-11-19
0.5480480194091797,1991-11-20
