SPLK,Date
89.91000366210938,2018-10-26
93.0999984741211,2018-10-29
95.45999908447266,2018-10-30
99.83999633789062,2018-10-31
103.0199966430664,2018-11-01
105.43000030517578,2018-11-02
101.13999938964844,2018-11-05
94.94000244140625,2018-11-06
101.73999786376953,2018-11-07
101.7300033569336,2018-11-08
98.54000091552734,2018-11-09
96.36000061035156,2018-11-12
97.47000122070312,2018-11-13
97.76000213623047,2018-11-14
101.63999938964844,2018-11-15
100.5199966430664,2018-11-16
89.2699966430664,2018-11-19
87.87000274658203,2018-11-20
92.66000366210938,2018-11-21
92.56999969482422,2018-11-23
95.62000274658203,2018-11-26
92.45999908447266,2018-11-27
99.13999938964844,2018-11-28
101.62999725341797,2018-11-29
111.7300033569336,2018-11-30
110.06999969482422,2018-12-03
108.0199966430664,2018-12-04
111.0999984741211,2018-12-06
105.66000366210938,2018-12-07
108.4000015258789,2018-12-10
106.29000091552734,2018-12-11
109.4000015258789,2018-12-12
107.76000213623047,2018-12-13
105.26000213623047,2018-12-14
100.56999969482422,2018-12-17
102.25,2018-12-18
100.31999969482422,2018-12-19
96.55000305175781,2018-12-20
91.8499984741211,2018-12-21
92.72000122070312,2018-12-24
99.7699966430664,2018-12-26
102.73999786376953,2018-12-27
102.79000091552734,2018-12-28
104.8499984741211,2018-12-31
103.31999969482422,2019-01-02
100.80999755859375,2019-01-03
108.04000091552734,2019-01-04
112.9000015258789,2019-01-07
115.08999633789062,2019-01-08
115.91000366210938,2019-01-09
116.69999694824219,2019-01-10
117.16999816894531,2019-01-11
114.31999969482422,2019-01-14
117.87999725341797,2019-01-15
116.79000091552734,2019-01-16
118.55000305175781,2019-01-17
120.72000122070312,2019-01-18
118.9800033569336,2019-01-22
119.44000244140625,2019-01-23
119.94999694824219,2019-01-24
