MCD,Date
0.14919233322143555,1967-03-14
0.15054439008235931,1967-03-15
0.15955935418605804,1967-03-16
0.15865780413150787,1967-03-17
0.1532488465309143,1967-03-20
0.15009400248527527,1967-03-21
0.1496431976556778,1967-03-22
0.1496431976556778,1967-03-23
0.1532488465309143,1967-03-27
0.15415042638778687,1967-03-28
0.15415042638778687,1967-03-29
0.1532488465309143,1967-03-30
0.15505166351795197,1967-03-31
0.14784039556980133,1967-04-03
0.15415042638778687,1967-04-04
0.15865780413150787,1967-04-05
0.16316498816013336,1967-04-06
0.15955935418605804,1967-04-07
0.15685485303401947,1967-04-10
0.15955935418605804,1967-04-11
0.16181303560733795,1967-04-12
0.16046060621738434,1967-04-13
0.1658695936203003,1967-04-14
0.1762361228466034,1967-04-17
0.1762361228466034,1967-04-18
