Date,EDCI
2008-02-08,5.8
2008-02-11,5.9
2008-02-12,5.8
2008-02-13,6.0
2008-02-14,5.9
2008-02-15,5.8
2008-02-19,5.8
2008-02-20,5.8
2008-02-21,5.8
2008-02-22,5.8
2008-02-25,5.9
2008-02-26,5.9
2008-02-27,6.1
2008-02-28,6.4
2008-02-29,5.9
2008-03-03,5.6
2008-03-04,5.6
2008-03-05,5.8
2008-03-06,5.4
2008-03-07,5.3
2008-03-10,5.8
2008-03-11,5.4
2008-03-12,5.5
2008-03-13,5.7
2008-03-14,5.4
2008-03-17,5.0
2008-03-18,5.5
2008-03-19,5.4
2008-03-20,5.3
2008-03-24,5.1
2008-03-25,5.4
2008-03-26,5.0
2008-03-27,5.3
2008-03-28,5.3
2008-03-31,5.1
2008-04-01,5.2
2008-04-02,5.4
2008-04-03,5.5
2008-04-04,5.4
2008-04-07,5.5
2008-04-08,5.7
2008-04-09,5.6
2008-04-10,5.7
2008-04-11,5.7
2008-04-14,5.6
2008-04-15,5.4
2008-04-16,5.6
2008-04-17,5.4
2008-04-18,5.6
2008-04-21,5.4
2008-04-22,5.5
2008-04-23,5.4
2008-04-24,5.4
2008-04-25,5.3
2008-04-28,5.3
2008-04-29,5.3
2008-04-30,5.3
2008-05-01,5.0
2008-05-02,4.9
2008-05-05,4.9
2008-05-06,4.8
2008-05-07,5.0
2008-05-08,4.9
2008-05-09,4.9
2008-05-12,5.1
2008-05-13,5.0
2008-05-14,4.5
2008-05-15,4.4
2008-05-16,4.4
2008-05-19,4.3
2008-05-20,4.1
2008-05-21,4.3
2008-05-22,4.6
2008-05-23,4.5
2008-05-27,4.3
2008-05-28,4.6
2008-05-29,4.3
2008-05-30,4.5
2008-06-02,4.5
2008-06-03,4.5
2008-06-04,4.4
2008-06-05,4.7
2008-06-06,5.4
2008-06-09,5.0
2008-06-10,5.2
2008-06-11,5.1
2008-06-12,5.3
2008-06-13,5.3
2008-06-16,4.9
2008-06-17,4.9
2008-06-18,4.9
2008-06-19,5.0
2008-06-20,4.9
2008-06-23,4.9
2008-06-24,5.0
2008-06-25,5.0
2008-06-26,4.9
2008-06-27,4.6
2008-06-30,4.9
2008-07-01,5.0
2008-07-02,4.9
2008-07-03,4.7
2008-07-07,5.0
2008-07-08,4.8
2008-07-09,4.5
2008-07-10,4.4
2008-07-11,4.1
2008-07-14,4.2
2008-07-15,4.4
2008-07-16,4.4
2008-07-17,4.4
2008-07-18,4.6
2008-07-21,4.5
2008-07-22,4.4
2008-07-23,4.2
2008-07-24,4.3
2008-07-25,4.4
2008-07-28,4.3
2008-07-29,4.3
2008-07-30,4.4
2008-07-31,4.3
2008-08-01,4.3
2008-08-04,4.5
2008-08-05,4.7
2008-08-06,4.6
2008-08-07,4.5
2008-08-08,4.8
2008-08-11,4.6
2008-08-12,4.2
2008-08-13,4.3
2008-08-14,4.2
2008-08-15,4.3
2008-08-18,4.3
2008-08-19,4.2
2008-08-20,4.3
2008-08-21,4.2
2008-08-22,4.3
2008-08-25,4.2
2008-09-24,3.91
2008-09-25,3.81
2008-09-26,3.88
2008-09-29,3.8
2008-09-30,4.0
2008-10-01,3.71
2008-10-02,3.48
2008-10-03,3.61
2008-10-06,3.5
2008-10-07,3.56
2008-10-08,3.5
2008-10-09,3.74
2008-10-10,3.42
2008-10-13,3.58
2008-10-14,3.67
2008-10-15,3.54
2008-10-16,3.58
2008-10-17,3.42
2008-10-20,3.18
2008-10-21,3.18
2008-10-22,3.0
2008-10-23,2.97
2008-10-24,2.8
2008-10-27,2.92
2008-10-28,3.0
2008-10-29,2.99
2008-10-30,2.84
2008-10-31,3.15
2008-11-03,4.54
2008-11-04,4.96
2008-11-05,4.84
2008-11-06,4.37
2008-11-07,4.76
2008-11-10,4.64
2008-11-11,4.93
2008-11-12,4.52
2008-11-13,4.86
2008-11-14,4.28
2008-11-17,4.11
2008-11-18,4.39
2008-11-19,4.04
2008-11-20,3.95
2008-11-21,4.35
2008-11-24,4.15
2008-11-25,3.86
2008-11-26,3.87
2008-11-28,4.0
2008-12-01,3.94
2008-12-02,3.97
2008-12-03,3.98
2008-12-04,3.88
2008-12-05,3.87
2008-12-08,3.94
2008-12-09,3.94
2008-12-10,3.96
2008-12-11,3.82
2008-12-12,3.58
2008-12-15,3.59
2008-12-16,3.57
2008-12-17,3.61
2008-12-18,3.65
2008-12-19,3.68
2008-12-22,3.52
2008-12-23,3.47
2008-12-24,3.52
2008-12-26,3.33
2008-12-29,3.27
2008-12-30,3.2
2008-12-31,3.6
2009-01-02,3.95
2009-01-05,4.19
2009-01-06,4.43
2009-01-07,4.58
2009-01-08,4.84
2009-01-09,4.67
2009-01-12,4.38
2009-01-13,4.24
2009-01-14,4.05
2009-01-15,3.97
2009-01-16,4.01
2009-01-20,4.07
2009-01-21,4.15
2009-01-22,4.15
2009-01-23,3.81
2009-01-26,3.96
2009-01-27,3.96
2009-01-28,4.02
2009-01-29,3.95
2009-01-30,4.01
2009-02-02,3.98
2009-02-03,3.96
2009-02-04,4.2
2009-02-05,4.2
2009-02-06,4.2
2009-02-09,4.17
2009-02-10,4.1
2009-02-11,4.42
2009-02-12,4.64
2009-02-13,4.51
2009-02-17,4.49
2009-02-18,4.24
2009-02-20,4.1
2009-02-23,4.08
2009-02-24,4.21
2009-02-25,4.12
2009-02-26,4.08
2009-02-27,4.35
2009-03-02,4.2
2009-03-03,4.19
2009-03-04,3.9
2009-03-05,3.95
2009-03-06,4.0
2009-03-09,4.01
2009-03-10,4.03
2009-03-11,4.2
2009-03-12,4.11
2009-03-13,4.12
2009-03-16,4.28
2009-03-17,4.35
2009-03-18,4.15
2009-03-19,4.11
2009-03-20,4.13
2009-03-23,4.11
2009-03-24,4.24
2009-03-25,4.18
2009-03-26,4.2
2009-03-27,4.14
2009-03-30,4.24
2009-03-31,4.19
2009-04-01,4.31
2009-04-02,4.37
2009-04-03,4.38
2009-04-06,4.45
2009-04-07,4.39
2009-04-08,4.34
2009-04-09,4.4
2009-04-13,4.42
2009-04-14,4.4
2009-04-15,4.4
2009-04-16,4.48
2009-04-17,4.5
2009-04-20,4.4
2009-04-21,4.51
2009-04-22,4.56
2009-04-23,4.75
2009-04-24,4.69
2009-04-27,4.65
2009-04-28,4.63
2009-04-29,4.64
2009-04-30,4.7
2009-05-01,5.0
2009-05-04,4.95
2009-05-05,5.48
2009-05-06,5.32
2009-05-07,5.25
2009-05-08,5.04
2009-05-11,4.96
2009-05-12,5.04
2009-05-13,5.03
2009-05-14,4.74
2009-05-15,4.83
2009-05-18,4.92
2009-05-19,4.9
2009-05-20,5.21
2009-05-21,5.04
2009-05-22,5.02
2009-05-26,4.98
2009-05-27,5.02
2009-05-28,4.95
2009-05-29,5.15
2009-06-01,5.07
2009-06-02,5.04
2009-06-03,5.0
2009-06-04,5.17
2009-06-05,5.04
2009-06-08,5.07
2009-06-09,5.03
2009-06-10,5.03
2009-06-11,5.07
2009-06-12,5.04
2009-06-15,5.01
2009-06-16,5.03
2009-06-17,5.05
2009-06-18,5.04
2009-06-19,5.07
2009-06-22,4.87
2009-06-23,5.07
2009-06-24,5.0
2009-06-25,5.07
2009-06-26,5.19
2009-06-29,5.06
2009-06-30,5.25
2009-07-01,5.17
2009-07-02,5.13
2009-07-06,5.2
2009-07-07,5.3
2009-07-08,5.33
2009-07-09,5.48
2009-07-10,5.61
2009-07-13,5.72
2009-07-14,6.02
2009-07-15,5.96
2009-07-16,5.81
2009-07-17,5.81
2009-07-20,5.67
2009-07-21,5.68
2009-07-22,5.5
2009-07-23,5.63
2009-07-24,5.79
2009-07-27,5.63
2009-07-28,5.61
2009-07-29,5.59
2009-07-30,5.95
2009-07-31,5.82
2009-08-03,5.45
2009-08-04,5.71
2009-08-05,5.26
2009-08-06,5.21
2009-08-07,5.23
2009-08-10,5.16
2009-08-11,5.22
2009-08-12,5.19
2009-08-13,5.2
2009-08-14,5.72
2009-08-17,5.75
2009-08-18,5.35
2009-08-19,5.26
2009-08-20,5.3
2009-08-21,5.36
2009-08-24,5.23
2009-08-25,5.36
2009-08-26,5.19
2009-08-27,5.07
2009-08-28,4.88
2009-08-31,4.99
2009-09-01,5.01
2009-09-02,4.88
2009-09-03,4.96
2009-09-04,4.97
2009-09-08,5.01
2009-09-09,5.0
2009-09-10,5.03
2009-09-11,5.01
2009-09-14,5.81
2009-09-15,5.99
2009-09-16,5.81
2009-09-17,5.95
2009-09-18,5.95
2009-09-21,5.93
2009-09-22,5.91
2009-09-23,5.9
2009-09-24,5.93
2009-09-25,5.99
2009-09-28,5.97
2009-09-29,5.97
2009-09-30,5.94
2009-10-01,5.98
2009-10-02,5.95
2009-10-05,5.99
2009-10-06,6.01
2009-10-07,6.0
2009-10-08,6.0
2009-10-09,6.07
2009-10-12,6.17
2009-10-13,6.05
2009-10-14,6.04
2009-10-15,6.07
2009-10-16,6.07
2009-10-19,6.04
2009-10-20,6.08
2009-10-22,6.2
2009-10-23,6.16
2009-10-26,6.09
2009-10-27,6.0
2009-10-28,5.94
2009-10-29,5.8
2009-10-30,5.83
2009-11-02,5.71
2009-11-03,5.86
2009-11-04,5.92
2009-11-05,5.99
2009-11-09,5.88
2009-11-10,5.82
2009-11-11,5.85
2009-11-13,5.85
2009-11-16,5.83
2009-11-17,5.8
2009-11-18,5.8
2009-11-19,5.8
2009-11-20,5.78
2009-11-23,5.82
2009-11-24,5.9
2009-11-25,5.82
2009-11-27,5.94
2009-11-30,5.8
2009-12-01,5.88
2009-12-02,5.91
2009-12-03,5.94
2009-12-04,5.81
2009-12-07,5.8
2009-12-08,5.85
2009-12-09,5.85
2009-12-10,5.9
2009-12-11,5.9
2009-12-14,5.84
2009-12-15,5.85
2009-12-16,5.83
2009-12-17,5.83
2009-12-18,5.71
2009-12-21,5.84
2009-12-23,5.84
2009-12-24,5.85
2009-12-28,5.84
2009-12-29,5.87
2009-12-30,5.85
2009-12-31,5.87
2010-01-04,5.9
2010-01-05,5.91
2010-01-06,5.9
2010-01-07,6.0
2010-01-08,5.91
2010-01-11,5.97
2010-01-12,6.0
2010-01-13,6.0
2010-01-14,5.99
2010-01-15,6.01
2010-01-19,6.0
2010-01-20,6.03
2010-01-21,6.0
2010-01-22,6.03
2010-01-25,6.03
2010-01-26,6.13
2010-01-27,6.1
2010-01-28,6.16
2010-01-29,6.31
2010-02-01,6.29
2010-02-02,3.08
2010-02-03,3.15
2010-02-04,3.15
2010-02-05,3.15
2010-02-08,3.39
2010-02-09,3.23
2010-02-10,3.18
2010-02-11,3.15
2010-02-12,3.14
2010-02-16,3.11
2010-02-17,3.06
2010-02-18,2.97
2010-02-19,2.95
2010-02-22,2.91
2010-02-23,2.84
2010-02-24,2.9
2010-02-25,2.86
2010-02-26,2.86
2010-03-01,2.78
2010-03-02,2.76
2010-03-03,2.94
2010-03-04,3.0
2010-03-05,3.12
2010-03-08,3.15
2010-03-09,3.16
2010-03-10,3.18
2010-03-11,3.28
2010-03-12,3.32
2010-03-15,3.32
2010-03-16,3.31
2010-03-17,3.4
2010-03-18,3.32
2010-03-19,3.4
2010-03-22,3.3
2010-03-23,3.23
2010-03-24,3.28
2010-03-25,3.34
2010-03-26,3.35
2010-03-29,3.49
2010-03-30,3.41
2010-03-31,3.39
2010-04-01,3.39
2010-04-05,3.44
2010-04-06,3.4
2010-04-07,3.37
2010-04-08,3.44
2010-04-09,3.43
2010-04-12,3.44
2010-04-13,3.4
2010-04-14,3.39
2010-04-15,3.39
2010-04-16,3.37
2010-04-19,3.39
2010-04-20,3.38
2010-04-21,3.38
2010-04-22,3.39
2010-04-23,3.37
2010-04-26,3.28
2010-04-27,3.31
2010-04-28,3.32
2010-04-29,3.29
2010-04-30,3.22
2010-05-03,3.2
2010-05-04,3.09
2010-05-05,3.08
2010-05-06,3.02
2010-05-07,3.06
2010-05-10,3.11
2010-05-11,3.06
2010-05-12,3.09
2010-05-13,3.05
2010-05-14,3.0
2010-05-17,3.08
2010-05-18,3.24
2010-05-19,3.28
2010-05-20,3.33
2010-05-21,3.33
2010-05-24,3.33
2010-05-25,3.33
2010-05-26,3.33
2010-05-27,3.35
2010-05-28,3.37
2010-06-01,3.36
2010-06-02,3.36
2010-06-03,3.35
2010-06-04,3.37
2010-06-07,3.36
2010-06-08,3.27
2010-06-09,3.34
2010-06-10,3.37
2010-06-11,3.4
2010-06-14,3.46
2010-06-15,3.48
2010-06-17,3.4
2010-06-18,3.43
2010-06-21,3.5
2010-06-22,3.5
2010-06-23,3.57
2010-06-24,3.56
2010-06-25,3.6
2010-06-28,3.58
2010-06-29,3.59
2010-06-30,3.59
2010-07-01,3.58
2010-07-02,3.58
2010-07-06,3.58
2010-07-07,3.85
2010-07-08,3.86
2010-07-09,3.96
2010-07-12,3.98
2010-07-13,3.96
2010-07-14,3.92
2010-07-15,4.04
2010-07-16,4.04
2010-07-19,4.04
2010-07-20,4.0
2010-07-21,4.02
2010-07-22,4.01
2010-07-23,4.73
2010-07-26,4.87
2010-07-27,4.94
2010-07-28,4.94
2010-07-29,4.96
2010-07-30,5.03
2010-08-02,3.5
2010-08-03,3.45
2010-08-04,3.4
2010-08-05,3.39
2010-08-06,3.39
2010-08-09,3.39
2010-08-10,3.42
2010-08-11,3.41
2010-08-12,3.6
2010-08-13,3.5
2010-08-16,3.45
2010-08-17,3.41
2010-08-18,3.37
2010-08-19,3.39
2010-08-20,3.4
2010-08-23,3.39
2010-08-24,3.4
2010-08-25,3.4
2010-08-26,3.42
2010-08-27,3.43
2010-08-30,3.4
2010-08-31,3.41
2010-09-01,3.36
2010-09-02,3.37
2010-09-03,3.37
2010-09-07,3.35
2010-09-08,3.37
2010-09-09,3.37
2010-09-10,3.37
2010-09-13,3.37
2010-09-14,3.36
2010-09-15,3.36
2010-09-16,3.36
2010-09-17,3.36
2010-09-20,3.4
2010-09-21,3.4
2010-09-22,3.41
2010-09-23,3.42
2010-09-24,3.43
2010-09-27,3.42
2010-09-28,3.4
2010-09-29,3.42
2010-09-30,3.39
2010-10-01,3.41
2010-10-04,3.4
2010-10-05,3.36
2010-10-06,3.35
2010-10-07,3.36
2010-10-08,3.39
2010-10-11,3.41
2010-10-13,3.4
2010-10-14,3.36
2010-10-15,3.37
2010-10-18,3.38
2010-10-19,3.41
2010-10-20,3.43
2010-10-21,3.4
2010-10-22,3.41
2010-10-25,3.37
2010-10-26,3.41
2010-10-27,3.42
2010-10-28,3.3
2010-10-29,3.41
2010-11-01,3.35
2010-11-02,3.36
2010-11-03,3.36
2010-11-04,3.35
2010-11-05,3.37
2010-11-08,3.3
2010-11-09,3.26
2010-11-10,3.27
2010-11-11,3.25
2010-11-12,3.2
2010-11-15,3.15
2010-11-16,3.2
2010-11-17,3.17
2010-11-18,3.17
2010-11-19,3.17
2010-11-22,3.15
2010-11-23,3.12
2010-11-24,3.12
2010-11-26,3.11
2010-11-29,3.15
2010-11-30,3.25
2010-12-01,3.1
2010-12-02,3.15
2010-12-03,3.15
2010-12-06,3.15
2010-12-07,2.7
2010-12-08,2.8
2010-12-09,3.39
2010-12-10,2.71
2010-12-14,2.8
2010-12-15,2.75
2010-12-16,2.76
2010-12-17,2.75
2010-12-20,2.75
2010-12-21,2.8
2010-12-22,2.79
2010-12-23,2.79
2010-12-27,2.79
2010-12-28,2.79
2010-12-29,2.8
2010-12-30,2.8
2010-12-31,2.95
2011-01-04,2.9
2011-01-05,3.12
2011-01-06,3.17
2011-01-10,3.17
2011-01-11,3.17
2011-01-12,3.35
2011-01-13,3.3
2011-01-14,3.2
2011-01-21,3.0
2011-01-28,3.01
2011-01-31,3.13
2011-02-02,3.3
2011-02-08,3.25
2011-02-10,3.25
2011-02-14,3.45
2011-02-16,3.5
2011-02-25,4.0
2011-02-28,3.95
2011-03-09,3.6
2011-03-17,3.45
2011-03-28,3.5
2011-03-29,3.7
2011-04-13,3.5
2011-05-09,3.53
2011-05-10,3.52
2011-05-11,3.4
2011-05-16,3.5
2011-05-17,3.5
2011-05-18,3.5
2011-05-19,3.5
2011-05-24,3.4
2011-05-25,3.45
2011-05-27,3.5
2011-06-03,3.5
2011-06-07,3.46
2011-06-13,3.43
2011-06-15,3.48
2011-06-17,3.79
2011-06-29,4.4
2011-06-30,4.3
2011-07-01,4.2
2011-07-05,4.2
2011-07-07,4.4
2011-07-11,4.2
2011-07-14,4.2
2011-07-15,4.2
2011-07-19,4.23
2011-07-27,4.3
2011-07-28,4.15
2011-07-29,4.4
2011-08-02,4.15
2011-08-05,4.2
2011-08-08,4.23
2011-08-09,5.0
2011-08-15,4.5
2011-08-18,4.59
2011-08-25,4.4
2011-08-26,4.79
2011-08-29,5.25
2011-08-31,5.15
2011-09-07,4.89
2011-09-13,4.5
2011-09-15,4.98
2011-09-19,5.25
2011-09-20,5.25
2011-09-23,4.75
2011-09-26,4.75
2011-09-29,4.19
2011-09-30,4.19
2011-10-03,4.1
2011-10-06,4.1
2011-10-11,4.1
2011-10-12,4.1
2011-10-13,4.1
2011-10-17,4.17
2011-10-18,4.19
2011-10-21,4.17
2011-10-28,4.05
2011-10-31,4.13
2011-11-01,3.9
2011-11-02,3.9
2011-11-07,3.9
2011-11-08,3.99
2011-11-11,3.9
2011-11-14,3.77
2011-11-16,3.8
2011-11-18,3.99
2011-11-29,3.91
2011-11-30,3.99
2011-12-01,4.6
2011-12-02,4.8
2011-12-05,4.7
2011-12-08,4.71
2011-12-13,4.71
2011-12-14,4.71
2011-12-16,4.71
2011-12-28,5.25
2012-01-04,5.2
2012-01-09,5.0
2012-01-10,5.25
2012-01-18,5.15
2012-01-20,5.25
2012-01-25,5.25
2012-01-26,5.15
2012-01-27,5.2
2012-02-01,5.2
2012-02-02,4.88
2012-02-03,4.85
2012-02-07,4.77
2012-02-10,4.5
2012-02-14,4.9
2012-02-15,5.0
2012-02-17,4.9
2012-02-21,4.75
2012-02-23,4.73
2012-02-24,4.9
2012-02-28,4.25
2012-02-29,4.45
2012-03-12,4.16
2012-03-14,4.3
2012-03-15,4.3
2012-03-19,4.4
2012-03-20,4.4
2012-03-21,4.4
2012-03-22,4.35
2012-03-23,4.35
2012-03-26,4.35
2012-03-28,4.35
2012-03-29,5.45
2012-03-30,5.15
2012-04-02,5.05
2012-04-03,5.0
2012-04-04,5.15
2012-04-09,5.0
2012-04-10,4.87
2012-04-17,4.88
2012-04-27,4.88
2012-05-01,4.88
2012-05-09,4.87
2012-05-10,4.88
2012-05-15,4.88
2012-05-21,4.87
2012-05-22,4.88
2012-05-24,4.88
2012-05-29,4.62
2012-05-31,5.0
2012-06-04,4.95
2012-06-05,4.95
2012-06-11,4.99
2012-06-15,4.89
2012-06-25,4.75
2012-06-26,4.65
2012-06-27,4.65
2012-06-28,4.65
2012-06-29,4.75
2012-07-02,4.85
2012-07-03,4.85
2012-07-06,4.85
2012-07-09,4.8
2012-07-25,4.8
2012-07-30,4.6
2012-08-01,4.7
2012-08-02,4.37
2012-08-03,4.5
2012-08-08,5.1
2012-08-14,4.8
2012-08-28,4.85
2012-08-29,4.75
2012-08-31,4.75
2012-09-06,4.6
2012-09-07,4.6
2012-09-12,4.6
2012-09-13,4.75
2012-09-25,4.75
2012-09-28,4.75
2012-10-01,4.75
2012-10-02,4.75
2012-10-03,4.5
2012-10-08,4.5
2012-10-09,4.75
2012-10-10,4.75
2012-10-11,4.75
2012-10-15,4.5
2012-10-16,4.75
2012-11-15,4.52
2012-11-19,4.35
2012-11-21,4.3
2012-11-23,4.35
2012-11-26,4.35
2012-11-27,4.35
2012-11-28,4.35
2012-11-29,4.35
2012-11-30,4.4
2012-12-07,4.45
2012-12-10,4.45
2012-12-12,4.5
2012-12-14,4.5
2012-12-17,4.45
2012-12-18,4.45
2012-12-19,4.45
2012-12-20,4.4
2012-12-21,4.44
2012-12-24,4.5
2012-12-27,4.5
2012-12-28,4.49
2012-12-31,3.75
2013-01-03,3.55
2013-01-07,3.3
2013-01-08,3.3
2013-01-09,3.3
2013-01-14,3.4
2013-01-16,3.4
2013-01-17,3.35
2013-01-18,3.35
2013-01-24,3.32
2013-01-25,3.43
2013-01-30,3.35
2013-01-31,3.43
2013-02-01,3.43
2013-02-04,3.43
2013-02-14,3.32
2013-02-20,3.2
2013-02-21,3.2
2013-02-25,3.15
2013-02-26,3.25
2013-03-05,3.25
2013-03-15,3.25
2013-03-21,3.28
2013-04-03,3.25
2013-04-05,3.25
2013-04-11,3.2
2013-04-12,3.2
2013-04-22,3.2
2013-05-06,3.15
2013-05-09,3.15
2013-05-13,3.2
2013-05-16,3.2
2013-05-20,3.2
2013-05-21,3.15
2013-05-22,3.11
2013-05-23,3.11
2013-05-29,3.2
2013-06-04,3.16
2013-06-05,3.16
2013-06-24,3.2
2013-07-05,3.2
2013-07-09,3.17
2013-07-10,3.17
2013-07-12,3.17
2013-07-15,3.15
2013-07-16,3.15
2013-07-22,3.2
2013-07-29,3.14
2013-08-06,3.11
2013-08-09,3.11
2013-08-21,4.07
2013-08-26,4.24
2013-09-10,4.07
2013-09-11,4.19
2013-10-01,0.84
2013-10-03,0.84
2013-10-08,0.83
2013-10-09,0.83
2013-10-21,0.84
2013-10-25,0.52
2013-10-28,0.52
2013-10-30,0.6
2013-11-06,0.51
2013-11-07,0.55
2013-11-14,0.55
2013-11-15,0.6
2013-11-18,0.6
2013-11-19,0.6
2013-11-20,0.6
2013-11-21,0.55
2013-11-22,0.56
2013-12-05,0.6
2014-01-17,0.6
2014-01-21,0.6
2014-01-24,0.6
2014-01-29,0.8
2014-02-20,0.6
2014-03-14,0.6002
2014-03-19,0.7
2014-03-26,0.75
2014-04-07,0.79
2014-04-23,0.6002
2014-04-24,0.8
2014-05-13,0.75
2014-05-22,0.7
2014-07-01,0.65
2014-07-17,0.61
2014-07-24,0.6105
2014-07-28,0.6105
2014-08-05,0.6105
2014-08-20,0.6
2014-08-29,0.6105
2014-09-03,1.25
2014-09-04,1.0
2014-09-09,0.6105
2014-09-10,0.6105
2014-10-23,0.6
2014-10-24,0.6
2014-10-27,0.6
2014-11-14,0.55
2014-12-02,0.55
2014-12-16,0.55
2014-12-22,0.48
2014-12-23,0.55
2014-12-30,0.5
2014-12-31,0.9
2015-01-02,0.75
2015-01-09,0.55
2015-01-13,0.55
2015-01-28,0.51
2015-02-09,0.43
2015-03-02,0.52
2015-04-06,0.52
2015-04-07,0.51
2015-04-17,0.51
2015-05-04,0.52
2015-05-19,0.45
2015-05-20,0.45
2015-05-26,0.45
2015-05-27,0.45
2015-05-28,0.45
2015-05-29,0.51
2015-06-04,0.46
2015-06-05,0.46
2015-06-29,0.45
2015-07-09,0.45
2015-07-17,0.37
2015-07-22,0.36
2015-08-25,0.36
2015-09-04,0.37
2015-09-10,0.365
2015-09-29,0.375
2015-10-05,0.37
2015-10-26,0.37
2015-11-30,0.37
2015-12-03,0.37
2015-12-07,0.38
2015-12-11,0.38
2015-12-15,0.38
2015-12-17,0.425
2015-12-22,0.425
2015-12-23,0.425
2015-12-28,0.425
2015-12-29,0.51
2016-01-06,0.425
2016-01-07,0.415
2016-01-11,0.41
2016-01-27,0.41
2016-02-23,0.41
2016-03-02,0.51
2016-03-15,0.41
2016-03-18,0.41
2016-03-23,0.41
2016-03-24,0.45
2016-04-01,0.475
2016-04-12,0.475
2016-04-26,0.475
2016-05-17,0.475
2016-06-10,0.475
2016-07-05,0.45
2016-07-11,0.45
2016-07-20,0.45
2016-08-29,0.48
2016-10-06,0.41
2016-10-07,0.4
2016-11-07,0.42
2016-12-12,0.45
2016-12-20,0.4
2017-01-05,0.55
2017-01-09,0.4
2017-02-02,0.4
2017-02-07,0.35
2017-02-08,0.51
2017-02-21,0.51
