CS,Date
13.593247413635254,1996-12-04
13.593247413635254,1996-12-05
13.593247413635254,1996-12-06
13.199236869812012,1996-12-09
13.396242141723633,1996-12-10
13.330575942993164,1996-12-11
13.527576446533203,1996-12-12
13.330575942993164,1996-12-13
13.46191120147705,1996-12-16
13.527576446533203,1996-12-17
13.330575942993164,1996-12-18
13.264904975891113,1996-12-19
13.330575942993164,1996-12-20
13.396242141723633,1996-12-23
13.396242141723633,1996-12-24
13.330575942993164,1996-12-26
13.330575942993164,1996-12-27
13.396242141723633,1996-12-30
13.199236869812012,1996-12-31
13.330575942993164,1997-01-02
13.199236869812012,1997-01-03
13.199236869812012,1997-01-06
12.739564895629883,1997-01-07
13.00223445892334,1997-01-08
13.00223445892334,1997-01-09
12.870902061462402,1997-01-10
12.936570167541504,1997-01-13
12.870902061462402,1997-01-14
12.936570167541504,1997-01-15
13.133572578430176,1997-01-16
13.264904975891113,1997-01-17
12.870902061462402,1997-01-20
12.870902061462402,1997-01-21
12.870902061462402,1997-01-22
13.00223445892334,1997-01-23
13.00223445892334,1997-01-24
12.870902061462402,1997-01-27
13.00223445892334,1997-01-28
13.133572578430176,1997-01-29
13.264904975891113,1997-01-30
13.330575942993164,1997-01-31
13.527576446533203,1997-02-03
13.527576446533203,1997-02-04
13.658914566040039,1997-02-05
13.855916023254395,1997-02-06
13.921586036682129,1997-02-07
13.658914566040039,1997-02-10
13.593247413635254,1997-02-11
13.790251731872559,1997-02-12
13.593247413635254,1997-02-13
13.527576446533203,1997-02-14
13.658914566040039,1997-02-18
13.790251731872559,1997-02-19
13.790251731872559,1997-02-20
13.855916023254395,1997-02-21
13.790251731872559,1997-02-24
13.593247413635254,1997-02-25
13.987255096435547,1997-02-26
13.855916023254395,1997-02-27
13.855916023254395,1997-02-28
14.11859130859375,1997-03-03
13.987255096435547,1997-03-04
13.987255096435547,1997-03-05
14.11859130859375,1997-03-06
14.315594673156738,1997-03-07
14.840935707092285,1997-03-10
15.234943389892578,1997-03-11
15.234943389892578,1997-03-12
15.300613403320312,1997-03-13
15.300613403320312,1997-03-14
15.300613403320312,1997-03-17
15.300613403320312,1997-03-18
15.300613403320312,1997-03-19
14.51259708404541,1997-03-20
15.103607177734375,1997-03-21
15.103607177734375,1997-03-24
15.497612953186035,1997-03-25
15.628951072692871,1997-03-26
15.628951072692871,1997-03-27
15.234943389892578,1997-03-31
15.234943389892578,1997-04-01
14.578263282775879,1997-04-02
14.578263282775879,1997-04-03
14.775266647338867,1997-04-04
14.51259708404541,1997-04-07
14.840935707092285,1997-04-08
14.906608581542969,1997-04-09
14.906608581542969,1997-04-10
14.51259708404541,1997-04-11
14.51259708404541,1997-04-14
14.64393138885498,1997-04-15
14.775266647338867,1997-04-16
14.64393138885498,1997-04-17
14.64393138885498,1997-04-18
14.972269058227539,1997-04-21
14.972269058227539,1997-04-22
15.103607177734375,1997-04-23
15.103607177734375,1997-04-24
14.840935707092285,1997-04-25
14.840935707092285,1997-04-28
14.840935707092285,1997-04-29
14.578263282775879,1997-04-30
14.578263282775879,1997-05-01
14.840935707092285,1997-05-02
15.103607177734375,1997-05-05
15.103607177734375,1997-05-06
14.972269058227539,1997-05-07
15.103607177734375,1997-05-08
15.760287284851074,1997-05-09
15.825955390930176,1997-05-12
15.825955390930176,1997-05-13
15.628951072692871,1997-05-14
15.431943893432617,1997-05-15
15.825955390930176,1997-05-16
15.628951072692871,1997-05-19
16.416961669921875,1997-05-20
16.548303604125977,1997-05-21
16.74530792236328,1997-05-22
16.74530792236328,1997-05-23
16.94230842590332,1997-05-27
16.94230842590332,1997-05-28
16.876638412475586,1997-05-29
16.48263168334961,1997-05-30
16.48263168334961,1997-06-02
16.48263168334961,1997-06-03
17.139312744140625,1997-06-04
17.664655685424805,1997-06-05
17.664655685424805,1997-06-06
17.861658096313477,1997-06-09
17.664655685424805,1997-06-10
17.730321884155273,1997-06-11
17.467649459838867,1997-06-12
17.204980850219727,1997-06-13
17.139312744140625,1997-06-16
16.613969802856445,1997-06-17
16.81096839904785,1997-06-18
16.81096839904785,1997-06-19
17.598987579345703,1997-06-20
17.598987579345703,1997-06-23
17.598987579345703,1997-06-24
17.598987579345703,1997-06-25
17.007976531982422,1997-06-26
17.53331756591797,1997-06-27
16.74530792236328,1997-06-30
16.74530792236328,1997-07-01
17.53331756591797,1997-07-02
17.795991897583008,1997-07-03
17.795991897583008,1997-07-07
18.8466739654541,1997-07-08
18.8466739654541,1997-07-09
18.452667236328125,1997-07-10
18.32132911682129,1997-07-11
18.32132911682129,1997-07-14
17.992990493774414,1997-07-15
17.992990493774414,1997-07-16
18.124326705932617,1997-07-17
17.598987579345703,1997-07-18
17.139312744140625,1997-07-21
17.270647048950195,1997-07-22
17.927322387695312,1997-07-23
17.598987579345703,1997-07-24
17.730321884155273,1997-07-25
17.598987579345703,1997-07-28
17.53331756591797,1997-07-29
17.467649459838867,1997-07-30
17.730321884155273,1997-07-31
17.664655685424805,1997-08-01
17.204980850219727,1997-08-04
17.204980850219727,1997-08-05
17.007976531982422,1997-08-06
17.007976531982422,1997-08-07
18.124326705932617,1997-08-08
17.730321884155273,1997-08-11
17.467649459838867,1997-08-12
16.74530792236328,1997-08-13
16.219959259033203,1997-08-14
16.088626861572266,1997-08-15
16.088626861572266,1997-08-18
16.219959259033203,1997-08-19
16.219959259033203,1997-08-20
16.94230842590332,1997-08-21
16.088626861572266,1997-08-22
16.088626861572266,1997-08-25
15.825955390930176,1997-08-26
15.628951072692871,1997-08-27
16.088626861572266,1997-08-28
16.088626861572266,1997-08-29
16.088626861572266,1997-09-02
16.088626861572266,1997-09-03
16.088626861572266,1997-09-04
16.154294967651367,1997-09-05
15.957291603088379,1997-09-08
16.088626861572266,1997-09-09
15.891619682312012,1997-09-10
15.628951072692871,1997-09-11
16.285627365112305,1997-09-12
17.007976531982422,1997-09-15
17.007976531982422,1997-09-16
17.795991897583008,1997-09-17
17.53331756591797,1997-09-18
17.53331756591797,1997-09-19
17.598987579345703,1997-09-22
17.270647048950195,1997-09-23
17.664655685424805,1997-09-24
17.467649459838867,1997-09-25
17.861658096313477,1997-09-26
17.992990493774414,1997-09-29
17.861658096313477,1997-09-30
18.584009170532227,1997-10-01
17.795991897583008,1997-10-02
19.831693649291992,1997-10-03
19.897357940673828,1997-10-06
19.569019317626953,1997-10-07
19.63469123840332,1997-10-08
19.175010681152344,1997-10-09
18.912343978881836,1997-10-10
19.897357940673828,1997-10-13
19.63469123840332,1997-10-14
19.63469123840332,1997-10-15
19.76602554321289,1997-10-16
19.37201499938965,1997-10-17
19.569019317626953,1997-10-20
19.43768310546875,1997-10-21
19.109342575073242,1997-10-22
18.584009170532227,1997-10-23
18.912343978881836,1997-10-24
18.387001037597656,1997-10-27
18.387001037597656,1997-10-28
18.715341567993164,1997-10-29
18.255661010742188,1997-10-30
18.715341567993164,1997-10-31
19.30634307861328,1997-11-03
19.24068260192871,1997-11-04
19.24068260192871,1997-11-05
19.175010681152344,1997-11-06
18.8466739654541,1997-11-07
19.043682098388672,1997-11-10
19.043682098388672,1997-11-11
19.37201499938965,1997-11-12
19.109342575073242,1997-11-13
19.24068260192871,1997-11-14
19.30634307861328,1997-11-17
19.24068260192871,1997-11-18
19.569019317626953,1997-11-19
19.569019317626953,1997-11-20
19.37201499938965,1997-11-21
19.37201499938965,1997-11-24
19.30634307861328,1997-11-25
19.24068260192871,1997-11-26
19.109342575073242,1997-11-28
19.503353118896484,1997-12-01
19.63469123840332,1997-12-02
19.63469123840332,1997-12-03
20.0943660736084,1997-12-04
20.160030364990234,1997-12-05
20.02869415283203,1997-12-08
20.422704696655273,1997-12-09
20.488372802734375,1997-12-10
21.736055374145508,1997-12-11
21.079383850097656,1997-12-12
21.342056274414062,1997-12-15
21.604721069335938,1997-12-16
21.407724380493164,1997-12-17
21.21072006225586,1997-12-18
20.2257022857666,1997-12-19
20.422704696655273,1997-12-22
20.422704696655273,1997-12-23
20.29136848449707,1997-12-24
20.02869415283203,1997-12-26
20.29136848449707,1997-12-29
20.422704696655273,1997-12-30
20.422704696655273,1997-12-31
20.422704696655273,1998-01-02
20.75103759765625,1998-01-05
20.685375213623047,1998-01-06
20.422704696655273,1998-01-07
20.160030364990234,1998-01-08
19.76602554321289,1998-01-09
19.109342575073242,1998-01-12
19.43768310546875,1998-01-13
19.831693649291992,1998-01-14
19.503353118896484,1998-01-15
19.76602554321289,1998-01-16
19.76602554321289,1998-01-20
20.160030364990234,1998-01-21
20.29136848449707,1998-01-22
20.816709518432617,1998-01-23
20.554040908813477,1998-01-26
20.75103759765625,1998-01-27
20.488372802734375,1998-01-28
20.948043823242188,1998-01-29
20.882375717163086,1998-01-30
20.816709518432617,1998-02-02
20.882375717163086,1998-02-03
20.75103759765625,1998-02-04
21.736055374145508,1998-02-05
22.7867488861084,1998-02-06
22.261404037475586,1998-02-09
22.392738342285156,1998-02-10
22.458406448364258,1998-02-11
23.180753707885742,1998-02-12
23.44342803955078,1998-02-13
23.180753707885742,1998-02-17
23.180753707885742,1998-02-18
22.983745574951172,1998-02-19
23.50909423828125,1998-02-20
23.44342803955078,1998-02-23
23.64043426513672,1998-02-24
23.837432861328125,1998-02-25
23.771760940551758,1998-02-26
23.837432861328125,1998-02-27
24.362773895263672,1998-03-02
24.03443717956543,1998-03-03
23.312088012695312,1998-03-04
23.246423721313477,1998-03-05
23.44342803955078,1998-03-06
23.44342803955078,1998-03-09
23.574756622314453,1998-03-10
23.312088012695312,1998-03-11
23.903100967407227,1998-03-12
23.771760940551758,1998-03-13
24.100109100341797,1998-03-16
23.968769073486328,1998-03-17
23.771760940551758,1998-03-18
24.100109100341797,1998-03-19
25.676136016845703,1998-03-20
26.398473739624023,1998-03-23
26.46414566040039,1998-03-24
26.20147132873535,1998-03-25
25.93880271911621,1998-03-26
26.070140838623047,1998-03-27
25.80747413635254,1998-03-30
26.33281135559082,1998-03-31
27.12082290649414,1998-04-01
27.383495330810547,1998-04-02
28.040178298950195,1998-04-03
29.41920280456543,1998-04-06
28.040178298950195,1998-04-07
28.040178298950195,1998-04-08
28.040178298950195,1998-04-09
27.974510192871094,1998-04-13
28.696855545043945,1998-04-14
28.499855041503906,1998-04-15
27.908838272094727,1998-04-16
27.71183204650879,1998-04-17
27.908838272094727,1998-04-20
28.171506881713867,1998-04-21
28.30284309387207,1998-04-22
28.828189849853516,1998-04-23
28.762523651123047,1998-04-24
27.514833450317383,1998-04-27
27.908838272094727,1998-04-28
28.499855041503906,1998-04-29
29.02519416809082,1998-04-30
28.828189849853516,1998-05-01
29.02519416809082,1998-05-04
29.484867095947266,1998-05-05
29.41920280456543,1998-05-06
29.222198486328125,1998-05-07
28.696855545043945,1998-05-08
28.95952033996582,1998-05-11
28.828189849853516,1998-05-12
28.828189849853516,1998-05-13
28.95952033996582,1998-05-14
28.828189849853516,1998-05-15
28.631189346313477,1998-05-18
28.828189849853516,1998-05-19
29.090862274169922,1998-05-20
29.222198486328125,1998-05-21
29.156526565551758,1998-05-22
29.550533294677734,1998-05-26
28.893863677978516,1998-05-27
29.090862274169922,1998-05-28
28.631189346313477,1998-05-29
28.828189849853516,1998-06-01
28.828189849853516,1998-06-02
29.353530883789062,1998-06-03
29.090862274169922,1998-06-04
29.41920280456543,1998-06-05
29.813217163085938,1998-06-08
30.272884368896484,1998-06-09
30.010208129882812,1998-06-10
30.075876235961914,1998-06-11
28.565515518188477,1998-06-12
28.105846405029297,1998-06-15
28.499855041503906,1998-06-16
29.28786277770996,1998-06-17
28.828189849853516,1998-06-18
29.156526565551758,1998-06-19
29.353530883789062,1998-06-22
29.02519416809082,1998-06-23
29.090862274169922,1998-06-24
29.222198486328125,1998-06-25
29.41920280456543,1998-06-26
29.41920280456543,1998-06-29
29.353530883789062,1998-06-30
29.74753761291504,1998-07-01
29.74753761291504,1998-07-02
29.813217163085938,1998-07-06
29.61620330810547,1998-07-07
29.68187141418457,1998-07-08
29.944538116455078,1998-07-09
30.33854866027832,1998-07-10
30.73255157470703,1998-07-13
30.863887786865234,1998-07-14
30.929563522338867,1998-07-15
30.66689109802246,1998-07-16
31.192230224609375,1998-07-17
31.32356834411621,1998-07-20
31.060895919799805,1998-07-21
31.717578887939453,1998-07-22
31.454906463623047,1998-07-23
32.11157989501953,1998-07-24
31.32356834411621,1998-07-27
31.848907470703125,1998-07-28
32.96526336669922,1998-07-29
33.75327682495117,1998-07-30
32.96526336669922,1998-07-31
32.17725372314453,1998-08-03
32.11157989501953,1998-08-04
31.192230224609375,1998-08-05
30.73255157470703,1998-08-06
31.060895919799805,1998-08-07
29.878873825073242,1998-08-10
27.908838272094727,1998-08-11
29.090862274169922,1998-08-12
28.631189346313477,1998-08-13
28.631189346313477,1998-08-14
28.696855545043945,1998-08-17
28.893863677978516,1998-08-18
28.040178298950195,1998-08-19
26.726816177368164,1998-08-20
25.93880271911621,1998-08-21
25.80747413635254,1998-08-24
25.676136016845703,1998-08-25
24.362773895263672,1998-08-26
22.7867488861084,1998-08-27
23.049419403076172,1998-08-28
21.998733520507812,1998-08-31
22.261404037475586,1998-09-01
22.261404037475586,1998-09-02
20.554040908813477,1998-09-03
19.76602554321289,1998-09-04
22.261404037475586,1998-09-08
19.897357940673828,1998-09-09
18.452667236328125,1998-09-10
19.503353118896484,1998-09-11
19.963027954101562,1998-09-14
19.63469123840332,1998-09-15
19.63469123840332,1998-09-16
17.53331756591797,1998-09-17
17.927322387695312,1998-09-18
16.74530792236328,1998-09-21
16.416961669921875,1998-09-22
18.387001037597656,1998-09-23
17.007976531982422,1998-09-24
16.613969802856445,1998-09-25
16.548303604125977,1998-09-28
15.563283920288086,1998-09-29
15.563283920288086,1998-09-30
14.184253692626953,1998-10-01
14.840935707092285,1998-10-02
14.249927520751953,1998-10-05
16.48263168334961,1998-10-06
16.219959259033203,1998-10-07
15.957291603088379,1998-10-08
17.007976531982422,1998-10-09
18.05866050720215,1998-10-12
18.32132911682129,1998-10-13
18.452667236328125,1998-10-14
18.05866050720215,1998-10-15
18.32132911682129,1998-10-16
17.795991897583008,1998-10-19
18.715341567993164,1998-10-20
18.912343978881836,1998-10-21
18.32132911682129,1998-10-22
18.32132911682129,1998-10-23
18.124326705932617,1998-10-26
18.978012084960938,1998-10-27
18.781009674072266,1998-10-28
18.781009674072266,1998-10-29
20.882375717163086,1998-10-30
19.831693649291992,1998-11-02
19.831693649291992,1998-11-03
19.963027954101562,1998-11-04
19.24068260192871,1998-11-05
20.02869415283203,1998-11-06
18.978012084960938,1998-11-09
18.32132911682129,1998-11-10
18.978012084960938,1998-11-11
18.584009170532227,1998-11-12
18.912343978881836,1998-11-13
19.76602554321289,1998-11-16
19.63469123840332,1998-11-17
19.503353118896484,1998-11-18
20.29136848449707,1998-11-19
21.4733943939209,1998-11-20
22.524072647094727,1998-11-23
22.392738342285156,1998-11-24
21.736055374145508,1998-11-25
23.049419403076172,1998-11-27
22.392738342285156,1998-11-30
21.736055374145508,1998-12-01
20.882375717163086,1998-12-02
21.276390075683594,1998-12-03
20.882375717163086,1998-12-04
21.4733943939209,1998-12-07
20.685375213623047,1998-12-08
20.422704696655273,1998-12-09
18.978012084960938,1998-12-10
19.109342575073242,1998-12-11
19.37201499938965,1998-12-14
19.897357940673828,1998-12-15
20.422704696655273,1998-12-16
20.948043823242188,1998-12-17
21.342056274414062,1998-12-18
21.4733943939209,1998-12-21
20.685375213623047,1998-12-22
21.145050048828125,1998-12-23
20.554040908813477,1998-12-24
21.407724380493164,1998-12-28
20.948043823242188,1998-12-29
20.619709014892578,1998-12-30
20.29136848449707,1998-12-31
21.736055374145508,1999-01-04
22.524072647094727,1999-01-05
23.706098556518555,1999-01-06
22.655412673950195,1999-01-07
