PLD,Date
23.109975814819336,2012-07-20
22.62057113647461,2012-07-23
22.56298828125,2012-07-24
22.80049705505371,2012-07-25
23.21073341369629,2012-07-26
23.405057907104492,2012-07-27
23.217931747436523,2012-07-30
23.268314361572266,2012-07-31
23.311491012573242,2012-08-01
23.2827091217041,2012-08-02
24.225522994995117,2012-08-03
24.41985321044922,2012-08-06
24.297494888305664,2012-08-07
24.067190170288086,2012-08-08
23.930444717407227,2012-08-09
23.89446258544922,2012-08-10
23.72172737121582,2012-08-13
23.88726234436035,2012-08-14
23.973634719848633,2012-08-15
24.283103942871094,2012-08-16
24.326292037963867,2012-08-17
24.283103942871094,2012-08-20
24.23271942138672,2012-08-21
23.91605567932129,2012-08-22
23.685741424560547,2012-08-23
24.060001373291016,2012-08-24
24.283103942871094,2012-08-27
24.405452728271484,2012-08-28
24.650161743164062,2012-08-29
24.520612716674805,2012-08-30
24.592575073242188,2012-08-31
24.80129623413086,2012-09-04
24.887662887573242,2012-09-05
25.449037551879883,2012-09-06
25.715341567993164,2012-09-07
25.715341567993164,2012-09-10
26.039203643798828,2012-09-11
26.162504196166992,2012-09-12
26.77178382873535,2012-09-13
26.757280349731445,2012-09-14
26.597702026367188,2012-09-17
26.271316528320312,2012-09-18
25.93040657043457,2012-09-19
25.611268997192383,2012-09-20
25.379165649414062,2012-09-21
25.27761459350586,2012-09-24
24.85692596435547,2012-09-25
24.624820709228516,2012-09-26
25.212329864501953,2012-09-27
25.40816879272461,2012-09-28
25.08177375793457,2012-10-01
25.270355224609375,2012-10-02
25.2558536529541,2012-10-03
25.357398986816406,2012-10-04
25.31388282775879,2012-10-05
25.270355224609375,2012-10-08
25.09627342224121,2012-10-09
25.263107299804688,2012-10-10
25.263107299804688,2012-10-11
25.270355224609375,2012-10-12
25.705549240112305,2012-10-15
26.089975357055664,2012-10-16
26.213281631469727,2012-10-17
26.387365341186523,2012-10-18
25.799837112426758,2012-10-19
25.502460479736328,2012-10-22
25.219581604003906,2012-10-23
25.06001091003418,2012-10-24
24.86417007446289,2012-10-25
24.595808029174805,2012-10-26
24.871429443359375,2012-10-31
24.84966278076172,2012-11-01
24.929452896118164,2012-11-02
24.791645050048828,2012-11-05
24.951208114624023,2012-11-06
24.76988983154297,2012-11-07
24.36370086669922,2012-11-08
24.218637466430664,2012-11-09
24.182361602783203,2012-11-12
24.204126358032227,2012-11-13
23.82695960998535,2012-11-14
23.645627975463867,2012-11-15
23.70365333557129,2012-11-16
24.182361602783203,2012-11-19
24.22588348388672,2012-11-20
24.588546752929688,2012-11-21
24.726360321044922,2012-11-23
24.878686904907227,2012-11-26
24.624820709228516,2012-11-27
24.55953598022461,2012-11-28
24.67559242248535,2012-11-29
24.617568969726562,2012-11-30
24.632068634033203,2012-12-03
24.84966278076172,2012-12-04
24.878686904907227,2012-12-05
25.321128845214844,2012-12-06
25.56048583984375,2012-12-07
25.516971588134766,2012-12-10
25.55323600769043,2012-12-11
25.58224868774414,2012-12-12
25.604183197021484,2012-12-13
25.66267967224121,2012-12-14
25.765031814575195,2012-12-17
26.19639778137207,2012-12-18
26.057477951049805,2012-12-19
26.744749069213867,2012-12-20
26.657012939453125,2012-12-21
26.70088005065918,2012-12-24
26.37186622619629,2012-12-26
26.525402069091797,2012-12-27
26.152523040771484,2012-12-28
26.678943634033203,2012-12-31
27.307716369628906,2013-01-02
27.344268798828125,2013-01-03
27.570920944213867,2013-01-04
27.753704071044922,2013-01-07
27.665964126586914,2013-01-08
27.943790435791016,2013-01-09
27.812191009521484,2013-01-10
27.987668991088867,2013-01-11
28.002288818359375,2013-01-14
28.126571655273438,2013-01-15
28.111955642700195,2013-01-16
28.30936050415039,2013-01-17
28.87965202331543,2013-01-18
28.7480525970459,2013-01-22
28.982004165649414,2013-01-23
29.37680435180664,2013-01-24
29.713130950927734,2013-01-25
29.92514991760254,2013-01-28
29.786252975463867,2013-01-29
29.28176498413086,2013-01-30
29.17209815979004,2013-01-31
