JWN,Date
5.155163764953613,2001-06-05
5.130017280578613,2001-06-06
5.0461931228637695,2001-06-07
5.130017280578613,2001-06-08
5.155163764953613,2001-06-11
5.138400077819824,2001-06-12
5.141193389892578,2001-06-13
5.04339599609375,2001-06-14
5.0042829513549805,2001-06-15
5.029428482055664,2001-06-18
5.018251895904541,2001-06-19
5.0461931228637695,2001-06-20
5.11325216293335,2001-06-21
5.062958717346191,2001-06-22
5.029428482055664,2001-06-25
5.026634693145752,2001-06-26
4.953985691070557,2001-06-27
5.071339130401611,2001-06-28
5.18310546875,2001-06-29
5.057370185852051,2001-07-02
5.048988342285156,2001-07-03
4.951193332672119,2001-07-05
4.750016212463379,2001-07-06
4.8059000968933105,2001-07-09
4.9595770835876465,2001-07-10
5.085310459136963,2001-07-11
5.2753119468688965,2001-07-12
5.378694534301758,2001-07-13
5.381490707397461,2001-07-16
5.381490707397461,2001-07-17
5.579870223999023,2001-07-18
5.719576835632324,2001-07-19
5.878844738006592,2001-07-20
5.9123735427856445,2001-07-23
6.068843841552734,2001-07-24
6.28678560256958,2001-07-25
6.035313129425049,2001-07-26
6.0520782470703125,2001-07-27
6.124727249145508,2001-07-30
6.28678560256958,2001-07-31
6.239285945892334,2001-08-01
6.306345462799072,2001-08-02
6.409726619720459,2001-08-03
6.253257751464844,2001-08-06
6.119137763977051,2001-08-07
6.035313129425049,2001-08-08
5.979428768157959,2001-08-09
5.923551082611084,2001-08-10
5.937520980834961,2001-08-13
5.931933879852295,2001-08-14
6.01854944229126,2001-08-15
5.979428768157959,2001-08-16
5.820168495178223,2001-08-17
5.8676676750183105,2001-08-20
5.588253498077393,2001-08-21
5.635751724243164,2001-08-22
5.540754795074463,2001-08-23
5.839725494384766,2001-08-24
5.691636562347412,2001-08-27
5.574285507202148,2001-08-28
5.560250282287598,2001-08-29
5.3329010009765625,2001-08-30
5.627610683441162,2001-08-31
5.8240885734558105,2001-09-04
5.742692470550537,2001-09-05
5.565863609313965,2001-09-06
5.375,2001-09-07
5.338512897491455,2001-09-10
4.5806803703308105,2001-09-17
4.5077033042907715,2001-09-18
4.3954315185546875,2001-09-19
4.1736955642700195,2001-09-20
4.170888900756836,2001-09-21
4.546999454498291,2001-09-24
4.49086332321167,2001-09-25
4.190536975860596,2001-09-26
4.050197124481201,2001-09-27
4.055809497833252,2001-09-28
3.9996747970581055,2001-10-01
4.20457124710083,2001-10-02
4.300001621246338,2001-10-03
4.398237228393555,2001-10-04
4.485248565673828,2001-10-05
4.33929443359375,2001-10-08
4.257900714874268,2001-10-09
4.443149566650391,2001-10-10
4.591907024383545,2001-10-11
4.454376220703125,2001-10-12
4.440341472625732,2001-10-15
4.538577079772949,2001-10-16
4.2915802001953125,2001-10-17
4.210183620452881,2001-10-18
4.401046276092529,2001-10-19
4.252285480499268,2001-10-22
4.198958396911621,2001-10-23
