Date,LLTC
2016-07-26,62.49
2016-07-25,48.47
2016-07-22,48.31
2016-07-21,47.94
2016-07-20,48.66
2016-07-19,48.35
2016-07-18,48.6
2016-07-15,48.59
2016-07-14,48.5
2016-07-13,48.21
2016-07-12,48.41
2016-07-11,47.67
2016-07-08,47.31
2016-07-07,46.15
2016-07-06,45.52
2016-07-05,45.31
2016-07-01,46.22
2016-06-30,46.53
2016-06-29,45.6
2016-06-28,45.04
2016-06-27,44.09
2016-06-24,45.52
2016-06-23,47.66
2016-06-22,46.55
2016-06-21,46.74
2016-06-20,46.71
2016-06-17,46.15
2016-06-16,47.7
2016-06-15,47.4
2016-06-14,47.56
2016-06-13,47.38
2016-06-10,47.43
2016-06-09,47.71
2016-06-08,47.79
2016-06-07,47.52
2016-06-06,47.1
2016-06-03,47.27
2016-06-02,47.44
2016-06-01,47.67
2016-05-31,47.32
2016-05-27,47.17
2016-05-26,47.06
2016-05-25,46.8
2016-05-24,46.99
2016-05-23,45.51
2016-05-20,45.53
2016-05-19,44.54
2016-05-18,44.86
2016-05-17,44.31
2016-05-16,44.8
2016-05-13,43.93
2016-05-12,43.94
2016-05-11,44.24
2016-05-10,44.62
2016-05-09,44.21
2016-05-06,44.28
2016-05-05,43.88
2016-05-04,43.93
2016-05-03,44.19
2016-05-02,44.86
2016-04-29,44.48
2016-04-28,45.6
2016-04-27,46.37
2016-04-26,45.96
2016-04-25,45.94
2016-04-22,46.38
2016-04-21,46.33
2016-04-20,46.1
2016-04-19,44.35
2016-04-18,44.79
2016-04-15,44.94
2016-04-14,45.12
2016-04-13,45.18
2016-04-12,44.75
2016-04-11,44.35
2016-04-08,44.29
2016-04-07,43.99
2016-04-06,44.95
2016-04-05,44.46
2016-04-04,44.42
2016-04-01,45.0
2016-03-31,44.56
2016-03-30,44.78
2016-03-29,44.57
2016-03-28,44.13
2016-03-24,44.26
2016-03-23,44.12
2016-03-22,44.4
2016-03-21,44.34
2016-03-18,44.56
2016-03-17,43.99
2016-03-16,43.76
2016-03-15,43.74
2016-03-14,43.71
2016-03-11,44.23
2016-03-10,43.26
2016-03-09,43.2
2016-03-08,42.81
2016-03-07,43.47
2016-03-04,42.42
2016-03-03,42.5
2016-03-02,42.3
2016-03-01,42.44
2016-02-29,43.62
2016-02-27,43.94
2016-02-26,43.88
2016-02-25,43.81
2016-02-24,43.34
2016-02-23,43.08
2016-02-22,43.54
2016-02-19,43.17
2016-02-18,43.05
2016-02-17,43.65
2016-02-16,42.73
2016-02-12,41.65
2016-02-11,41.21
2016-02-10,40.28
2016-02-09,40.91
2016-02-08,40.87
2016-02-05,41.07
2016-02-04,42.0
2016-02-03,41.54
2016-02-02,41.77
2016-02-01,42.56
2016-01-29,42.73
2016-01-28,41.29
2016-01-27,41.22
2016-01-26,41.08
2016-01-25,40.84
2016-01-22,41.73
2016-01-21,42.01
2016-01-20,41.13
2016-01-19,39.57
2016-01-15,38.95
2016-01-14,39.53
2016-01-13,38.89
2016-01-12,39.51
2016-01-11,39.06
2016-01-08,38.71
2016-01-07,39.19
2016-01-06,40.55
2016-01-05,41.92
2016-01-04,42.01
2015-12-31,42.47
2015-12-30,43.35
2015-12-29,43.91
2015-12-28,43.39
2015-12-24,43.59
2015-12-23,43.4
2015-12-22,43.13
2015-12-21,43.01
2015-12-18,42.42
2015-12-17,43.3
2015-12-16,44.26
2015-12-15,44.08
2015-12-14,43.53
2015-12-11,43.31
2015-12-10,43.94
2015-12-09,43.74
2015-12-08,44.4
2015-12-07,45.02
2015-12-04,45.69
2015-12-03,44.69
2015-12-02,45.41
2015-12-01,45.9
2015-11-30,45.72
2015-11-27,45.47
2015-11-25,45.23
2015-11-24,45.37
2015-11-23,45.11
2015-11-20,45.93
2015-11-19,45.61
2015-11-18,45.37
2015-11-17,44.41
2015-11-16,44.23
2015-11-13,43.56
2015-11-12,44.14
2015-11-11,44.45
2015-11-10,44.13
2015-11-09,44.74
2015-11-06,44.98
2015-11-05,44.32
2015-11-04,44.73
2015-11-03,44.62
2015-11-02,44.76
2015-10-30,44.42
2015-10-29,44.2
2015-10-28,45.72
2015-10-27,45.07
2015-10-26,45.34
2015-10-23,46.02
2015-10-22,45.93
2015-10-21,43.4
2015-10-20,43.29
2015-10-19,43.8
2015-10-16,44.0
2015-10-15,44.29
2015-10-14,43.72
2015-10-13,41.16
2015-10-12,41.24
2015-10-09,41.21
2015-10-08,41.79
2015-10-07,42.54
2015-10-06,41.85
2015-10-05,41.8
2015-10-02,40.15
2015-10-01,39.96
2015-09-30,40.35
2015-09-29,38.73
2015-09-28,38.31
2015-09-25,39.02
2015-09-24,38.89
2015-09-23,38.83
2015-09-22,38.83
2015-09-21,39.74
2015-09-18,39.93
2015-09-17,40.64
2015-09-16,41.01
2015-09-15,40.94
2015-09-14,40.59
2015-09-11,40.57
2015-09-10,40.26
2015-09-09,40.35
2015-09-08,41.09
2015-09-04,39.12
2015-09-03,39.88
2015-09-02,39.66
2015-09-01,38.46
2015-08-31,40.28
2015-08-28,40.81
2015-08-27,40.69
2015-08-26,39.71
2015-08-25,37.41
2015-08-24,38.43
2015-08-21,38.55
2015-08-20,39.44
2015-08-19,40.33
2015-08-18,40.53
2015-08-17,41.3
2015-08-14,41.24
2015-08-13,41.13
2015-08-12,41.65
2015-08-11,42.05
2015-08-10,43.0
2015-08-07,41.91
2015-08-06,41.68
2015-08-05,41.52
2015-08-04,41.05
2015-08-03,41.33
2015-07-31,41.0
2015-07-30,40.99
2015-07-29,40.78
2015-07-28,40.73
2015-07-27,40.27
2015-07-24,40.21
2015-07-23,40.98
2015-07-22,40.41
2015-07-21,43.12
2015-07-20,43.0
2015-07-17,43.57
2015-07-16,43.58
2015-07-15,43.27
2015-07-14,43.54
2015-07-13,43.35
2015-07-10,43.04
2015-07-09,42.48
2015-07-08,42.83
2015-07-07,43.76
2015-07-06,43.65
2015-07-02,44.45
2015-07-01,44.26
2015-06-30,44.23
2015-06-29,44.35
2015-06-26,45.37
2015-06-25,46.19
2015-06-24,46.23
2015-06-23,46.56
2015-06-22,47.15
2015-06-19,47.27
2015-06-18,47.03
2015-06-17,46.24
2015-06-16,45.99
2015-06-15,45.87
2015-06-12,45.78
2015-06-11,46.48
2015-06-10,46.66
2015-06-09,45.99
2015-06-08,45.91
2015-06-05,46.63
2015-06-04,46.61
2015-06-03,46.91
2015-06-02,47.29
2015-06-01,47.76
2015-05-29,47.85
2015-05-28,48.03
2015-05-27,47.73
2015-05-26,46.6
2015-05-22,47.06
2015-05-21,46.96
2015-05-20,46.92
2015-05-19,46.96
2015-05-18,47.34
2015-05-15,47.08
2015-05-14,47.11
2015-05-13,46.06
2015-05-12,45.99
2015-05-11,46.34
2015-05-08,46.54
2015-05-07,45.9
2015-05-06,45.83
2015-05-05,45.71
2015-05-04,47.04
2015-05-01,46.99
2015-04-30,46.13
2015-04-29,46.21
2015-04-28,46.76
2015-04-27,46.18
2015-04-24,46.1
2015-04-23,47.44
2015-04-22,47.61
2015-04-21,47.63
2015-04-20,47.01
2015-04-17,46.16
2015-04-16,46.64
2015-04-15,46.17
2015-04-14,45.42
2015-04-13,46.01
2015-04-10,46.49
2015-04-09,46.35
2015-04-08,46.18
2015-04-07,46.08
2015-04-06,46.24
2015-04-02,46.12
2015-04-01,46.12
2015-03-31,46.8
2015-03-30,47.59
2015-03-27,46.68
2015-03-26,45.6
2015-03-25,45.47
2015-03-24,47.7
2015-03-23,48.26
2015-03-20,48.53
2015-03-19,47.59
2015-03-18,47.56
2015-03-17,47.23
2015-03-16,47.56
2015-03-13,46.8
2015-03-12,46.81
2015-03-11,47.1
2015-03-10,46.86
2015-03-09,47.77
2015-03-06,47.65
2015-03-05,48.37
2015-03-04,47.55
2015-03-03,48.2
2015-03-02,49.55
2015-02-27,48.19
2015-02-26,48.4
2015-02-25,48.48
2015-02-24,48.58
2015-02-23,47.92
2015-02-20,48.25
2015-02-19,47.88
2015-02-18,47.96
2015-02-17,48.75
2015-02-13,48.38
2015-02-12,47.93
2015-02-11,47.23
2015-02-10,47.17
2015-02-09,45.9
2015-02-06,46.38
2015-02-05,46.36
2015-02-04,45.74
2015-02-03,46.09
2015-02-02,44.97
2015-01-30,44.94
2015-01-29,45.75
2015-01-28,45.54
2015-01-27,46.03
2015-01-26,46.8
2015-01-23,46.76
2015-01-22,46.85
2015-01-21,46.33
2015-01-20,45.91
2015-01-16,45.32
2015-01-15,44.84
2015-01-14,45.62
2015-01-13,45.17
2015-01-12,45.45
2015-01-09,45.67
2015-01-08,45.46
2015-01-07,44.24
2015-01-06,44.06
2015-01-05,45.29
2015-01-02,45.99
2014-12-31,45.6
2014-12-30,45.95
2014-12-29,46.15
2014-12-26,46.49
2014-12-24,46.66
2014-12-23,46.43
2014-12-22,46.71
2014-12-19,45.95
2014-12-18,46.14
2014-12-17,45.76
2014-12-16,44.96
2014-12-15,45.53
2014-12-12,45.41
2014-12-11,45.54
2014-12-10,45.58
2014-12-09,46.31
2014-12-08,46.34
2014-12-05,47.12
2014-12-04,46.56
2014-12-03,46.8
2014-12-02,45.88
2014-12-01,45.45
2014-11-28,46.03
2014-11-26,45.55
2014-11-25,44.34
2014-11-24,44.49
2014-11-21,44.1
2014-11-20,43.71
2014-11-19,43.5
2014-11-18,43.78
2014-11-17,43.29
2014-11-14,43.4
2014-11-13,43.04
2014-11-12,43.1
2014-11-11,43.23
2014-11-10,43.64
2014-11-07,43.36
2014-11-06,43.42
2014-11-05,43.97
2014-11-04,43.34
2014-11-03,43.15
2014-10-31,42.84
2014-10-30,41.31
2014-10-29,41.46
2014-10-28,41.05
2014-10-27,40.82
2014-10-24,40.89
2014-10-23,40.91
2014-10-22,40.27
2014-10-21,40.88
2014-10-20,39.59
2014-10-17,39.09
2014-10-16,39.49
2014-10-15,38.69
2014-10-14,39.03
2014-10-13,38.81
2014-10-10,39.28
2014-10-09,41.3
2014-10-08,42.5
2014-10-07,41.17
2014-10-06,42.27
2014-10-03,42.47
2014-10-02,42.72
2014-10-01,43.11
2014-09-30,44.39
2014-09-29,44.73
2014-09-26,44.43
2014-09-25,44.18
2014-09-24,45.02
2014-09-23,45.04
2014-09-22,45.2
2014-09-19,45.46
2014-09-18,45.88
2014-09-17,45.18
2014-09-16,44.76
2014-09-15,44.44
2014-09-12,44.62
2014-09-11,45.34
2014-09-10,45.51
2014-09-09,45.53
2014-09-08,45.49
2014-09-05,45.35
2014-09-04,45.3
2014-09-03,45.1
2014-09-02,44.87
2014-08-29,45.11
2014-08-28,45.03
2014-08-27,44.74
2014-08-26,45.05
2014-08-25,45.16
2014-08-22,45.49
2014-08-21,45.29
2014-08-20,45.47
2014-08-19,45.14
2014-08-18,44.63
2014-08-15,44.73
2014-08-14,44.47
2014-08-13,44.38
2014-08-12,44.3
2014-08-11,44.22
2014-08-08,43.96
2014-08-07,43.52
2014-08-06,44.25
2014-08-05,43.79
2014-08-04,43.9
2014-08-01,44.24
2014-07-31,44.13
2014-07-30,45.33
2014-07-29,45.01
2014-07-28,44.28
2014-07-25,44.03
2014-07-24,44.49
2014-07-23,44.94
2014-07-22,47.67
2014-07-21,47.32
2014-07-18,47.21
2014-07-17,46.54
2014-07-16,47.14
2014-07-15,46.83
2014-07-14,47.37
2014-07-11,47.47
2014-07-10,47.57
2014-07-09,48.03
2014-07-08,47.44
2014-07-07,47.39
2014-07-03,47.78
2014-07-02,47.33
2014-07-01,47.36
2014-06-30,47.07
2014-06-27,46.68
2014-06-26,46.79
2014-06-25,47.14
2014-06-24,47.16
2014-06-23,47.63
2014-06-20,47.74
2014-06-19,47.35
2014-06-18,47.08
2014-06-17,47.35
2014-06-16,47.12
2014-06-13,47.15
2014-06-12,46.92
2014-06-11,47.16
2014-06-10,47.07
2014-06-09,47.04
2014-06-06,46.35
2014-06-05,46.38
2014-06-04,45.97
2014-06-03,46.0
2014-06-02,45.99
2014-05-30,46.16
2014-05-29,46.13
2014-05-28,46.04
2014-05-27,45.99
2014-05-23,45.98
2014-05-22,45.58
2014-05-21,45.29
2014-05-20,44.73
2014-05-19,44.59
2014-05-16,44.31
2014-05-15,44.23
2014-05-14,44.72
2014-05-13,45.33
2014-05-12,45.48
2014-05-09,44.74
2014-05-08,44.66
2014-05-07,44.5
2014-05-06,44.32
2014-05-05,44.52
2014-05-02,44.86
2014-05-01,44.52
2014-04-30,44.5
2014-04-29,44.43
2014-04-28,44.39
2014-04-25,44.64
2014-04-24,46.75
2014-04-23,46.88
2014-04-22,46.65
2014-04-21,46.5
2014-04-17,46.37
2014-04-16,45.07
2014-04-15,47.13
2014-04-14,46.6
2014-04-11,46.35
2014-04-10,47.72
2014-04-09,49.08
2014-04-08,48.62
2014-04-07,47.79
2014-04-04,48.46
2014-04-03,49.7
2014-04-02,49.88
2014-04-01,50.43
2014-03-31,48.69
2014-03-28,47.85
2014-03-27,47.91
2014-03-26,48.44
2014-03-25,48.68
2014-03-24,48.26
2014-03-21,48.18
2014-03-20,48.25
2014-03-19,47.33
2014-03-18,47.29
2014-03-17,47.02
2014-03-14,46.46
2014-03-13,46.89
2014-03-12,47.88
2014-03-11,47.98
2014-03-10,47.78
2014-03-07,48.16
2014-03-06,47.68
2014-03-05,47.2
2014-03-04,47.22
2014-03-03,46.54
2014-02-28,46.84
2014-02-27,46.63
2014-02-26,46.64
2014-02-25,46.18
2014-02-24,46.26
2014-02-21,46.14
2014-02-20,46.12
2014-02-19,46.04
2014-02-18,45.88
2014-02-14,45.99
2014-02-13,45.76
2014-02-12,44.99
2014-02-11,44.7
2014-02-10,44.32
2014-02-07,44.12
2014-02-06,43.7
2014-02-05,43.51
2014-02-04,43.36
2014-02-03,43.58
2014-01-31,44.54
2014-01-30,44.66
2014-01-29,44.58
2014-01-28,44.76
2014-01-27,44.5
2014-01-24,44.82
2014-01-23,45.79
2014-01-22,46.59
2014-01-21,46.29
2014-01-17,46.0
2014-01-16,46.29
2014-01-15,46.14
2014-01-14,45.19
2014-01-13,44.49
2014-01-10,45.43
2014-01-09,45.25
2014-01-08,45.18
2014-01-07,44.85
2014-01-06,44.77
2014-01-03,44.98
2014-01-02,44.88
2013-12-31,45.55
2013-12-30,45.5
2013-12-27,45.38
2013-12-26,45.32
2013-12-24,45.2
2013-12-23,45.19
2013-12-20,44.8
2013-12-19,44.54
2013-12-18,45.11
2013-12-17,44.53
2013-12-16,43.95
2013-12-13,43.35
2013-12-12,43.34
2013-12-11,43.5
2013-12-10,43.92
2013-12-09,43.98
2013-12-06,43.93
2013-12-05,43.44
2013-12-04,43.52
2013-12-03,43.2
2013-12-02,42.46
2013-11-29,42.55
2013-11-27,42.56
2013-11-26,42.53
2013-11-25,42.42
2013-11-22,42.27
2013-11-21,42.25
2013-11-20,41.67
2013-11-19,41.7
2013-11-18,42.05
2013-11-15,42.21
2013-11-14,41.21
2013-11-13,41.05
2013-11-12,40.81
2013-11-11,40.86
2013-11-08,40.97
2013-11-07,40.63
2013-11-06,41.15
2013-11-05,40.94
2013-11-04,40.62
2013-11-01,40.81
2013-10-31,41.16
2013-10-30,40.55
2013-10-29,40.89
2013-10-28,39.77
2013-10-25,39.07
2013-10-24,38.95
2013-10-23,38.74
2013-10-22,39.42
2013-10-21,39.32
2013-10-18,39.27
2013-10-17,39.26
2013-10-16,39.11
2013-10-15,39.55
2013-10-14,40.01
2013-10-11,39.67
2013-10-10,39.35
2013-10-09,38.7
2013-10-08,38.8
2013-10-07,39.51
2013-10-04,39.57
2013-10-03,39.55
2013-10-02,39.6
2013-10-01,39.81
2013-09-30,39.66
2013-09-27,39.6
2013-09-26,39.79
2013-09-25,39.84
2013-09-24,40.0
2013-09-23,40.09
2013-09-20,40.1
2013-09-19,40.44
2013-09-18,40.53
2013-09-17,40.44
2013-09-16,40.33
2013-09-13,40.29
2013-09-12,40.19
2013-09-11,40.21
2013-09-10,39.82
2013-09-09,39.0
2013-09-06,39.12
2013-09-05,39.4
2013-09-04,39.43
2013-09-03,38.88
2013-08-30,38.33
2013-08-29,38.49
2013-08-28,38.54
2013-08-27,38.26
2013-08-26,38.91
2013-08-23,39.12
2013-08-22,39.03
2013-08-21,38.7
2013-08-20,39.29
2013-08-19,39.08
2013-08-16,39.14
2013-08-15,39.12
2013-08-14,39.64
2013-08-13,40.33
2013-08-12,40.18
2013-08-09,39.91
2013-08-08,40.14
2013-08-07,40.09
2013-08-06,40.19
2013-08-05,40.51
2013-08-02,40.55
2013-08-01,40.98
2013-07-31,40.55
2013-07-30,40.26
2013-07-29,39.62
2013-07-26,39.86
2013-07-25,40.25
2013-07-24,39.58
2013-07-23,40.43
2013-07-22,40.2
2013-07-19,39.88
2013-07-18,40.12
2013-07-17,40.28
2013-07-16,40.03
2013-07-15,39.55
2013-07-12,39.9
2013-07-11,39.5
2013-07-10,38.11
2013-07-09,37.6
2013-07-08,37.04
2013-07-05,37.61
2013-07-03,36.96
2013-07-02,36.8
2013-07-01,36.75
2013-06-28,36.84
2013-06-27,36.78
2013-06-26,36.65
2013-06-25,36.44
2013-06-24,35.78
2013-06-21,36.35
2013-06-20,35.92
2013-06-19,36.81
2013-06-18,37.28
2013-06-17,36.86
2013-06-14,36.39
2013-06-13,36.6
2013-06-12,35.7
2013-06-11,36.35
2013-06-10,37.16
2013-06-07,37.09
2013-06-06,36.74
2013-06-05,37.09
2013-06-04,37.6
2013-06-03,37.4
2013-05-31,37.52
2013-05-30,38.32
2013-05-29,37.49
2013-05-28,37.24
2013-05-24,37.05
2013-05-23,37.04
2013-05-22,37.3
2013-05-21,37.64
2013-05-20,37.71
2013-05-17,38.06
2013-05-16,37.74
2013-05-15,37.93
2013-05-14,38.13
2013-05-13,37.86
2013-05-10,38.38
2013-05-09,38.12
2013-05-08,38.09
2013-05-07,37.83
2013-05-06,37.79
2013-05-03,37.31
2013-05-02,36.97
2013-05-01,36.1
2013-04-30,36.5
2013-04-29,35.79
2013-04-26,35.48
2013-04-25,35.73
2013-04-24,35.57
2013-04-23,35.43
2013-04-22,35.0
2013-04-19,34.61
2013-04-18,34.69
2013-04-17,35.12
2013-04-16,36.68
2013-04-15,36.04
2013-04-12,36.69
2013-04-11,36.89
2013-04-10,36.71
2013-04-09,36.13
2013-04-08,35.87
2013-04-05,35.64
2013-04-04,35.69
2013-04-03,35.72
2013-04-02,36.84
2013-04-01,37.01
2013-03-28,38.37
2013-03-27,37.95
2013-03-26,37.9
2013-03-25,37.31
2013-03-22,37.39
2013-03-21,36.98
2013-03-20,37.51
2013-03-19,37.2
2013-03-18,37.24
2013-03-15,37.72
2013-03-14,38.42
2013-03-13,38.25
2013-03-12,38.23
2013-03-11,38.29
2013-03-08,38.42
2013-03-07,38.36
2013-03-06,38.48
2013-03-05,38.39
2013-03-04,37.76
2013-03-01,37.91
2013-02-28,38.25
2013-02-27,38.24
2013-02-26,37.77
2013-02-25,37.38
2013-02-22,37.91
2013-02-21,37.35
2013-02-20,38.1
2013-02-19,38.58
2013-02-15,37.93
2013-02-14,37.86
2013-02-13,37.81
2013-02-12,37.73
2013-02-11,37.69
2013-02-08,37.64
2013-02-07,36.97
2013-02-06,37.2
2013-02-05,37.22
2013-02-04,36.78
2013-02-01,37.02
2013-01-31,36.62
2013-01-30,36.82
2013-01-29,36.6
2013-01-28,36.76
2013-01-25,36.7
2013-01-24,36.38
2013-01-23,36.58
2013-01-22,36.38
2013-01-18,36.48
2013-01-17,36.38
2013-01-16,35.87
2013-01-15,35.55
2013-01-14,35.79
2013-01-11,35.73
2013-01-10,36.17
2013-01-09,35.95
2013-01-08,35.7
2013-01-07,35.91
2013-01-04,35.71
2013-01-03,35.81
2013-01-02,35.99
2012-12-31,34.3
2012-12-28,33.8
2012-12-27,33.96
2012-12-26,34.12
2012-12-24,34.24
2012-12-21,34.22
2012-12-20,34.39
2012-12-19,34.14
2012-12-18,34.35
2012-12-17,33.74
2012-12-14,33.58
2012-12-13,33.61
2012-12-12,34.46
2012-12-11,34.42
2012-12-10,33.77
2012-12-07,33.66
2012-12-06,33.51
2012-12-05,33.17
2012-12-04,33.02
2012-12-03,32.98
2012-11-30,33.19
2012-11-29,33.08
2012-11-28,32.88
2012-11-27,32.32
2012-11-26,32.42
2012-11-23,32.45
2012-11-21,31.9
2012-11-20,31.91
2012-11-19,31.97
2012-11-16,31.24
2012-11-15,31.47
2012-11-14,31.83
2012-11-13,32.36
2012-11-12,32.43
2012-11-09,32.48
2012-11-08,32.46
2012-11-07,32.32
2012-11-06,33.19
2012-11-05,32.92
2012-11-02,32.25
2012-11-01,32.64
2012-10-31,31.26
2012-10-26,31.58
2012-10-25,31.41
2012-10-24,31.0
2012-10-23,31.27
2012-10-22,31.24
2012-10-19,31.2
2012-10-18,31.6
2012-10-17,32.22
2012-10-16,32.56
2012-10-15,32.04
2012-10-12,31.51
2012-10-11,31.77
2012-10-10,31.61
2012-10-09,31.99
2012-10-08,32.93
2012-10-05,33.23
2012-10-04,33.41
2012-10-03,32.99
2012-10-02,33.04
2012-10-01,32.57
2012-09-28,31.82
2012-09-27,32.23
2012-09-26,31.64
2012-09-25,31.77
2012-09-24,32.59
2012-09-21,32.91
2012-09-20,33.06
2012-09-19,33.0
2012-09-18,33.39
2012-09-17,33.4
2012-09-14,33.67
2012-09-13,33.47
2012-09-12,33.11
2012-09-11,33.15
2012-09-10,33.06
2012-09-07,33.55
2012-09-06,33.67
2012-09-05,32.65
2012-09-04,32.7
2012-08-31,33.02
2012-08-30,32.45
2012-08-29,32.68
2012-08-28,32.69
2012-08-27,32.71
2012-08-24,32.91
2012-08-23,32.7
2012-08-22,32.82
2012-08-21,32.92
2012-08-20,32.87
2012-08-17,33.19
2012-08-16,33.3
2012-08-15,33.09
2012-08-14,33.29
2012-08-13,33.14
2012-08-10,33.13
2012-08-09,33.02
2012-08-08,32.86
2012-08-07,32.95
2012-08-06,32.73
2012-08-03,32.46
2012-08-02,32.03
2012-08-01,32.11
2012-07-31,32.25
2012-07-30,32.22
2012-07-27,32.46
2012-07-26,31.76
2012-07-25,31.12
2012-07-24,30.12
2012-07-23,30.56
2012-07-20,30.77
2012-07-19,31.07
2012-07-18,31.0
2012-07-17,29.83
2012-07-16,29.8
2012-07-13,30.1
2012-07-12,29.66
2012-07-11,30.09
2012-07-10,30.17
2012-07-09,30.43
2012-07-06,30.85
2012-07-05,31.61
2012-07-03,31.66
2012-07-02,31.35
2012-06-29,31.33
2012-06-28,30.25
2012-06-27,30.51
2012-06-26,29.98
2012-06-25,29.86
2012-06-22,30.65
2012-06-21,30.28
2012-06-20,31.03
2012-06-19,30.91
2012-06-18,30.54
2012-06-15,29.87
2012-06-14,29.6
2012-06-13,29.57
2012-06-12,29.85
2012-06-11,29.42
2012-06-08,29.82
2012-06-07,29.62
2012-06-06,30.13
2012-06-05,29.08
2012-06-04,28.69
2012-06-01,28.31
2012-05-31,29.02
2012-05-30,29.11
2012-05-29,29.42
2012-05-25,29.15
2012-05-24,29.14
2012-05-23,29.16
2012-05-22,29.29
2012-05-21,29.35
2012-05-18,28.93
2012-05-17,29.45
2012-05-16,29.84
2012-05-15,30.16
2012-05-14,30.42
2012-05-11,30.65
2012-05-10,30.76
2012-05-09,30.87
2012-05-08,31.1
2012-05-07,31.1
2012-05-04,31.28
2012-05-03,31.75
2012-05-02,32.53
2012-05-01,32.58
2012-04-30,32.71
2012-04-27,32.86
2012-04-26,32.62
2012-04-25,32.24
2012-04-24,31.9
2012-04-23,32.06
2012-04-20,32.33
2012-04-19,32.93
2012-04-18,33.05
2012-04-17,33.15
2012-04-16,32.51
2012-04-13,32.05
2012-04-12,32.48
2012-04-11,32.14
2012-04-10,31.52
2012-04-09,32.05
2012-04-05,32.33
2012-04-04,32.29
2012-04-03,32.46
2012-04-02,33.03
2012-03-30,33.7
2012-03-29,33.3
2012-03-28,33.23
2012-03-27,33.49
2012-03-26,33.59
2012-03-23,33.22
2012-03-22,33.4
2012-03-21,33.63
2012-03-20,33.76
2012-03-19,34.07
2012-03-16,33.79
2012-03-15,33.95
2012-03-14,33.5
2012-03-13,33.78
2012-03-12,33.2
2012-03-09,33.17
2012-03-08,33.09
2012-03-07,32.78
2012-03-06,32.38
2012-03-05,32.2
2012-03-02,32.8
2012-03-01,33.24
2012-02-29,33.48
2012-02-28,34.11
2012-02-27,33.39
2012-02-24,33.34
2012-02-23,33.48
