LH,Date
28.348281860351562,1990-09-25
28.592655181884766,1990-09-26
25.660079956054688,1990-09-27
24.68255043029785,1990-09-28
27.126367568969727,1990-10-01
27.126367568969727,1990-10-02
26.881988525390625,1990-10-03
26.881988525390625,1990-10-04
26.393224716186523,1990-10-05
26.393224716186523,1990-10-08
25.660079956054688,1990-10-09
25.660079956054688,1990-10-10
25.17131233215332,1990-10-11
24.193788528442383,1990-10-12
25.90445899963379,1990-10-15
25.17131233215332,1990-10-16
26.148839950561523,1990-10-17
26.63760757446289,1990-10-18
27.37075424194336,1990-10-19
27.615129470825195,1990-10-22
27.37075424194336,1990-10-23
27.37075424194336,1990-10-24
27.859514236450195,1990-10-25
26.881988525390625,1990-10-26
26.881988525390625,1990-10-29
26.393224716186523,1990-10-30
28.10389518737793,1990-10-31
27.615129470825195,1990-11-01
28.348281860351562,1990-11-02
28.348281860351562,1990-11-05
27.37075424194336,1990-11-06
26.881988525390625,1990-11-07
27.37075424194336,1990-11-08
27.37075424194336,1990-11-09
26.63760757446289,1990-11-12
26.63760757446289,1990-11-13
27.859514236450195,1990-11-14
28.10389518737793,1990-11-15
29.570186614990234,1990-11-16
30.058950424194336,1990-11-19
29.570186614990234,1990-11-20
28.10389518737793,1990-11-21
27.859514236450195,1990-11-23
26.63760757446289,1990-11-26
27.859514236450195,1990-11-27
28.10389518737793,1990-11-28
28.10389518737793,1990-11-29
27.615129470825195,1990-11-30
29.325801849365234,1990-12-03
29.570186614990234,1990-12-04
29.81456756591797,1990-12-05
29.570186614990234,1990-12-06
29.570186614990234,1990-12-07
29.570186614990234,1990-12-10
30.058950424194336,1990-12-11
30.303325653076172,1990-12-12
30.54771614074707,1990-12-13
29.570186614990234,1990-12-14
28.837039947509766,1990-12-17
26.881988525390625,1990-12-18
24.92693519592285,1990-12-19
22.238733291625977,1990-12-20
18.81739044189453,1990-12-21
19.794918060302734,1990-12-24
21.994352340698242,1990-12-26
21.016822814941406,1990-12-27
20.52806282043457,1990-12-28
21.64958953857422,1990-12-31
20.91153907775879,1991-01-02
20.419498443603516,1991-01-03
18.943391799926758,1991-01-04
17.959320068359375,1991-01-07
18.20533561706543,1991-01-08
18.20533561706543,1991-01-09
18.943391799926758,1991-01-10
19.681442260742188,1991-01-11
19.189409255981445,1991-01-14
19.927465438842773,1991-01-15
22.387643814086914,1991-01-16
22.387643814086914,1991-01-17
22.387643814086914,1991-01-18
21.64958953857422,1991-01-21
19.927465438842773,1991-01-22
22.387643814086914,1991-01-23
25.33985710144043,1991-01-24
25.09384536743164,1991-01-25
22.879682540893555,1991-01-28
22.63365936279297,1991-01-29
