LHX,Date
2.1313250064849854,1982-05-25
2.071845531463623,1982-05-26
2.0520200729370117,1982-05-27
2.042107582092285,1982-05-28
2.0321929454803467,1982-06-01
2.049790859222412,1982-06-02
2.0097951889038086,1982-06-03
1.9797980785369873,1982-06-04
1.9997974634170532,1982-06-07
1.9997974634170532,1982-06-08
1.8798091411590576,1982-06-09
1.8998056650161743,1982-06-10
1.9298030138015747,1982-06-11
1.859810709953308,1982-06-14
1.8198153972625732,1982-06-15
1.7598215341567993,1982-06-16
1.7498219013214111,1982-06-17
1.6598317623138428,1982-06-18
1.7398220300674438,1982-06-21
1.839813232421875,1982-06-22
1.8998056650161743,1982-06-23
1.9298030138015747,1982-06-24
1.8998056650161743,1982-06-25
1.8998056650161743,1982-06-28
1.9398037195205688,1982-06-29
1.9697997570037842,1982-06-30
1.9598008394241333,1982-07-01
1.9198042154312134,1982-07-02
1.9498002529144287,1982-07-06
1.8898077011108398,1982-07-07
1.909805178642273,1982-07-08
1.9198042154312134,1982-07-09
2.039792776107788,1982-07-12
2.0097951889038086,1982-07-13
2.039792776107788,1982-07-14
2.0297937393188477,1982-07-15
2.0597915649414062,1982-07-16
2.0597915649414062,1982-07-19
2.1197850704193115,1982-07-20
2.12978458404541,1982-07-21
2.1197850704193115,1982-07-22
2.139781951904297,1982-07-23
2.1197850704193115,1982-07-26
2.12978458404541,1982-07-27
2.1197850704193115,1982-07-28
2.1197850704193115,1982-07-29
2.109785318374634,1982-07-30
2.12978458404541,1982-08-02
2.12978458404541,1982-08-03
2.089787006378174,1982-08-04
2.039792776107788,1982-08-05
1.9897977113723755,1982-08-06
1.9598008394241333,1982-08-09
1.9797980785369873,1982-08-10
1.9598008394241333,1982-08-11
1.9598008394241333,1982-08-12
1.8998056650161743,1982-08-13
1.9498002529144287,1982-08-16
1.9797980785369873,1982-08-17
1.8998056650161743,1982-08-18
1.8998056650161743,1982-08-19
1.8798091411590576,1982-08-20
1.8798091411590576,1982-08-23
2.01979398727417,1982-08-24
2.169780969619751,1982-08-25
2.039792776107788,1982-08-26
2.109785318374634,1982-08-27
2.1797778606414795,1982-08-30
2.2378411293029785,1982-08-31
2.2580020427703857,1982-09-01
2.3789665699005127,1982-09-02
2.5100107192993164,1982-09-03
2.479771137237549,1982-09-07
2.5100107192993164,1982-09-08
2.4596097469329834,1982-09-09
2.4192891120910645,1982-09-10
2.4192891120910645,1982-09-13
2.5100107192993164,1982-09-14
2.540250778198242,1982-09-15
2.6511363983154297,1982-09-16
2.5704939365386963,1982-09-17
2.5704939365386963,1982-09-20
2.76202130317688,1982-09-21
2.822502613067627,1982-09-22
2.7821812629699707,1982-09-23
2.812422037124634,1982-09-24
2.7721009254455566,1982-09-27
2.7821812629699707,1982-09-28
2.7821812629699707,1982-09-29
2.7015380859375,1982-09-30
2.6914570331573486,1982-10-01
2.661217451095581,1982-10-04
2.7317793369293213,1982-10-05
2.7721009254455566,1982-10-06
2.8829846382141113,1982-10-07
2.9233062267303467,1982-10-08
3.0140295028686523,1982-10-11
3.0140295028686523,1982-10-12
3.04426908493042,1982-10-13
2.9737067222595215,1982-10-14
2.9233062267303467,1982-10-15
2.9031450748443604,1982-10-18
2.983790159225464,1982-10-19
2.983790159225464,1982-10-20
3.104752779006958,1982-10-21
