GEN,Date
0.466310054063797,1990-03-05
0.4721390902996063,1990-03-06
0.466310054063797,1990-03-07
0.466310054063797,1990-03-08
0.4604812264442444,1990-03-09
0.466310054063797,1990-03-12
0.4721390902996063,1990-03-13
0.4721390902996063,1990-03-14
0.4721390902996063,1990-03-15
0.47796785831451416,1990-03-16
0.4721390902996063,1990-03-19
0.4837968051433563,1990-03-20
0.4721390902996063,1990-03-21
0.4604812264442444,1990-03-22
0.4604812264442444,1990-03-23
0.4604812264442444,1990-03-26
0.4604812264442444,1990-03-27
0.4488234221935272,1990-03-28
0.4575670063495636,1990-03-29
0.466310054063797,1990-03-30
0.4604812264442444,1990-04-02
0.4604812264442444,1990-04-03
0.466310054063797,1990-04-04
0.466310054063797,1990-04-05
0.466310054063797,1990-04-06
