MA,Date
22.59810447692871,2009-12-09
22.707881927490234,2009-12-10
22.691125869750977,2009-12-11
23.020423889160156,2009-12-14
22.84088897705078,2009-12-15
22.91995620727539,2009-12-16
23.045530319213867,2009-12-17
23.70503807067871,2009-12-18
23.753406524658203,2009-12-21
23.777599334716797,2009-12-22
23.74969482421875,2009-12-23
23.758989334106445,2009-12-24
23.904096603393555,2009-12-28
24.03246307373047,2009-12-29
23.997116088867188,2009-12-30
23.811079025268555,2009-12-31
23.89107322692871,2010-01-04
23.820384979248047,2010-01-05
23.78594970703125,2010-01-06
23.63051414489746,2010-01-07
23.638883590698242,2010-01-08
23.249839782714844,2010-01-11
23.23680305480957,2010-01-12
23.84086036682129,2010-01-13
24.243865966796875,2010-01-14
24.44584846496582,2010-01-15
24.641292572021484,2010-01-19
24.514711380004883,2010-01-20
24.06050682067871,2010-01-21
23.43692398071289,2010-01-22
23.49648666381836,2010-01-25
23.139083862304688,2010-01-26
23.857616424560547,2010-01-27
23.217262268066406,2010-01-28
23.25914764404297,2010-01-29
23.586769104003906,2010-02-01
23.506723403930664,2010-02-02
23.043212890625,2010-02-03
20.672626495361328,2010-02-04
20.54511260986328,2010-02-05
21.07190704345703,2010-02-08
20.797344207763672,2010-02-09
21.118453979492188,2010-02-10
21.31390380859375,2010-02-11
20.986284255981445,2010-02-12
20.96953010559082,2010-02-16
20.925790786743164,2010-02-17
20.662395477294922,2010-02-18
20.721023559570312,2010-02-19
20.87088394165039,2010-02-22
20.66425323486328,2010-02-23
20.63911247253418,2010-02-24
20.61492156982422,2010-02-25
20.882984161376953,2010-02-26
21.661998748779297,2010-03-01
21.575441360473633,2010-03-02
21.607084274291992,2010-03-03
21.686201095581055,2010-03-04
22.294906616210938,2010-03-05
22.8598575592041,2010-03-08
22.940832138061523,2010-03-09
23.231220245361328,2010-03-10
23.2861385345459,2010-03-11
23.26566505432129,2010-03-12
23.27590560913086,2010-03-15
23.207029342651367,2010-03-16
23.142807006835938,2010-03-17
22.92408561706543,2010-03-18
22.74351692199707,2010-03-19
22.996671676635742,2010-03-22
22.85800552368164,2010-03-23
22.7733097076416,2010-03-24
22.9045467376709,2010-03-25
22.918495178222656,2010-03-26
23.08323860168457,2010-03-29
23.49276351928711,2010-03-30
23.640750885009766,2010-03-31
23.63516616821289,2010-04-01
23.787805557250977,2010-04-05
24.08284568786621,2010-04-06
23.809059143066406,2010-04-07
23.922677993774414,2010-04-08
24.108932495117188,2010-04-09
24.173189163208008,2010-04-12
24.073537826538086,2010-04-13
24.504722595214844,2010-04-14
24.45816421508789,2010-04-15
24.166667938232422,2010-04-16
23.961776733398438,2010-04-19
24.342681884765625,2010-04-20
24.268173217773438,2010-04-21
24.362239837646484,2010-04-22
24.88561248779297,2010-04-23
24.751508712768555,2010-04-26
23.733625411987305,2010-04-27
23.56134033203125,2010-04-28
23.782981872558594,2010-04-29
23.099424362182617,2010-04-30
23.350868225097656,2010-05-03
23.39836311340332,2010-05-04
22.15882682800293,2010-05-05
21.44733428955078,2010-05-06
20.775888442993164,2010-05-07
21.448266983032227,2010-05-10
20.78984832763672,2010-05-11
21.66338539123535,2010-05-12
21.634525299072266,2010-05-13
19.785003662109375,2010-05-14
19.632272720336914,2010-05-17
18.887248992919922,2010-05-18
18.853729248046875,2010-05-19
19.137758255004883,2010-05-20
19.915386199951172,2010-05-21
19.54193115234375,2010-05-24
19.265348434448242,2010-05-25
19.091205596923828,2010-05-26
19.351961135864258,2010-05-27
18.79039764404297,2010-05-28
18.661882400512695,2010-06-01
18.72054672241211,2010-06-02
18.811817169189453,2010-06-03
18.315454483032227,2010-06-04
18.632083892822266,2010-06-07
18.39647102355957,2010-06-08
18.2027645111084,2010-06-09
19.102375030517578,2010-06-10
19.08003044128418,2010-06-11
19.013898849487305,2010-06-14
19.51679039001465,2010-06-15
19.614582061767578,2010-06-16
19.92934799194336,2010-06-17
19.95355987548828,2010-06-18
20.799169540405273,2010-06-21
20.57566261291504,2010-06-22
20.47414779663086,2010-06-23
20.012231826782227,2010-06-24
20.33818244934082,2010-06-25
19.698400497436523,2010-06-28
18.904022216796875,2010-06-29
18.581787109375,2010-06-30
18.891210556030273,2010-07-01
18.89773178100586,2010-07-02
18.64236831665039,2010-07-06
19.345088958740234,2010-07-07
19.540796279907227,2010-07-08
20.08601188659668,2010-07-09
19.913593292236328,2010-07-12
20.00306510925293,2010-07-13
19.866985321044922,2010-07-14
19.740236282348633,2010-07-15
18.380481719970703,2010-07-16
18.25094223022461,2010-07-19
19.133527755737305,2010-07-20
18.779373168945312,2010-07-21
19.42243003845215,2010-07-22
19.845556259155273,2010-07-23
19.835309982299805,2010-07-26
19.96578025817871,2010-07-27
19.579944610595703,2010-07-28
19.41963768005371,2010-07-29
19.57527732849121,2010-07-30
18.874439239501953,2010-08-02
18.724380493164062,2010-08-03
19.133527755737305,2010-08-04
18.791486740112305,2010-08-05
19.33111000061035,2010-08-06
20.02728843688965,2010-08-09
20.163360595703125,2010-08-10
19.53986167907715,2010-08-11
19.742109298706055,2010-08-12
19.631196975708008,2010-08-13
19.612560272216797,2010-08-16
19.947141647338867,2010-08-17
19.83810043334961,2010-08-18
19.46811294555664,2010-08-19
19.233243942260742,2010-08-20
19.123273849487305,2010-08-23
18.87350082397461,2010-08-24
19.209020614624023,2010-08-25
18.935007095336914,2010-08-26
19.256547927856445,2010-08-27
18.891210556030273,2010-08-30
18.486732482910156,2010-08-31
18.740230560302734,2010-09-01
19.080398559570312,2010-09-02
19.290098190307617,2010-09-03
18.68803596496582,2010-09-07
18.117664337158203,2010-09-08
17.892122268676758,2010-09-09
18.466228485107422,2010-09-10
17.9899845123291,2010-09-13
18.616275787353516,2010-09-14
19.588327407836914,2010-09-15
19.59857940673828,2010-09-16
19.913593292236328,2010-09-17
20.3833065032959,2010-09-20
20.22300910949707,2010-09-21
20.413129806518555,2010-09-22
20.450407028198242,2010-09-23
20.649850845336914,2010-09-24
20.724411010742188,2010-09-27
20.783132553100586,2010-09-28
20.748641967773438,2010-09-29
20.87632179260254,2010-09-30
20.949020385742188,2010-10-01
20.74957275390625,2010-10-04
21.05340003967285,2010-10-05
20.811084747314453,2010-10-06
20.59752082824707,2010-10-07
20.758867263793945,2010-10-08
20.784040451049805,2010-10-11
20.715961456298828,2010-10-12
21.532922744750977,2010-10-13
21.697988510131836,2010-10-14
21.794984817504883,2010-10-15
21.95818519592285,2010-10-18
22.107406616210938,2010-10-19
22.431015014648438,2010-10-20
22.68002700805664,2010-10-21
22.62873077392578,2010-10-22
22.862812042236328,2010-10-25
22.710805892944336,2010-10-26
22.919702529907227,2010-10-27
22.337757110595703,2010-10-28
22.388120651245117,2010-10-29
22.288331985473633,2010-11-01
22.94021987915039,2010-11-02
23.485795974731445,2010-11-03
23.771175384521484,2010-11-04
23.9017333984375,2010-11-05
23.57252311706543,2010-11-08
23.456892013549805,2010-11-09
23.648061752319336,2010-11-10
23.508182525634766,2010-11-11
22.67816162109375,2010-11-12
22.655778884887695,2010-11-15
21.735305786132812,2010-11-16
21.876121520996094,2010-11-17
22.614742279052734,2010-11-18
22.7443790435791,2010-11-19
22.700544357299805,2010-11-22
21.97684097290039,2010-11-23
22.176429748535156,2010-11-24
21.930208206176758,2010-11-26
21.968448638916016,2010-11-29
22.10553741455078,2010-11-30
23.146326065063477,2010-12-01
23.239595413208008,2010-12-02
23.229333877563477,2010-12-03
23.609834671020508,2010-12-06
23.01482582092285,2010-12-07
23.374814987182617,2010-12-08
23.428911209106445,2010-12-09
23.75904655456543,2010-12-10
24.18712043762207,2010-12-13
23.699363708496094,2010-12-14
23.242389678955078,2010-12-15
20.842790603637695,2010-12-16
20.634817123413086,2010-12-17
20.847455978393555,2010-12-20
20.496797561645508,2010-12-21
20.27483367919922,2010-12-22
20.3587703704834,2010-12-23
20.950969696044922,2010-12-27
20.938852310180664,2010-12-28
21.02651596069336,2010-12-29
20.864242553710938,2010-12-30
20.90061378479004,2010-12-31
20.596588134765625,2011-01-03
20.862380981445312,2011-01-04
21.476959228515625,2011-01-05
21.568416595458984,2011-01-06
21.56562042236328,2011-01-07
21.482566833496094,2011-01-10
21.407907485961914,2011-01-11
21.72800636291504,2011-01-12
21.791454315185547,2011-01-13
22.108747482299805,2011-01-14
22.175935745239258,2011-01-18
21.964101791381836,2011-01-19
21.939838409423828,2011-01-20
21.79332733154297,2011-01-21
22.303796768188477,2011-01-24
22.540828704833984,2011-01-25
22.41391372680664,2011-01-26
22.314054489135742,2011-01-27
