Date,BF.B
2005-08-02,12.5227
2005-08-03,12.3392
2005-08-04,12.352
2005-08-05,12.3029
2005-08-08,12.2133
2005-08-09,12.1173
2005-08-10,12.1259
2005-08-11,12.1259
2005-08-12,12.0299
2005-08-15,12.0277
2005-08-16,11.9509
2005-08-17,11.968
2005-08-18,12.0405
2005-08-19,12.0427
2005-08-22,12.3328
2005-08-23,12.3733
2005-08-24,12.4629
2005-08-25,12.2901
2005-08-26,12.2325
2005-08-29,12.2283
2005-08-30,12.2475
2005-08-31,12.0811
2005-09-01,12.0384
2005-09-02,12.0299
2005-09-06,12.2133
2005-09-07,12.3157
2005-09-08,12.2283
2005-09-09,12.3755
2005-09-12,13.0496
2005-09-13,12.7573
2005-09-14,12.7339
2005-09-15,12.8405
2005-09-16,13.2608
2005-09-19,13.1776
2005-09-20,13.12
2005-09-21,12.8917
2005-09-22,12.7723
2005-09-23,12.7915
2005-09-26,12.4416
2005-09-27,12.4971
2005-09-28,12.4288
2005-09-29,12.4949
2005-09-30,12.7019
2005-10-03,12.5589
2005-10-04,12.8
2005-10-05,12.4117
2005-10-06,12.4373
2005-10-07,12.256
2005-10-10,12.2901
2005-10-11,12.2581
2005-10-12,12.2944
2005-10-13,12.2752
2005-10-14,12.48
2005-10-17,12.4459
2005-10-18,12.4523
2005-10-19,12.5333
2005-10-20,12.3947
2005-10-21,12.7445
2005-10-24,13.0987
2005-10-25,13.0709
2005-10-26,12.9813
2005-10-27,12.9771
2005-10-28,13.3675
2005-10-31,13.5125
2005-11-01,13.44
2005-11-02,13.4528
2005-11-03,13.5808
2005-11-04,13.6107
2005-11-07,13.5061
2005-11-08,13.536
2005-11-09,13.6512
2005-11-10,13.824
2005-11-11,13.8283
2005-11-14,13.8901
2005-11-15,14.0032
2005-11-16,14.0117
2005-11-17,13.9093
2005-11-18,13.8453
2005-11-21,13.92
2005-11-22,14.2955
2005-11-23,14.2933
2005-11-25,14.3445
2005-11-28,14.5301
2005-11-29,14.7093
2005-11-30,14.6901
2005-12-01,14.624
2005-12-02,14.7797
2005-12-05,14.7669
2005-12-06,14.848
2005-12-07,14.9397
2005-12-08,14.9973
2005-12-09,15.0613
2005-12-12,14.9589
2005-12-13,15.2853
2005-12-14,15.3003
2005-12-15,15.3109
2005-12-16,15.2427
2005-12-19,15.2256
2005-12-20,15.2448
2005-12-21,14.8949
2005-12-22,14.8651
2005-12-23,15.04
2005-12-27,15.0123
2005-12-28,14.9973
2005-12-29,14.8971
2005-12-30,14.7883
2006-01-03,15.2107
2006-01-04,15.2043
2006-01-05,14.7733
2006-01-06,14.8459
2006-01-09,14.9589
2006-01-10,14.9184
2006-01-11,15.1957
2006-01-12,15.1147
2006-01-13,15.1424
2006-01-17,15.0656
2006-01-18,14.9163
2006-01-19,14.9227
2006-01-20,14.9483
2006-01-23,15.0827
2006-01-24,15.1595
2006-01-25,15.2192
2006-01-26,15.0699
2006-01-27,15.2043
2006-01-30,15.168
2006-01-31,15.1296
2006-02-01,14.8779
2006-02-02,15.008
2006-02-03,14.9419
2006-02-06,14.7157
2006-02-07,14.5109
2006-02-08,14.5408
2006-02-09,14.5707
2006-02-10,14.5493
2006-02-13,14.5792
2006-02-14,14.5387
2006-02-15,14.6389
2006-02-16,14.7349
2006-02-17,14.624
2006-02-21,14.7307
2006-02-22,14.9461
2006-02-23,14.9696
2006-02-24,14.848
2006-02-27,14.9739
2006-02-28,15.0101
2006-03-01,16.2133
2006-03-02,16.3157
2006-03-03,16.4309
2006-03-06,16.3477
2006-03-07,16.3883
2006-03-08,16.4928
2006-03-09,16.6229
2006-03-10,16.8149
2006-03-13,16.8427
2006-03-14,17.1264
2006-03-15,17.1179
2006-03-16,17.4101
2006-03-17,17.4741
2006-03-20,17.44
2006-03-21,17.3035
2006-03-22,17.2373
2006-03-23,17.1029
2006-03-24,16.9536
2006-03-27,16.8789
2006-03-28,16.8491
2006-03-29,16.8576
2006-03-30,16.5824
2006-03-31,16.4203
2006-04-03,16.3093
2006-04-04,16.2539
2006-04-05,16.2432
2006-04-06,16.1536
2006-04-07,15.8656
2006-04-10,15.8656
2006-04-11,15.6928
2006-04-12,15.7653
2006-04-13,15.6587
2006-04-17,15.6011
2006-04-18,15.8421
2006-04-19,15.8827
2006-04-20,15.8251
2006-04-21,15.6843
2006-04-24,15.616
2006-04-25,15.5712
2006-04-26,15.9147
2006-04-27,15.7803
2006-04-28,15.8933
2006-05-01,15.5968
2006-05-02,16.0939
2006-05-03,16.0213
2006-05-04,16.16
2006-05-05,16.1173
2006-05-08,16.1707
2006-05-09,16.1771
2006-05-10,16.256
2006-05-11,16.1024
2006-05-12,15.9125
2006-05-15,16.0853
2006-05-16,16.0149
2006-05-17,15.6651
2006-05-18,15.6011
2006-05-19,15.7952
2006-05-22,15.8528
2006-05-23,15.9595
2006-05-24,15.9125
2006-05-25,16.0832
2006-05-26,16.0107
2006-05-30,16.0469
2006-05-31,16.2773
2006-06-01,15.7909
2006-06-02,15.8741
2006-06-05,15.8187
2006-06-06,16.0
2006-06-07,15.9765
2006-06-08,15.648
2006-06-09,15.4133
2006-06-12,15.1659
2006-06-13,15.0933
2006-06-14,15.4304
2006-06-15,15.7589
2006-06-16,15.6629
2006-06-19,15.4283
2006-06-20,15.6928
2006-06-21,15.6864
2006-06-22,15.4773
2006-06-23,15.4667
2006-06-26,15.264
2006-06-27,15.1061
2006-06-28,15.1979
2006-06-29,15.456
2006-06-30,15.2427
2006-07-03,15.3472
2006-07-05,15.2341
2006-07-06,15.2576
2006-07-07,14.9973
2006-07-10,15.008
2006-07-11,15.3792
2006-07-12,15.0165
2006-07-13,14.8267
2006-07-14,14.6901
2006-07-17,14.912
2006-07-18,15.0208
2006-07-19,15.4048
2006-07-20,15.3365
2006-07-21,15.3621
2006-07-24,15.4688
2006-07-25,15.5221
2006-07-26,15.5499
2006-07-27,15.4453
2006-07-28,15.5883
2006-07-31,15.6693
2006-08-01,15.6203
2006-08-02,15.6928
2006-08-03,15.5712
2006-08-04,15.6523
2006-08-07,15.4325
2006-08-08,15.4731
2006-08-09,15.4155
2006-08-10,15.4197
2006-08-11,15.3771
2006-08-14,15.3408
2006-08-15,15.6715
2006-08-16,15.872
2006-08-17,15.7227
2006-08-18,15.7589
2006-08-21,15.808
2006-08-22,15.7056
2006-08-23,15.8165
2006-08-24,15.7504
2006-08-25,15.7995
2006-08-28,15.7035
2006-08-29,16.1259
2006-08-30,16.1408
2006-08-31,16.4224
2006-09-01,16.5547
2006-09-05,16.4928
2006-09-06,16.3307
2006-09-07,16.224
2006-09-08,16.2795
2006-09-11,16.2027
2006-09-12,16.1131
2006-09-13,16.0533
2006-09-14,16.0704
2006-09-15,16.1579
2006-09-18,16.1152
2006-09-19,16.3627
2006-09-20,16.4011
2006-09-21,16.0917
2006-09-22,16.0981
2006-09-25,16.3563
2006-09-26,16.3733
2006-09-27,16.3136
2006-09-28,16.288
2006-09-29,16.352
2006-10-02,16.3883
2006-10-03,16.2752
2006-10-04,16.3989
2006-10-05,16.2987
2006-10-06,16.1835
2006-10-09,16.032
2006-10-10,15.904
2006-10-11,15.8592
2006-10-12,15.904
2006-10-13,15.8251
2006-10-16,15.8101
2006-10-17,15.6501
2006-10-18,15.6779
2006-10-19,15.5861
2006-10-20,15.4752
2006-10-23,15.36
2006-10-24,15.2085
2006-10-25,15.3707
2006-10-26,15.3899
2006-10-27,15.4368
2006-10-30,15.4709
2006-10-31,15.4005
2006-11-01,15.296
2006-11-02,15.1957
2006-11-03,15.1957
2006-11-06,15.3835
2006-11-07,15.3408
2006-11-08,15.3003
2006-11-09,15.2939
2006-11-10,15.3621
2006-11-13,15.3707
2006-11-14,15.2875
2006-11-15,15.2811
2006-11-16,15.3664
2006-11-17,15.3621
2006-11-20,15.3643
2006-11-21,15.2896
2006-11-22,15.36
2006-11-24,15.296
2006-11-27,15.1787
2006-11-28,15.2256
2006-11-29,15.2853
2006-11-30,14.816
2006-12-01,14.3808
2006-12-04,14.4149
2006-12-05,14.0928
2006-12-06,14.0928
2006-12-07,14.24
2006-12-08,14.4789
2006-12-11,14.1867
2006-12-12,14.1781
2006-12-13,14.1589
2006-12-14,14.2635
2006-12-15,14.24
2006-12-18,14.1696
2006-12-19,14.0416
2006-12-20,13.9776
2006-12-21,13.9968
2006-12-22,13.9584
2006-12-26,14.0181
2006-12-27,14.1141
2006-12-28,14.1525
2006-12-29,14.1312
2007-01-03,14.1525
2007-01-04,13.9563
2007-01-05,13.7771
2007-01-08,13.8453
2007-01-09,13.8731
2007-01-10,13.8901
2007-01-11,13.9008
2007-01-12,13.9669
2007-01-16,13.9797
2007-01-17,14.0011
2007-01-18,14.112
2007-01-19,14.0608
2007-01-22,14.0501
2007-01-23,14.0267
2007-01-24,14.0544
2007-01-25,13.9627
2007-01-26,13.888
2007-01-29,13.8368
2007-01-30,13.8581
2007-01-31,13.9925
2007-02-01,14.1184
2007-02-02,14.1205
2007-02-05,14.1184
2007-02-06,13.9072
2007-02-07,13.9819
2007-02-08,13.8944
2007-02-09,13.8773
2007-02-12,13.9733
2007-02-13,14.0587
2007-02-14,14.1077
2007-02-15,14.1205
2007-02-16,14.0971
2007-02-20,14.4491
2007-02-21,14.3488
2007-02-22,14.3296
2007-02-23,14.2208
2007-02-26,14.304
2007-02-27,13.8347
2007-02-28,13.952
2007-03-01,13.8581
2007-03-02,13.7067
2007-03-05,13.8133
2007-03-06,14.0352
2007-03-07,13.7493
2007-03-08,13.7771
2007-03-09,13.8496
2007-03-12,13.8709
2007-03-13,13.6213
2007-03-14,13.8453
2007-03-15,13.8069
2007-03-16,13.7941
2007-03-19,13.7899
2007-03-20,13.6939
2007-03-21,13.8624
2007-03-22,13.7771
2007-03-23,13.8816
2007-03-26,13.9435
2007-03-27,13.7984
2007-03-28,13.8645
2007-03-29,13.9648
2007-03-30,13.9861
2007-04-02,14.0075
2007-04-03,14.1013
2007-04-04,14.0224
2007-04-05,14.0032
2007-04-09,13.6789
2007-04-10,13.8133
2007-04-11,13.6405
2007-04-12,13.5659
2007-04-13,13.5552
2007-04-16,13.7301
2007-04-17,13.6939
2007-04-18,13.6619
2007-04-19,13.6661
2007-04-20,13.7408
2007-04-23,13.6939
2007-04-24,13.6576
2007-04-25,13.6917
2007-04-26,13.6832
2007-04-27,13.6747
2007-04-30,13.6384
2007-05-01,13.7067
2007-05-02,13.7387
2007-05-03,13.8005
2007-05-04,13.7131
2007-05-07,13.792
2007-05-08,13.6939
2007-05-09,13.9435
2007-05-10,13.7408
2007-05-11,13.7771
2007-05-14,13.9541
2007-05-15,13.92
2007-05-16,14.1312
2007-05-17,14.0971
2007-05-18,14.1504
2007-05-21,14.1995
2007-05-22,14.3061
2007-05-23,14.4256
2007-05-24,14.304
2007-05-25,14.4448
2007-05-29,14.56
2007-05-30,14.5685
2007-05-31,14.5621
2007-06-01,14.4747
2007-06-04,14.5024
2007-06-05,15.0528
2007-06-06,15.0357
2007-06-07,14.7627
2007-06-08,14.9163
2007-06-11,15.2939
2007-06-12,15.232
2007-06-13,15.4709
2007-06-14,15.4667
2007-06-15,15.4944
2007-06-18,15.6651
2007-06-19,15.5605
2007-06-20,15.4048
2007-06-21,15.6224
2007-06-22,15.1701
2007-06-25,15.2277
2007-06-26,15.2256
2007-06-27,15.5051
2007-06-28,15.5669
2007-06-29,15.5904
2007-07-02,15.4667
2007-07-03,15.4069
2007-07-05,15.4133
2007-07-06,15.4091
2007-07-09,15.6075
2007-07-10,15.2555
2007-07-11,15.328
2007-07-12,15.4176
2007-07-13,15.4773
2007-07-16,15.4283
2007-07-17,15.3237
2007-07-18,15.2192
2007-07-19,15.3899
2007-07-20,15.0656
2007-07-23,15.1061
2007-07-24,14.9077
2007-07-25,15.0016
2007-07-26,14.5536
2007-07-27,14.2208
2007-07-30,14.4576
2007-07-31,14.1739
2007-08-01,14.5088
2007-08-02,14.7136
2007-08-03,14.8437
2007-08-06,15.424
2007-08-07,15.8208
2007-08-08,16.0405
2007-08-09,16.1237
2007-08-10,15.7056
2007-08-13,15.3792
2007-08-14,14.9461
2007-08-15,14.9717
2007-08-16,15.4155
2007-08-17,15.7867
2007-08-20,15.7717
2007-08-21,15.776
2007-08-22,15.9744
2007-08-23,15.6949
2007-08-24,15.8037
2007-08-27,15.5819
2007-08-28,15.3707
2007-08-29,15.8293
2007-08-30,15.4368
2007-08-31,15.2661
2007-09-04,15.3003
