INTU,Date
5.050022125244141,1994-10-27
5.096436500549316,1994-10-28
5.240323543548584,1994-10-31
5.161418437957764,1994-11-01
5.161418437957764,1994-11-02
5.124288082122803,1994-11-03
5.036097049713135,1994-11-04
4.975757122039795,1994-11-07
5.050022125244141,1994-11-08
5.050022125244141,1994-11-09
5.0128889083862305,1994-11-10
4.9200568199157715,1994-11-11
5.0128889083862305,1994-11-14
5.068587303161621,1994-11-15
5.050022125244141,1994-11-16
5.124288082122803,1994-11-17
5.059304714202881,1994-11-18
5.087153434753418,1994-11-21
4.9200568199157715,1994-11-22
4.882924556732178,1994-11-23
4.966473579406738,1994-11-25
5.087153434753418,1994-11-28
5.133568286895752,1994-11-29
5.1799845695495605,1994-11-30
5.161418437957764,1994-12-01
4.994321823120117,1994-12-02
4.957190990447998,1994-12-05
4.957190990447998,1994-12-06
4.957190990447998,1994-12-07
4.855074882507324,1994-12-08
4.80866003036499,1994-12-09
4.864359378814697,1994-12-12
4.994321823120117,1994-12-13
5.0128889083862305,1994-12-14
5.068587303161621,1994-12-15
5.068587303161621,1994-12-16
5.105721473693848,1994-12-19
4.901491165161133,1994-12-20
5.0128889083862305,1994-12-21
4.957190990447998,1994-12-22
4.994321823120117,1994-12-23
4.975757122039795,1994-12-27
4.938623428344727,1994-12-28
4.957190990447998,1994-12-29
4.957190990447998,1994-12-30
4.975757122039795,1995-01-03
4.975757122039795,1995-01-04
5.050022125244141,1995-01-05
5.087153434753418,1995-01-06
5.087153434753418,1995-01-09
5.105721473693848,1995-01-10
5.105721473693848,1995-01-11
5.063945770263672,1995-01-12
5.161418437957764,1995-01-13
5.142851829528809,1995-01-16
5.1799845695495605,1995-01-17
5.142851829528809,1995-01-18
5.091794967651367,1995-01-19
4.957190990447998,1995-01-20
4.957190990447998,1995-01-23
4.938623428344727,1995-01-24
4.938623428344727,1995-01-25
4.9200568199157715,1995-01-26
4.9200568199157715,1995-01-27
4.882924556732178,1995-01-30
4.901491165161133,1995-01-31
4.901491165161133,1995-02-01
4.864359378814697,1995-02-02
4.892207622528076,1995-02-03
4.9200568199157715,1995-02-06
4.901491165161133,1995-02-07
4.9200568199157715,1995-02-08
4.957190990447998,1995-02-09
5.105721473693848,1995-02-10
5.050022125244141,1995-02-13
5.087153434753418,1995-02-14
4.864359378814697,1995-02-15
4.80866003036499,1995-02-16
4.771527290344238,1995-02-17
4.660129070281982,1995-02-21
4.771527290344238,1995-02-22
4.790093898773193,1995-02-23
4.882924556732178,1995-02-24
4.901491165161133,1995-02-27
4.9200568199157715,1995-02-28
4.9200568199157715,1995-03-01
4.9107747077941895,1995-03-02
4.975757122039795,1995-03-03
4.994321823120117,1995-03-06
5.124288082122803,1995-03-07
5.161418437957764,1995-03-08
5.217118740081787,1995-03-09
5.2728166580200195,1995-03-10
5.328515529632568,1995-03-13
5.6070098876953125,1995-03-14
5.458479404449463,1995-03-15
5.495613098144531,1995-03-16
5.495613098144531,1995-03-17
5.5698771476745605,1995-03-20
5.6070098876953125,1995-03-21
5.6070098876953125,1995-03-22
5.755539894104004,1995-03-23
5.792670726776123,1995-03-24
5.792670726776123,1995-03-27
5.792670726776123,1995-03-28
5.792670726776123,1995-03-29
5.755539894104004,1995-03-30
5.792670726776123,1995-03-31
5.6998395919799805,1995-04-03
5.5698771476745605,1995-04-04
5.495613098144531,1995-04-05
5.458479404449463,1995-04-06
5.439911842346191,1995-04-07
5.514178276062012,1995-04-10
5.53274393081665,1995-04-11
5.458479404449463,1995-04-12
5.477045059204102,1995-04-13
5.774105072021484,1995-04-17
5.718406677246094,1995-04-18
5.755539894104004,1995-04-19
5.6627092361450195,1995-04-20
5.625576019287109,1995-04-21
6.201129913330078,1995-04-24
6.2196946144104,1995-04-25
6.163997173309326,1995-04-26
5.402780055999756,1995-04-27
5.031454563140869,1995-04-28
5.207836151123047,1995-05-01
5.105721473693848,1995-05-02
5.217118740081787,1995-05-03
5.254249095916748,1995-05-04
5.319233417510986,1995-05-05
5.2913818359375,1995-05-08
5.319233417510986,1995-05-09
5.495613098144531,1995-05-10
5.495613098144531,1995-05-11
5.504892826080322,1995-05-12
5.6070098876953125,1995-05-15
5.644140720367432,1995-05-16
5.718406677246094,1995-05-17
5.53274393081665,1995-05-18
5.53274393081665,1995-05-19
4.604430675506592,1995-05-22
4.771527290344238,1995-05-23
4.780811309814453,1995-05-24
4.771527290344238,1995-05-25
4.678696632385254,1995-05-26
4.669412612915039,1995-05-30
4.697262287139893,1995-05-31
4.734395503997803,1995-06-01
4.752960205078125,1995-06-02
4.882924556732178,1995-06-05
4.827225685119629,1995-06-06
4.836508750915527,1995-06-07
4.929340362548828,1995-06-08
5.031454563140869,1995-06-09
5.031454563140869,1995-06-12
5.040737628936768,1995-06-13
5.226401329040527,1995-06-14
5.328515529632568,1995-06-15
5.588442802429199,1995-06-16
5.8112359046936035,1995-06-19
5.755539894104004,1995-06-20
5.681275367736816,1995-06-21
5.8112359046936035,1995-06-22
5.634858131408691,1995-06-23
5.514178276062012,1995-06-26
5.467762470245361,1995-06-27
5.421347141265869,1995-06-28
5.5513105392456055,1995-06-29
5.644140720367432,1995-06-30
5.6070098876953125,1995-07-03
5.6162919998168945,1995-07-05
5.644140720367432,1995-07-06
5.746256351470947,1995-07-07
5.718406677246094,1995-07-10
5.774105072021484,1995-07-11
5.8112359046936035,1995-07-12
6.163997173309326,1995-07-13
6.368224620819092,1995-07-14
6.349659442901611,1995-07-17
6.126864433288574,1995-07-18
5.959767818450928,1995-07-19
5.959767818450928,1995-07-20
5.922633647918701,1995-07-21
6.1454315185546875,1995-07-24
6.386791706085205,1995-07-25
6.368224620819092,1995-07-26
6.498189449310303,1995-07-27
6.349659442901611,1995-07-28
6.405358791351318,1995-07-31
6.433207035064697,1995-08-01
6.423923492431641,1995-08-02
6.535322189331055,1995-08-03
6.553888320922852,1995-08-04
6.628152847290039,1995-08-07
6.618871212005615,1995-08-08
6.646719932556152,1995-08-09
6.572455883026123,1995-08-10
6.591020584106445,1995-08-11
6.618871212005615,1995-08-14
6.665286540985107,1995-08-15
6.591020584106445,1995-08-16
6.665286540985107,1995-08-17
6.646719932556152,1995-08-18
6.68385124206543,1995-08-21
6.609586715698242,1995-08-22
6.68385124206543,1995-08-23
6.646719932556152,1995-08-24
6.498189449310303,1995-08-25
6.238261699676514,1995-08-28
6.03403377532959,1995-08-29
6.163997173309326,1995-08-30
6.39607572555542,1995-08-31
6.3218092918396,1995-09-01
6.238261699676514,1995-09-05
6.238261699676514,1995-09-06
6.331093788146973,1995-09-07
6.572455883026123,1995-09-08
6.498189449310303,1995-09-11
6.4796223640441895,1995-09-12
6.423923492431641,1995-09-13
6.9809136390686035,1995-09-14
6.813816547393799,1995-09-15
7.203707218170166,1995-09-18
7.61216402053833,1995-09-19
7.37080192565918,1995-09-20
7.61216402053833,1995-09-21
7.61216402053833,1995-09-22
7.53789758682251,1995-09-25
7.4265007972717285,1995-09-26
7.129441738128662,1995-09-27
7.129441738128662,1995-09-28
6.9809136390686035,1995-09-29
7.018043518066406,1995-10-02
6.720984935760498,1995-10-03
6.535322189331055,1995-10-04
6.68385124206543,1995-10-05
6.702415466308594,1995-10-06
6.572455883026123,1995-10-09
6.572455883026123,1995-10-10
6.9809136390686035,1995-10-11
7.110874652862549,1995-10-12
7.148007392883301,1995-10-13
7.203707218170166,1995-10-16
7.25940465927124,1995-10-17
7.9834885597229,1995-10-18
8.391950607299805,1995-10-19
8.429080963134766,1995-10-20
8.429080963134766,1995-10-23
8.911806106567383,1995-10-24
9.468791007995605,1995-10-25
9.728719711303711,1995-10-26
10.174307823181152,1995-10-27
10.619895935058594,1995-10-30
10.694165229797363,1995-10-31
11.696737289428711,1995-11-01
12.290863990783691,1995-11-02
11.919535636901855,1995-11-03
11.436812400817871,1995-11-06
11.436812400817871,1995-11-07
11.71530818939209,1995-11-08
12.105195999145508,1995-11-09
12.327993392944336,1995-11-10
12.216598510742188,1995-11-13
11.919535636901855,1995-11-14
11.919535636901855,1995-11-15
11.993802070617676,1995-11-16
12.030932426452637,1995-11-17
10.879823684692383,1995-11-20
10.211441993713379,1995-11-21
10.731295585632324,1995-11-22
10.991225242614746,1995-11-24
11.065488815307617,1995-11-27
11.919535636901855,1995-11-28
12.179462432861328,1995-11-29
12.476523399353027,1995-11-30
12.513654708862305,1995-12-01
12.922110557556152,1995-12-04
12.550786972045898,1995-12-05
12.38369369506836,1995-12-06
11.845268249511719,1995-12-07
11.548209190368652,1995-12-08
11.77100658416748,1995-12-11
11.511080741882324,1995-12-12
11.548209190368652,1995-12-13
11.065488815307617,1995-12-14
10.95409107208252,1995-12-15
10.100043296813965,1995-12-18
11.176886558532715,1995-12-19
10.95409107208252,1995-12-20
11.362550735473633,1995-12-21
11.585341453552246,1995-12-22
11.529645919799805,1995-12-26
11.566777229309082,1995-12-27
11.251152038574219,1995-12-28
11.585341453552246,1995-12-29
11.139754295349121,1996-01-02
10.619895935058594,1996-01-03
10.100043296813965,1996-01-04
9.988642692565918,1996-01-05
9.802982330322266,1996-01-08
8.837538719177246,1996-01-09
8.559043884277344,1996-01-10
9.208860397338867,1996-01-11
9.728719711303711,1996-01-12
8.94893741607666,1996-01-15
9.1160306930542,1996-01-16
7.909222602844238,1996-01-17
8.057757377624512,1996-01-18
8.094888687133789,1996-01-19
8.466211318969727,1996-01-22
8.689003944396973,1996-01-23
8.577610969543457,1996-01-24
8.577610969543457,1996-01-25
8.651871681213379,1996-01-26
8.354811668395996,1996-01-29
9.283127784729004,1996-01-30
9.15316104888916,1996-01-31
9.060335159301758,1996-02-01
9.765848159790039,1996-02-02
9.914381980895996,1996-02-05
9.93294620513916,1996-02-06
9.654451370239258,1996-02-07
9.431658744812012,1996-02-08
8.726140975952148,1996-02-09
8.577610969543457,1996-02-12
8.391950607299805,1996-02-13
8.317680358886719,1996-02-14
8.206283569335938,1996-02-15
8.391950607299805,1996-02-16
9.060335159301758,1996-02-20
9.431658744812012,1996-02-21
10.044342041015625,1996-02-22
9.84011459350586,1996-02-23
9.431658744812012,1996-02-26
9.691582679748535,1996-02-27
9.617321014404297,1996-02-28
9.914381980895996,1996-02-29
7.500768184661865,1996-03-01
6.665286540985107,1996-03-04
6.386791706085205,1996-03-05
6.646719932556152,1996-03-06
6.498189449310303,1996-03-07
6.720984935760498,1996-03-08
7.296536445617676,1996-03-11
7.53789758682251,1996-03-12
7.909222602844238,1996-03-13
7.61216402053833,1996-03-14
7.686430931091309,1996-03-15
7.203707218170166,1996-03-18
7.2779717445373535,1996-03-19
7.018043518066406,1996-03-20
6.9809136390686035,1996-03-21
7.203707218170166,1996-03-22
6.943780422210693,1996-03-25
7.055177688598633,1996-03-26
6.943780422210693,1996-03-27
6.758114814758301,1996-03-28
6.68385124206543,1996-03-29
6.869513988494873,1996-04-01
7.129441738128662,1996-04-02
7.092308044433594,1996-04-03
6.9809136390686035,1996-04-04
7.110874652862549,1996-04-08
6.720984935760498,1996-04-09
6.720984935760498,1996-04-10
6.869513988494873,1996-04-11
6.8323822021484375,1996-04-12
6.9785895347595215,1996-04-15
6.9809136390686035,1996-04-16
6.795250415802002,1996-04-17
7.055177688598633,1996-04-18
7.018043518066406,1996-04-19
7.296536445617676,1996-04-22
7.166574001312256,1996-04-23
7.166574001312256,1996-04-24
7.166574001312256,1996-04-25
7.7235612869262695,1996-04-26
7.649295806884766,1996-04-29
7.7235612869262695,1996-04-30
8.094888687133789,1996-05-01
7.575031280517578,1996-05-02
8.057757377624512,1996-05-03
7.9834885597229,1996-05-06
8.243419647216797,1996-05-07
7.964923858642578,1996-05-08
7.649295806884766,1996-05-09
7.7235612869262695,1996-05-10
8.057757377624512,1996-05-13
8.16915225982666,1996-05-14
8.094888687133789,1996-05-15
8.16915225982666,1996-05-16
8.13201904296875,1996-05-17
7.9463582038879395,1996-05-20
7.9463582038879395,1996-05-21
7.872093677520752,1996-05-22
7.872093677520752,1996-05-23
7.61216402053833,1996-05-24
7.389369487762451,1996-05-28
7.166574001312256,1996-05-29
7.37080192565918,1996-05-30
7.7235612869262695,1996-05-31
7.61216402053833,1996-06-03
7.61216402053833,1996-06-04
7.7235612869262695,1996-06-05
7.4265007972717285,1996-06-06
7.61216402053833,1996-06-07
7.7235612869262695,1996-06-10
7.909222602844238,1996-06-11
7.9463582038879395,1996-06-12
7.834960460662842,1996-06-13
7.927789688110352,1996-06-14
7.937073230743408,1996-06-17
7.797826766967773,1996-06-18
7.361522197723389,1996-06-19
7.315106391906738,1996-06-20
7.2779717445373535,1996-06-21
7.2779717445373535,1996-06-24
7.166574001312256,1996-06-25
6.7395501136779785,1996-06-26
6.720984935760498,1996-06-27
7.018043518066406,1996-06-28
7.2779717445373535,1996-07-01
7.240839958190918,1996-07-02
7.055177688598633,1996-07-03
6.795250415802002,1996-07-05
6.609586715698242,1996-07-08
6.423923492431641,1996-07-09
6.386791706085205,1996-07-10
6.052598476409912,1996-07-11
5.644140720367432,1996-07-12
5.087153434753418,1996-07-15
5.105721473693848,1996-07-16
5.384214401245117,1996-07-17
5.625576019287109,1996-07-18
5.347082614898682,1996-07-19
5.124288082122803,1996-07-22
4.975757122039795,1996-07-23
5.198552131652832,1996-07-24
5.53274393081665,1996-07-25
5.5698771476745605,1996-07-26
5.356363296508789,1996-07-29
5.309947490692139,1996-07-30
5.198552131652832,1996-07-31
5.263533592224121,1996-08-01
5.495613098144531,1996-08-02
5.978332996368408,1996-08-05
6.015466213226318,1996-08-06
5.959767818450928,1996-08-07
5.904069900512695,1996-08-08
5.904069900512695,1996-08-09
5.792670726776123,1996-08-12
5.755539894104004,1996-08-13
5.792670726776123,1996-08-14
5.681275367736816,1996-08-15
5.53274393081665,1996-08-16
5.458479404449463,1996-08-19
5.458479404449463,1996-08-20
5.53274393081665,1996-08-21
5.866936206817627,1996-08-22
5.718406677246094,1996-08-23
5.458479404449463,1996-08-26
5.6070098876953125,1996-08-27
5.718406677246094,1996-08-28
5.53274393081665,1996-08-29
5.421347141265869,1996-08-30
5.384214401245117,1996-09-03
4.827225685119629,1996-09-04
4.790093898773193,1996-09-05
4.790093898773193,1996-09-06
