DIDIY,Date
7.579999923706055,2021-10-06
7.829999923706055,2021-10-07
8.170000076293945,2021-10-08
8.380000114440918,2021-10-11
8.449999809265137,2021-10-12
8.300000190734863,2021-10-13
8.270000457763672,2021-10-14
8.260000228881836,2021-10-15
8.239999771118164,2021-10-18
8.5600004196167,2021-10-19
8.619999885559082,2021-10-20
9.8100004196167,2021-10-21
9.1899995803833,2021-10-22
8.829999923706055,2021-10-25
8.40999984741211,2021-10-26
8.210000038146973,2021-10-27
8.260000228881836,2021-10-28
8.069999694824219,2021-10-29
8.460000038146973,2021-11-01
8.229999542236328,2021-11-02
8.359999656677246,2021-11-03
8.239999771118164,2021-11-04
8.119999885559082,2021-11-05
8.119999885559082,2021-11-08
8.119999885559082,2021-11-09
8.949999809265137,2021-11-10
8.960000038146973,2021-11-11
9.510000228881836,2021-11-12
9.010000228881836,2021-11-15
9.0,2021-11-16
8.640000343322754,2021-11-17
8.430000305175781,2021-11-18
8.300000190734863,2021-11-19
8.130000114440918,2021-11-22
8.119999885559082,2021-11-23
8.109999656677246,2021-11-24
7.880000114440918,2021-11-26
7.809999942779541,2021-11-29
7.630000114440918,2021-11-30
7.809999942779541,2021-12-01
7.800000190734863,2021-12-02
6.070000171661377,2021-12-03
6.670000076293945,2021-12-06
7.199999809265137,2021-12-07
6.960000038146973,2021-12-08
6.659999847412109,2021-12-09
6.489999771118164,2021-12-10
6.420000076293945,2021-12-13
6.320000171661377,2021-12-14
6.070000171661377,2021-12-15
6.340000152587891,2021-12-16
6.28000020980835,2021-12-17
5.900000095367432,2021-12-20
6.039999961853027,2021-12-21
5.630000114440918,2021-12-22
5.599999904632568,2021-12-23
5.300000190734863,2021-12-27
5.380000114440918,2021-12-28
4.940000057220459,2021-12-29
5.230000019073486,2021-12-30
4.980000019073486,2021-12-31
5.25,2022-01-03
5.0,2022-01-04
5.019999980926514,2022-01-05
4.699999809265137,2022-01-06
4.5,2022-01-07
4.489999771118164,2022-01-10
4.900000095367432,2022-01-11
4.960000038146973,2022-01-12
4.670000076293945,2022-01-13
4.670000076293945,2022-01-14
4.78000020980835,2022-01-18
5.010000228881836,2022-01-19
5.360000133514404,2022-01-20
4.860000133514404,2022-01-21
4.760000228881836,2022-01-24
4.289999961853027,2022-01-25
4.070000171661377,2022-01-26
3.9000000953674316,2022-01-27
3.7200000286102295,2022-01-28
3.609999895095825,2022-01-31
3.609999895095825,2022-02-01
3.6600000858306885,2022-02-02
3.559999942779541,2022-02-03
3.4200000762939453,2022-02-04
3.549999952316284,2022-02-07
3.890000104904175,2022-02-08
3.9600000381469727,2022-02-09
4.309999942779541,2022-02-10
3.990000009536743,2022-02-11
4.28000020980835,2022-02-14
4.380000114440918,2022-02-15
4.460000038146973,2022-02-16
4.260000228881836,2022-02-17
4.03000020980835,2022-02-18
4.25,2022-02-22
4.170000076293945,2022-02-23
4.119999885559082,2022-02-24
4.090000152587891,2022-02-25
4.099999904632568,2022-02-28
4.079999923706055,2022-03-01
4.0,2022-03-02
3.990000009536743,2022-03-03
4.019999980926514,2022-03-04
4.0,2022-03-07
3.549999952316284,2022-03-08
3.7799999713897705,2022-03-09
3.380000114440918,2022-03-10
1.8899999856948853,2022-03-11
1.7599999904632568,2022-03-14
1.7999999523162842,2022-03-15
2.549999952316284,2022-03-16
2.559999942779541,2022-03-17
4.090000152587891,2022-03-18
4.159999847412109,2022-03-21
4.0,2022-03-22
3.809999942779541,2022-03-23
3.799999952316284,2022-03-24
3.2699999809265137,2022-03-25
3.0199999809265137,2022-03-28
3.059999942779541,2022-03-29
2.940000057220459,2022-03-30
2.5,2022-03-31
2.819999933242798,2022-04-01
3.0,2022-04-04
2.6500000953674316,2022-04-05
2.5999999046325684,2022-04-06
2.5799999237060547,2022-04-07
2.5199999809265137,2022-04-08
2.549999952316284,2022-04-11
2.4600000381469727,2022-04-12
2.5399999618530273,2022-04-13
2.4600000381469727,2022-04-14
2.009999990463257,2022-04-18
2.0199999809265137,2022-04-19
1.8799999952316284,2022-04-20
1.7100000381469727,2022-04-21
1.7200000286102295,2022-04-22
1.7999999523162842,2022-04-25
1.7300000190734863,2022-04-26
1.7799999713897705,2022-04-27
1.809999942779541,2022-04-28
1.8799999952316284,2022-04-29
1.9900000095367432,2022-05-02
2.009999990463257,2022-05-03
2.0199999809265137,2022-05-04
1.940000057220459,2022-05-05
1.7400000095367432,2022-05-06
1.559999942779541,2022-05-09
1.5700000524520874,2022-05-10
1.5299999713897705,2022-05-11
1.4600000381469727,2022-05-12
1.4900000095367432,2022-05-13
1.4900000095367432,2022-05-16
1.5099999904632568,2022-05-17
1.5099999904632568,2022-05-18
1.6100000143051147,2022-05-19
1.5,2022-05-20
1.440000057220459,2022-05-23
1.4800000190734863,2022-05-24
1.75,2022-05-25
1.850000023841858,2022-05-26
2.009999990463257,2022-05-27
1.9500000476837158,2022-05-31
1.8200000524520874,2022-06-01
1.909999966621399,2022-06-02
1.850000023841858,2022-06-03
2.299999952316284,2022-06-06
2.240000009536743,2022-06-07
2.509999990463257,2022-06-08
2.359999895095825,2022-06-09
2.2899999618530273,2022-06-10
2.4600000381469727,2022-06-13
2.759999990463257,2022-06-14
2.759999990463257,2022-06-15
2.640000104904175,2022-06-16
2.809999942779541,2022-06-17
2.869999885559082,2022-06-21
2.950000047683716,2022-06-22
3.049999952316284,2022-06-23
3.4000000953674316,2022-06-24
3.390000104904175,2022-06-27
3.0199999809265137,2022-06-28
3.0799999237060547,2022-06-29
2.950000047683716,2022-06-30
3.140000104904175,2022-07-01
3.3299999237060547,2022-07-05
3.2799999713897705,2022-07-06
3.390000104904175,2022-07-07
3.309999942779541,2022-07-08
2.9600000381469727,2022-07-11
3.009999990463257,2022-07-12
3.0299999713897705,2022-07-13
2.890000104904175,2022-07-14
2.940000057220459,2022-07-15
2.930000066757202,2022-07-18
3.319999933242798,2022-07-19
3.490000009536743,2022-07-20
3.799999952316284,2022-07-21
3.559999942779541,2022-07-22
3.380000114440918,2022-07-25
3.009999990463257,2022-07-26
3.049999952316284,2022-07-27
3.0899999141693115,2022-07-28
2.859999895095825,2022-07-29
2.549999952316284,2022-08-01
2.640000104904175,2022-08-02
2.869999885559082,2022-08-03
2.9200000762939453,2022-08-04
2.819999933242798,2022-08-05
2.8940000534057617,2022-08-08
3.069999933242798,2022-08-09
3.0,2022-08-10
3.009999990463257,2022-08-11
2.940000057220459,2022-08-12
2.880000114440918,2022-08-15
2.890000104904175,2022-08-16
2.799999952316284,2022-08-17
2.940000057220459,2022-08-18
2.819999933242798,2022-08-19
2.609999895095825,2022-08-22
2.609999895095825,2022-08-23
2.619999885559082,2022-08-24
2.7100000381469727,2022-08-25
2.6600000858306885,2022-08-26
2.5899999141693115,2022-08-29
2.4000000953674316,2022-08-30
2.549999952316284,2022-08-31
2.5199999809265137,2022-09-01
2.559999942779541,2022-09-02
2.5,2022-09-06
2.490000009536743,2022-09-07
2.549999952316284,2022-09-08
2.619999885559082,2022-09-09
2.5799999237060547,2022-09-12
2.5,2022-09-13
2.4600000381469727,2022-09-14
2.4100000858306885,2022-09-15
2.200000047683716,2022-09-16
2.130000114440918,2022-09-19
2.2300000190734863,2022-09-20
2.130000114440918,2022-09-21
2.059999942779541,2022-09-22
1.9800000190734863,2022-09-23
1.9299999475479126,2022-09-26
1.9500000476837158,2022-09-27
1.9700000286102295,2022-09-28
1.899999976158142,2022-09-29
1.8370000123977661,2022-09-30
1.940000057220459,2022-10-03
2.049999952316284,2022-10-04
2.0199999809265137,2022-10-05
2.0,2022-10-06
1.8899999856948853,2022-10-07
1.8300000429153442,2022-10-10
1.7100000381469727,2022-10-11
1.7899999618530273,2022-10-12
1.7699999809265137,2022-10-13
1.6799999475479126,2022-10-14
1.7200000286102295,2022-10-17
1.7100000381469727,2022-10-18
1.659999966621399,2022-10-19
1.6299999952316284,2022-10-20
1.590000033378601,2022-10-21
1.4800000190734863,2022-10-24
1.6399999856948853,2022-10-25
1.7000000476837158,2022-10-26
1.9500000476837158,2022-10-27
1.9800000190734863,2022-10-28
1.9500000476837158,2022-10-31
1.9900000095367432,2022-11-01
1.9500000476837158,2022-11-02
1.940000057220459,2022-11-03
2.130000114440918,2022-11-04
2.059999942779541,2022-11-07
2.25,2022-11-08
2.1700000762939453,2022-11-09
2.1700000762939453,2022-11-10
2.4200000762939453,2022-11-11
2.430000066757202,2022-11-14
2.549999952316284,2022-11-15
2.390000104904175,2022-11-16
2.440000057220459,2022-11-17
2.4800000190734863,2022-11-18
2.4000000953674316,2022-11-21
2.369999885559082,2022-11-22
2.4000000953674316,2022-11-23
2.369999885559082,2022-11-25
2.319999933242798,2022-11-28
2.5490000247955322,2022-11-29
2.674999952316284,2022-11-30
2.5299999713897705,2022-12-01
2.8499999046325684,2022-12-02
2.990000009536743,2022-12-05
3.0999999046325684,2022-12-06
3.3399999141693115,2022-12-07
4.144999980926514,2022-12-08
3.7799999713897705,2022-12-09
3.319999933242798,2022-12-12
3.4200000762939453,2022-12-13
3.1600000858306885,2022-12-14
3.4000000953674316,2022-12-15
3.640000104904175,2022-12-16
3.680000066757202,2022-12-19
