SBAC,Date
9.559525489807129,1999-10-22
9.320537567138672,1999-10-25
9.61927318572998,1999-10-26
9.559525489807129,1999-10-27
9.499780654907227,1999-10-28
9.320537567138672,1999-10-29
9.201045989990234,1999-11-01
9.201045989990234,1999-11-02
9.081552505493164,1999-11-03
9.440033912658691,1999-11-04
9.440033912658691,1999-11-05
10.156999588012695,1999-11-08
11.471431732177734,1999-11-09
12.666373252868652,1999-11-10
14.219795227050781,1999-11-11
11.710420608520508,1999-11-12
11.710420608520508,1999-11-15
11.351938247680664,1999-11-16
11.53117847442627,1999-11-17
11.471431732177734,1999-11-18
11.471431732177734,1999-11-19
11.53117847442627,1999-11-22
10.993456840515137,1999-11-23
10.694720268249512,1999-11-24
10.75446605682373,1999-11-26
10.75446605682373,1999-11-29
10.993456840515137,1999-11-30
10.933712005615234,1999-12-01
11.232441902160645,1999-12-02
12.367636680603027,1999-12-03
12.48713207244873,1999-12-06
13.024856567382812,1999-12-07
13.383337020874023,1999-12-08
13.502833366394043,1999-12-09
13.622325897216797,1999-12-10
13.562577247619629,1999-12-13
13.801568984985352,1999-12-14
13.144350051879883,1999-12-15
14.3392915725708,1999-12-16
15.175747871398926,1999-12-17
16.37068748474121,1999-12-20
15.534233093261719,1999-12-21
16.25119972229004,1999-12-22
16.13170051574707,1999-12-23
16.25119972229004,1999-12-27
16.729175567626953,1999-12-28
16.729175567626953,1999-12-29
17.207149505615234,1999-12-30
17.92411231994629,1999-12-31
17.207149505615234,2000-01-03
16.968158721923828,2000-01-04
16.25119972229004,2000-01-05
16.191450119018555,2000-01-06
17.565629959106445,2000-01-07
21.030961990356445,2000-01-10
24.735273361206055,2000-01-11
21.7479248046875,2000-01-12
24.317047119140625,2000-01-13
23.958560943603516,2000-01-14
26.70693016052246,2000-01-18
25.69123077392578,2000-01-19
25.69123077392578,2000-01-20
25.69123077392578,2000-01-21
27.125154495239258,2000-01-24
29.15656089782715,2000-01-25
30.11250877380371,2000-01-26
27.662885665893555,2000-01-27
28.917572021484375,2000-01-28
28.977317810058594,2000-01-31
31.665935516357422,2000-02-01
32.50239944458008,2000-02-02
33.458351135253906,2000-02-03
32.98037338256836,2000-02-04
33.816829681396484,2000-02-07
33.0998649597168,2000-02-08
32.26340103149414,2000-02-09
33.219356536865234,2000-02-10
33.33884811401367,2000-02-11
33.33884811401367,2000-02-14
33.51809310913086,2000-02-15
32.62188720703125,2000-02-16
30.232004165649414,2000-02-17
26.527687072753906,2000-02-18
28.798076629638672,2000-02-22
29.515039443969727,2000-02-23
31.78542709350586,2000-02-24
34.41429901123047,2000-02-25
34.41429901123047,2000-02-28
38.71609115600586,2000-02-29
41.464454650878906,2000-03-01
40.98646926879883,2000-03-02
42.18141555786133,2000-03-03
41.34495544433594,2000-03-06
42.77888107299805,2000-03-07
46.00522994995117,2000-03-08
45.28825759887695,2000-03-09
47.43914794921875,2000-03-10
51.38246154785156,2000-03-13
50.18751525878906,2000-03-14
46.78193664550781,2000-03-15
43.37635040283203,2000-03-16
47.85737991333008,2000-03-17
47.080665588378906,2000-03-20
45.10902404785156,2000-03-21
45.94547653198242,2000-03-22
46.48320388793945,2000-03-23
44.21281051635742,2000-03-24
46.901432037353516,2000-03-27
46.78193664550781,2000-03-28
43.495849609375,2000-03-29
38.238101959228516,2000-03-30
42.06192398071289,2000-03-31
39.672035217285156,2000-04-03
36.92367172241211,2000-04-04
37.999122619628906,2000-04-05
40.80723190307617,2000-04-06
43.13737487792969,2000-04-07
41.22545623779297,2000-04-10
36.92367172241211,2000-04-11
38.11860656738281,2000-04-12
36.80418395996094,2000-04-13
34.29480743408203,2000-04-14
32.74137496948242,2000-04-17
38.357601165771484,2000-04-18
35.19100570678711,2000-04-19
35.60924530029297,2000-04-20
38.17835235595703,2000-04-24
35.60924530029297,2000-04-25
37.40165328979492,2000-04-26
40.86698913574219,2000-04-27
38.83557891845703,2000-04-28
39.313560485839844,2000-05-01
39.55253601074219,2000-05-02
40.1500129699707,2000-05-03
41.34495544433594,2000-05-04
42.77888107299805,2000-05-05
45.88572692871094,2000-05-08
44.33230209350586,2000-05-09
40.09025955200195,2000-05-10
41.70344161987305,2000-05-11
39.61228942871094,2000-05-12
38.95507049560547,2000-05-15
40.20976257324219,2000-05-16
40.98646926879883,2000-05-17
39.91102600097656,2000-05-18
38.238101959228516,2000-05-19
37.521148681640625,2000-05-22
37.28215026855469,2000-05-23
37.760135650634766,2000-05-24
35.96772766113281,2000-05-25
35.42999267578125,2000-05-26
36.80418395996094,2000-05-30
35.60924530029297,2000-05-31
35.54948425292969,2000-06-01
36.44569778442383,2000-06-02
36.44569778442383,2000-06-05
37.8796272277832,2000-06-06
40.26950454711914,2000-06-07
39.672035217285156,2000-06-08
41.464454650878906,2000-06-09
42.06192398071289,2000-06-12
42.3009033203125,2000-06-13
42.65938949584961,2000-06-14
44.0335693359375,2000-06-15
44.21281051635742,2000-06-16
44.8102912902832,2000-06-19
45.228511810302734,2000-06-20
45.019405364990234,2000-06-21
46.00522994995117,2000-06-22
45.76622772216797,2000-06-23
48.15612030029297,2000-06-26
49.829036712646484,2000-06-27
51.26296615600586,2000-06-28
54.130821228027344,2000-06-29
49.64979553222656,2000-06-30
48.03662109375,2000-07-03
48.75359344482422,2000-07-05
48.63409423828125,2000-07-06
49.709537506103516,2000-07-07
48.39510726928711,2000-07-10
45.94547653198242,2000-07-11
49.47054672241211,2000-07-12
48.992576599121094,2000-07-13
49.2315673828125,2000-07-14
49.2315673828125,2000-07-17
49.94852828979492,2000-07-18
50.66549301147461,2000-07-19
53.174869537353516,2000-07-20
48.992576599121094,2000-07-21
48.424991607666016,2000-07-24
44.92976760864258,2000-07-25
44.92976760864258,2000-07-26
43.73484802246094,2000-07-27
41.70344161987305,2000-07-28
43.13737487792969,2000-07-31
41.464454650878906,2000-08-01
42.42040252685547,2000-08-02
43.495849609375,2000-08-03
42.00217819213867,2000-08-04
42.53990173339844,2000-08-07
43.37635040283203,2000-08-08
43.256858825683594,2000-08-09
42.06192398071289,2000-08-10
43.01786422729492,2000-08-11
43.67509460449219,2000-08-14
42.89837646484375,2000-08-15
42.77888107299805,2000-08-16
43.43610382080078,2000-08-17
43.13737487792969,2000-08-18
43.43610382080078,2000-08-21
42.36065673828125,2000-08-22
43.01786422729492,2000-08-23
43.37635040283203,2000-08-24
43.256858825683594,2000-08-25
42.65938949584961,2000-08-28
42.18141555786133,2000-08-29
42.53990173339844,2000-08-30
42.65938949584961,2000-08-31
42.89837646484375,2000-09-01
39.253814697265625,2000-09-05
40.68773651123047,2000-09-06
40.92672348022461,2000-09-07
40.1500129699707,2000-09-08
40.26950454711914,2000-09-11
39.91102600097656,2000-09-12
39.19405746459961,2000-09-13
39.313560485839844,2000-09-14
38.83557891845703,2000-09-15
38.47709274291992,2000-09-18
38.71609115600586,2000-09-19
37.28215026855469,2000-09-20
36.86392593383789,2000-09-21
35.96772766113281,2000-09-22
35.90797805786133,2000-09-25
36.01252365112305,2000-09-26
35.96772766113281,2000-09-27
38.05887222290039,2000-09-28
40.09025955200195,2000-09-29
35.96772766113281,2000-10-02
36.50544357299805,2000-10-03
35.19100570678711,2000-10-04
33.95125961303711,2000-10-05
30.9489688873291,2000-10-06
30.59048843383789,2000-10-09
32.5621452331543,2000-10-10
33.323917388916016,2000-10-11
30.470993041992188,2000-10-12
32.74137496948242,2000-10-13
34.055816650390625,2000-10-16
35.13125991821289,2000-10-17
32.98037338256836,2000-10-18
33.8765754699707,2000-10-19
36.1469612121582,2000-10-20
37.04316711425781,2000-10-23
39.492794036865234,2000-10-24
39.01482391357422,2000-10-25
39.13431930541992,2000-10-26
42.06192398071289,2000-10-27
44.21281051635742,2000-10-30
47.91712188720703,2000-10-31
49.53030014038086,2000-11-01
52.696895599365234,2000-11-02
50.66549301147461,2000-11-03
48.76852035522461,2000-11-06
45.85586166381836,2000-11-07
45.407752990722656,2000-11-08
42.77888107299805,2000-11-09
40.030517578125,2000-11-10
38.238101959228516,2000-11-13
41.40470504760742,2000-11-14
39.313560485839844,2000-11-15
35.922908782958984,2000-11-16
36.565181732177734,2000-11-17
35.54948425292969,2000-11-20
35.788482666015625,2000-11-21
33.458351135253906,2000-11-22
34.653289794921875,2000-11-24
36.326210021972656,2000-11-27
39.07456970214844,2000-11-28
37.64064025878906,2000-11-29
35.60924530029297,2000-11-30
37.8796272277832,2000-12-01
35.54948425292969,2000-12-04
36.385955810546875,2000-12-05
33.458351135253906,2000-12-06
33.996063232421875,2000-12-07
34.47404479980469,2000-12-08
34.23505783081055,2000-12-11
34.17530822753906,2000-12-12
34.354549407958984,2000-12-13
35.66898727416992,2000-12-14
35.3702392578125,2000-12-15
35.42999267578125,2000-12-18
35.25075912475586,2000-12-19
34.89228057861328,2000-12-20
34.77277374267578,2000-12-21
40.26950454711914,2000-12-22
40.62799835205078,2000-12-26
42.24116897583008,2000-12-27
43.91407775878906,2000-12-28
39.253814697265625,2000-12-29
37.58089065551758,2001-01-02
35.96772766113281,2001-01-03
35.071510314941406,2001-01-04
33.159603118896484,2001-01-05
33.69733428955078,2001-01-08
33.458351135253906,2001-01-09
34.832523345947266,2001-01-10
39.672035217285156,2001-01-11
39.01482391357422,2001-01-12
40.1500129699707,2001-01-16
40.26950454711914,2001-01-17
42.36065673828125,2001-01-18
42.65938949584961,2001-01-19
42.8386344909668,2001-01-22
43.97382736206055,2001-01-23
43.854339599609375,2001-01-24
40.98646926879883,2001-01-25
40.92672348022461,2001-01-26
41.28520584106445,2001-01-29
43.01786422729492,2001-01-30
43.31659698486328,2001-01-31
43.6153450012207,2001-02-01
42.53990173339844,2001-02-02
43.07762145996094,2001-02-05
42.77888107299805,2001-02-06
41.40470504760742,2001-02-07
39.01482391357422,2001-02-08
37.58089065551758,2001-02-09
38.656341552734375,2001-02-12
38.47709274291992,2001-02-13
38.59659194946289,2001-02-14
38.253047943115234,2001-02-15
36.565181732177734,2001-02-16
34.653289794921875,2001-02-20
33.816829681396484,2001-02-21
31.78542709350586,2001-02-22
29.873525619506836,2001-02-23
30.709978103637695,2001-02-26
32.02440643310547,2001-02-27
31.546436309814453,2001-02-28
32.62188720703125,2001-03-01
32.50239944458008,2001-03-02
32.14390563964844,2001-03-05
32.50239944458008,2001-03-06
32.4426383972168,2001-03-07
32.26340103149414,2001-03-08
30.11250877380371,2001-03-09
25.870468139648438,2001-03-12
24.61578369140625,2001-03-13
22.4051456451416,2001-03-14
21.7479248046875,2001-03-15
19.776268005371094,2001-03-16
20.13475227355957,2001-03-19
19.492475509643555,2001-03-20
17.92411231994629,2001-03-21
15.116002082824707,2001-03-22
