TGT,Date
0.11235322058200836,1973-10-29
0.11115805804729462,1973-10-30
0.11235322058200836,1973-10-31
0.11235322058200836,1973-11-01
0.11354836821556091,1973-11-02
0.11235322058200836,1973-11-05
0.10996241122484207,1973-11-06
0.11593873798847198,1973-11-07
0.12071983516216278,1973-11-08
0.11952466517686844,1973-11-09
0.11474356800317764,1973-11-12
0.1051817536354065,1973-11-13
0.10876724869012833,1973-11-14
0.10398659110069275,1973-11-15
0.10637691617012024,1973-11-16
0.10279099643230438,1973-11-19
0.0944242849946022,1973-11-20
0.10159572213888168,1973-11-21
0.10279099643230438,1973-11-23
0.0968150720000267,1973-11-26
0.09561949223279953,1973-11-27
0.09801029413938522,1973-11-28
0.09561949223279953,1973-11-29
0.09203394502401352,1973-11-30
0.08605761080980301,1973-12-03
