DOCU,Date
246.57000732421875,2021-10-04
256.20001220703125,2021-10-05
265.1199951171875,2021-10-06
267.8299865722656,2021-10-07
263.0299987792969,2021-10-08
261.5,2021-10-11
254.69000244140625,2021-10-12
259.30999755859375,2021-10-13
261.1700134277344,2021-10-14
260.4700012207031,2021-10-15
269.70001220703125,2021-10-18
272.8900146484375,2021-10-19
271.260009765625,2021-10-20
279.8699951171875,2021-10-21
274.7300109863281,2021-10-22
277.8599853515625,2021-10-25
280.5799865722656,2021-10-26
277.9599914550781,2021-10-27
275.9100036621094,2021-10-28
278.2900085449219,2021-10-29
277.9599914550781,2021-11-01
281.8599853515625,2021-11-02
283.2099914550781,2021-11-03
284.1099853515625,2021-11-04
267.489990234375,2021-11-05
273.9100036621094,2021-11-08
275.1700134277344,2021-11-09
255.66000366210938,2021-11-10
254.5500030517578,2021-11-11
264.6600036621094,2021-11-12
263.7099914550781,2021-11-15
267.739990234375,2021-11-16
267.1199951171875,2021-11-17
264.17999267578125,2021-11-18
263.3399963378906,2021-11-19
247.75,2021-11-22
242.64999389648438,2021-11-23
243.47000122070312,2021-11-24
249.6300048828125,2021-11-26
251.5,2021-11-29
246.36000061035156,2021-11-30
230.7899932861328,2021-12-01
233.82000732421875,2021-12-02
135.08999633789062,2021-12-03
143.8800048828125,2021-12-06
138.60000610351562,2021-12-07
153.74000549316406,2021-12-08
149.3699951171875,2021-12-09
144.47999572753906,2021-12-10
139.77000427246094,2021-12-13
144.4600067138672,2021-12-14
151.07000732421875,2021-12-15
150.00999450683594,2021-12-16
155.3699951171875,2021-12-17
148.05999755859375,2021-12-20
154.24000549316406,2021-12-21
153.85000610351562,2021-12-22
157.00999450683594,2021-12-23
156.52000427246094,2021-12-27
152.38999938964844,2021-12-28
152.47999572753906,2021-12-29
155.16000366210938,2021-12-30
152.30999755859375,2021-12-31
157.00999450683594,2022-01-03
154.44000244140625,2022-01-04
144.1699981689453,2022-01-05
143.10000610351562,2022-01-06
135.92999267578125,2022-01-07
136.22999572753906,2022-01-10
142.1300048828125,2022-01-11
139.25,2022-01-12
130.58999633789062,2022-01-13
