BWA,Date
3.319160223007202,2001-09-25
3.1741514205932617,2001-09-26
3.281222105026245,2001-09-27
3.3975656032562256,2001-09-28
3.3621559143066406,2001-10-01
3.45658016204834,2001-10-02
3.5931572914123535,2001-10-03
3.6125473976135254,2001-10-04
3.611703872680664,2001-10-05
3.5746097564697266,2001-10-08
3.5434136390686035,2001-10-09
3.760084867477417,2001-10-10
3.7642998695373535,2001-10-11
3.719618320465088,2001-10-12
3.73226261138916,2001-10-15
3.7853784561157227,2001-10-16
3.636997699737549,2001-10-17
3.6673483848571777,2001-10-18
3.701911687850952,2001-10-19
3.787062406539917,2001-10-22
3.8131988048553467,2001-10-23
3.7145590782165527,2001-10-24
3.6909518241882324,2001-10-25
3.6235055923461914,2001-10-26
3.6251938343048096,2001-10-29
3.6074535846710205,2001-10-30
3.6159167289733887,2001-10-31
3.6226863861083984,2001-11-01
3.6819396018981934,2001-11-02
3.749652624130249,2001-11-05
3.7835092544555664,2001-11-06
3.7631947994232178,2001-11-07
3.7115612030029297,2001-11-08
3.728492498397827,2001-11-09
3.701406240463257,2001-11-12
3.780125856399536,2001-11-13
3.857147216796875,2001-11-14
3.9612560272216797,2001-11-15
4.00950288772583,2001-11-16
3.968874454498291,2001-11-19
3.861379861831665,2001-11-20
3.8393712043762207,2001-11-21
3.930785655975342,2001-11-23
3.9020073413848877,2001-11-26
3.8215978145599365,2001-11-27
3.81736421585083,2001-11-28
3.8596866130828857,2001-11-29
3.893543004989624,2001-11-30
3.9155495166778564,2001-12-03
3.992574453353882,2001-12-04
4.062826633453369,2001-12-05
4.227880477905273,2001-12-06
4.147469997406006,2001-12-07
4.157627582550049,2001-12-10
4.194024562835693,2001-12-11
4.19910192489624,2001-12-12
4.1914825439453125,2001-12-13
4.16693639755249,2001-12-14
4.244809150695801,2001-12-17
4.355691432952881,2001-12-18
4.298133373260498,2001-12-19
4.243113994598389,2001-12-20
4.331143856048584,2001-12-21
4.350610256195068,2001-12-24
4.377696990966797,2001-12-26
4.41748046875,2001-12-27
4.418326377868652,2001-12-28
4.4225568771362305,2001-12-31
4.433559417724609,2002-01-02
4.443717956542969,2002-01-03
4.4868855476379395,2002-01-04
4.404782772064209,2002-01-07
4.478421211242676,2002-01-08
4.457261085510254,2002-01-09
4.409013271331787,2002-01-10
4.458954334259033,2002-01-11
4.342144966125488,2002-01-14
4.3243727684021,2002-01-15
4.269354343414307,2002-01-16
4.382774829864502,2002-01-17
4.317601203918457,2002-01-18
4.39293098449707,2002-01-22
4.453026294708252,2002-01-23
4.367539882659912,2002-01-24
4.57914400100708,2002-01-25
4.567295074462891,2002-01-28
4.5986127853393555,2002-01-29
4.671670436859131,2002-01-30
4.703935623168945,2002-01-31
4.686953544616699,2002-02-01
4.651290416717529,2002-02-04
4.585062026977539,2002-02-05
4.6555352210998535,2002-02-06
4.5595903396606445,2002-02-07
4.712425708770752,2002-02-08
4.800729274749756,2002-02-11
4.795634746551514,2002-02-12
4.866108417510986,2002-02-13
4.844882488250732,2002-02-14
4.838090419769287,2002-02-15
4.783748149871826,2002-02-19
4.951016426086426,2002-02-20
4.917901039123535,2002-02-21
4.99686861038208,2002-02-22
5.091966152191162,2002-02-25
5.206592559814453,2002-02-26
5.198948383331299,2002-02-27
5.1072492599487305,2002-02-28
5.176875114440918,2002-03-01
5.3432936668396,2002-03-04
5.186213493347168,2002-03-05
5.269423961639404,2002-03-06
5.496129989624023,2002-03-07
5.508866310119629,2002-03-08
5.451129913330078,2002-03-11
5.498676300048828,2002-03-12
5.458770751953125,2002-03-13
5.449431896209717,2002-03-14
5.386598587036133,2002-03-15
5.412071228027344,2002-03-18
5.447734355926514,2002-03-19
5.394241809844971,2002-03-20
5.257538795471191,2002-03-21
5.1709303855896,2002-03-22
