CHIR,Date
45.17292785644531,2020-09-15
45.166412353515625,2020-09-16
44.95130157470703,2020-09-17
44.79069137573242,2020-09-18
44.16908645629883,2020-09-21
43.93729019165039,2020-09-22
43.412940979003906,2020-09-23
43.308650970458984,2020-09-24
41.56170654296875,2020-09-25
43.62153625488281,2020-09-28
43.308650970458984,2020-09-29
44.11693572998047,2020-09-30
44.3818473815918,2020-10-01
44.28798294067383,2020-10-02
44.16178512573242,2020-10-05
44.06479263305664,2020-10-06
44.534122467041016,2020-10-07
44.92522430419922,2020-10-08
44.6384162902832,2020-10-09
44.58626937866211,2020-10-12
44.49501037597656,2020-10-13
43.491424560546875,2020-10-14
43.12613296508789,2020-10-15
43.36079406738281,2020-10-16
43.113094329833984,2020-10-19
43.00880432128906,2020-10-20
42.8914680480957,2020-10-21
43.25650405883789,2020-10-22
43.27814483642578,2020-10-23
42.8914680480957,2020-10-26
42.14575958251953,2020-10-27
41.34450149536133,2020-10-28
42.109256744384766,2020-10-29
41.900665283203125,2020-10-30
42.18747329711914,2020-11-02
42.83932876586914,2020-11-03
44.195159912109375,2020-11-04
45.73847198486328,2020-11-05
46.19007110595703,2020-11-06
46.04640197753906,2020-11-09
46.49826431274414,2020-11-10
47.97586441040039,2020-11-11
46.77647399902344,2020-11-12
46.80254364013672,2020-11-13
46.12462615966797,2020-11-16
46.10976028442383,2020-11-17
46.20258712768555,2020-11-18
45.88996124267578,2020-11-19
45.394554138183594,2020-11-20
44.455902099609375,2020-11-23
44.92522430419922,2020-11-24
44.856658935546875,2020-11-25
46.09855270385742,2020-11-27
45.62922286987305,2020-11-30
45.45974349975586,2020-12-01
44.76956558227539,2020-12-02
44.48197937011719,2020-12-03
43.738868713378906,2020-12-04
43.1522102355957,2020-12-07
42.917545318603516,2020-12-08
42.13532638549805,2020-12-09
42.369991302490234,2020-12-10
41.95280838012695,2020-12-11
42.68287658691406,2020-12-14
42.493316650390625,2020-12-15
42.68287658691406,2020-12-16
42.56554412841797,2020-12-17
42.500370025634766,2020-12-18
41.95280838012695,2020-12-21
41.9520263671875,2020-12-22
41.82244110107422,2020-12-23
41.82244110107422,2020-12-24
41.74421691894531,2020-12-28
41.66600036621094,2020-12-29
41.91221237182617,2020-12-30
42.44989013671875,2020-12-31
41.257850646972656,2021-01-04
41.5245361328125,2021-01-05
41.643367767333984,2021-01-06
41.67025375366211,2021-01-07
41.80467224121094,2021-01-08
42.72732925415039,2021-01-11
42.94993591308594,2021-01-12
42.85126876831055,2021-01-13
42.65259552001953,2021-01-14
42.369239807128906,2021-01-15
45.98218536376953,2021-01-19
46.40184020996094,2021-01-20
46.159889221191406,2021-01-21
45.020809173583984,2021-01-22
44.49307632446289,2021-01-25
44.56297302246094,2021-01-26
43.337066650390625,2021-01-27
42.63942337036133,2021-01-28
41.67025375366211,2021-01-29
41.72429275512695,2021-02-01
41.93909454345703,2021-02-02
41.80467224121094,2021-02-03
41.40141296386719,2021-02-04
42.30067825317383,2021-02-05
42.543983459472656,2021-02-08
42.355525970458984,2021-02-09
42.100399017333984,2021-02-10
42.476776123046875,2021-02-11
42.78889465332031,2021-02-12
43.035152435302734,2021-02-16
42.90422821044922,2021-02-17
42.826271057128906,2021-02-18
43.5811653137207,2021-02-19
43.71343231201172,2021-02-22
43.670963287353516,2021-02-23
43.48061752319336,2021-02-24
45.927066802978516,2021-02-25
46.371734619140625,2021-02-26
46.43840408325195,2021-03-01
46.240535736083984,2021-03-02
45.380252838134766,2021-03-03
44.49307632446289,2021-03-04
44.642818450927734,2021-03-05
43.71343231201172,2021-03-08
44.3317756652832,2021-03-09
44.159175872802734,2021-03-10
44.69793701171875,2021-03-11
45.12995910644531,2021-03-12
46.455604553222656,2021-03-15
47.04705810546875,2021-03-16
47.007537841796875,2021-03-17
46.038909912109375,2021-03-18
46.13300323486328,2021-03-19
46.697566986083984,2021-03-22
46.294307708740234,2021-03-23
45.08775329589844,2021-03-24
45.13775634765625,2021-03-25
46.240535736083984,2021-03-26
47.472633361816406,2021-03-29
47.4809684753418,2021-03-30
46.766929626464844,2021-03-31
46.28704833984375,2021-04-01
46.59002685546875,2021-04-05
46.616920471191406,2021-04-06
46.37495803833008,2021-04-07
46.48249435424805,2021-04-08
45.931373596191406,2021-04-09
45.6087646484375,2021-04-12
45.553382873535156,2021-04-13
45.40955352783203,2021-04-14
46.07815933227539,2021-04-15
45.75662612915039,2021-04-16
45.68296432495117,2021-04-19
45.67113494873047,2021-04-20
46.159889221191406,2021-04-21
45.81980514526367,2021-04-22
45.67328643798828,2021-04-23
44.86891555786133,2021-04-26
44.951717376708984,2021-04-27
44.99473190307617,2021-04-28
44.84257125854492,2021-04-29
44.62453842163086,2021-04-30
44.566200256347656,2021-05-03
44.143585205078125,2021-05-04
44.84257125854492,2021-05-05
44.729122161865234,2021-05-06
44.654380798339844,2021-05-07
44.27800369262695,2021-05-10
44.546844482421875,2021-05-11
42.799652099609375,2021-05-12
43.36394500732422,2021-05-13
43.540306091308594,2021-05-14
43.35158157348633,2021-05-17
44.49630355834961,2021-05-18
44.53689193725586,2021-05-19
43.92851257324219,2021-05-20
43.4870719909668,2021-05-21
44.17047119140625,2021-05-24
44.43285369873047,2021-05-25
44.91032028198242,2021-05-26
45.16518020629883,2021-05-27
44.94042205810547,2021-05-28
44.95279312133789,2021-06-01
44.88020706176758,2021-06-02
44.24251174926758,2021-06-03
44.21052932739258,2021-06-04
43.67258071899414,2021-06-07
44.090354919433594,2021-06-08
44.291446685791016,2021-06-09
44.462425231933594,2021-06-10
44.221275329589844,2021-06-11
44.22423553466797,2021-06-14
43.00101089477539,2021-06-15
43.01445388793945,2021-06-16
43.36905288696289,2021-06-17
42.880035400390625,2021-06-18
42.74561309814453,2021-06-21
42.57839584350586,2021-06-22
42.853153228759766,2021-06-23
43.212318420410156,2021-06-24
43.60483169555664,2021-06-25
43.08649826049805,2021-06-28
42.7790641784668,2021-06-29
41.7222785949707,2021-06-30
42.083030700683594,2021-07-01
42.1747932434082,2021-07-02
40.83723831176758,2021-07-06
40.34856033325195,2021-07-07
39.992462158203125,2021-07-08
40.6320686340332,2021-07-09
40.35212326049805,2021-07-12
40.129425048828125,2021-07-13
39.855506896972656,2021-07-14
40.618099212646484,2021-07-15
40.455665588378906,2021-07-16
39.30766296386719,2021-07-19
38.4585075378418,2021-07-20
38.157196044921875,2021-07-21
39.19809341430664,2021-07-22
38.294151306152344,2021-07-23
35.93843460083008,2021-07-26
33.938812255859375,2021-07-27
34.9249267578125,2021-07-28
33.91141891479492,2021-07-29
32.7061653137207,2021-07-30
33.747066497802734,2021-08-02
34.04838180541992,2021-08-03
33.555320739746094,2021-08-04
33.610107421875,2021-08-05
33.22661590576172,2021-08-06
34.65100860595703,2021-08-09
34.92629623413086,2021-08-10
36.3172721862793,2021-08-11
36.184967041015625,2021-08-12
35.968013763427734,2021-08-13
36.06169891357422,2021-08-16
35.719295501708984,2021-08-17
35.77436065673828,2021-08-18
34.870697021484375,2021-08-19
34.00783920288086,2021-08-20
33.51642990112305,2021-08-23
34.63731384277344,2021-08-24
35.08517074584961,2021-08-25
34.62580871582031,2021-08-26
35.0618896484375,2021-08-27
34.38010025024414,2021-08-30
34.5140380859375,2021-08-31
35.777099609375,2021-09-01
35.732994079589844,2021-09-02
35.81215286254883,2021-09-03
35.17145919799805,2021-09-07
35.11667251586914,2021-09-08
34.56883239746094,2021-09-09
34.83480453491211,2021-09-10
35.19693374633789,2021-09-13
33.58271789550781,2021-09-14
32.43224334716797,2021-09-15
30.870899200439453,2021-09-16
31.09003257751465,2021-09-17
29.419118881225586,2021-09-20
31.007856369018555,2021-09-21
32.48703384399414,2021-09-22
33.19922637939453,2021-09-23
32.870521545410156,2021-09-24
32.870521545410156,2021-09-27
33.034873962402344,2021-09-28
33.50053787231445,2021-09-29
34.752357482910156,2021-09-30
34.74030303955078,2021-10-01
34.65100860595703,2021-10-04
34.139869689941406,2021-10-05
33.69228744506836,2021-10-06
34.56883239746094,2021-10-07
34.62361526489258,2021-10-08
34.02098083496094,2021-10-11
34.5767707824707,2021-10-12
35.41798400878906,2021-10-13
35.0618896484375,2021-10-14
34.84275436401367,2021-10-15
35.048187255859375,2021-10-18
34.787967681884766,2021-10-19
34.787967681884766,2021-10-20
35.9836311340332,2021-10-21
37.17108154296875,2021-10-22
36.298641204833984,2021-10-25
34.678401947021484,2021-10-26
34.32229995727539,2021-10-27
34.075775146484375,2021-10-28
32.96392822265625,2021-10-29
33.019256591796875,2021-11-01
31.802228927612305,2021-11-02
32.089847564697266,2021-11-03
30.994157791137695,2021-11-04
30.816112518310547,2021-11-05
31.36395263671875,2021-11-08
30.826519012451172,2021-11-09
32.9253044128418,2021-11-10
35.11667251586914,2021-11-11
34.787967681884766,2021-11-12
33.36357879638672,2021-11-15
33.844852447509766,2021-11-16
34.106727600097656,2021-11-17
32.459632873535156,2021-11-18
33.63750076293945,2021-11-19
33.021175384521484,2021-11-22
33.13676452636719,2021-11-23
32.95269775390625,2021-11-24
31.935897827148438,2021-11-26
31.802228927612305,2021-11-29
31.41956329345703,2021-11-30
31.143171310424805,2021-12-01
31.473522186279297,2021-12-02
31.446128845214844,2021-12-03
32.26789474487305,2021-12-06
32.93899917602539,2021-12-07
32.99022674560547,2021-12-08
33.22661590576172,2021-12-09
33.11704635620117,2021-12-10
31.446128845214844,2021-12-13
30.268272399902344,2021-12-14
29.96695899963379,2021-12-15
30.679153442382812,2021-12-16
30.68737030029297,2021-12-17
29.665647506713867,2021-12-20
30.17678451538086,2021-12-21
30.11980628967285,2021-12-22
30.350448608398438,2021-12-23
30.542192459106445,2021-12-27
30.33757209777832,2021-12-28
29.884780883789062,2021-12-29
30.23066520690918,2021-12-30
30.006315231323242,2021-12-31
29.810012817382812,2022-01-03
30.847618103027344,2022-01-04
29.866100311279297,2022-01-05
30.258703231811523,2022-01-06
31.716960906982422,2022-01-07
32.67042922973633,2022-01-10
34.01650619506836,2022-01-11
33.31542205810547,2022-01-12
31.408479690551758,2022-01-13
30.791526794433594,2022-01-14
31.26826286315918,2022-01-18
33.37150955200195,2022-01-19
34.52128601074219,2022-01-20
33.77225112915039,2022-01-21
33.82020568847656,2022-01-24
33.70803451538086,2022-01-25
33.37150955200195,2022-01-26
32.474124908447266,2022-01-27
31.711069107055664,2022-01-28
33.23129653930664,2022-01-31
33.23129653930664,2022-02-01
33.38553237915039,2022-02-02
32.85832214355469,2022-02-03
33.29860305786133,2022-02-04
33.17240524291992,2022-02-07
33.21867752075195,2022-02-08
33.203250885009766,2022-02-09
34.68954849243164,2022-02-10
34.15672302246094,2022-02-11
32.93235778808594,2022-02-14
32.950862884521484,2022-02-15
33.76411437988281,2022-02-16
33.0069465637207,2022-02-17
33.73607635498047,2022-02-18
33.6239013671875,2022-02-22
32.41803741455078,2022-02-23
31.352394104003906,2022-02-24
31.296306610107422,2022-02-25
31.100006103515625,2022-02-28
31.40567970275879,2022-03-01
30.390789031982422,2022-03-02
30.426687240600586,2022-03-03
29.93115997314453,2022-03-04
29.445451736450195,2022-03-07
28.604154586791992,2022-03-08
28.240150451660156,2022-03-09
26.921552658081055,2022-03-10
25.883955001831055,2022-03-11
23.696578979492188,2022-03-14
21.90180778503418,2022-03-15
25.940040588378906,2022-03-16
28.06880760192871,2022-03-17
29.122953414916992,2022-03-18
27.468399047851562,2022-03-21
28.5228271484375,2022-03-22
28.31867218017578,2022-03-23
27.34220314025879,2022-03-24
27.482421875,2022-03-25
27.482421875,2022-03-28
27.033729553222656,2022-03-29
28.183504104614258,2022-03-30
27.482421875,2022-03-31
28.379804611206055,2022-04-01
30.810876846313477,2022-04-04
29.92218589782715,2022-04-05
30.8195743560791,2022-04-06
30.034360885620117,2022-04-07
31.156091690063477,2022-04-08
29.669797897338867,2022-04-11
28.991147994995117,2022-04-12
29.473495483398438,2022-04-13
30.258703231811523,2022-04-14
29.697839736938477,2022-04-18
29.22110366821289,2022-04-19
27.398290634155273,2022-04-20
26.51969337463379,2022-04-21
26.809383392333984,2022-04-22
26.41677474975586,2022-04-25
26.024169921875,2022-04-26
26.12372398376465,2022-04-27
26.283849716186523,2022-04-28
26.977643966674805,2022-04-29
26.83742332458496,2022-05-02
27.7362117767334,2022-05-03
27.9030704498291,2022-05-04
26.360689163208008,2022-05-05
25.435260772705078,2022-05-06
24.453744888305664,2022-05-09
24.67809295654297,2022-05-10
24.397659301757812,2022-05-11
23.866518020629883,2022-05-12
25.098743438720703,2022-05-13
25.386747360229492,2022-05-16
25.63156509399414,2022-05-17
25.407217025756836,2022-05-18
26.697208404541016,2022-05-19
26.248517990112305,2022-05-20
26.192432403564453,2022-05-23
25.6035213470459,2022-05-24
25.575477600097656,2022-05-25
26.248517990112305,2022-05-26
25.547435760498047,2022-05-27
26.024169921875,2022-05-31
25.940040588378906,2022-06-01
26.276559829711914,2022-06-02
25.91199493408203,2022-06-03
25.575477600097656,2022-06-06
25.99388313293457,2022-06-07
25.519390106201172,2022-06-08
25.940040588378906,2022-06-09
24.75100326538086,2022-06-10
23.724618911743164,2022-06-13
24.484594345092773,2022-06-14
25.742897033691406,2022-06-15
24.57713508605957,2022-06-16
24.804288864135742,2022-06-17
26.921552658081055,2022-06-21
26.304603576660156,2022-06-22
26.87640380859375,2022-06-23
26.753297805786133,2022-06-24
27.11785888671875,2022-06-27
27.650680541992188,2022-06-28
27.624021530151367,2022-06-29
28.44313621520996,2022-06-30
28.38664436340332,2022-07-01
27.059112548828125,2022-07-05
26.522449493408203,2022-07-06
26.720165252685547,2022-07-07
27.027193069458008,2022-07-08
25.42087745666504,2022-07-11
25.39263153076172,2022-07-12
24.262815475463867,2022-07-13
23.58492660522461,2022-07-14
22.73756217956543,2022-07-15
23.64141845703125,2022-07-18
23.86737823486328,2022-07-19
23.161243438720703,2022-07-20
22.539846420288086,2022-07-21
22.1444091796875,2022-07-22
23.020017623901367,2022-07-25
23.8956241607666,2022-07-26
22.963523864746094,2022-07-27
22.8787899017334,2022-07-28
21.94668960571289,2022-07-29
20.929855346679688,2022-08-01
20.901609420776367,2022-08-02
20.647401809692383,2022-08-03
20.7603816986084,2022-08-04
21.268802642822266,2022-08-05
20.816875457763672,2022-08-08
20.70389175415039,2022-08-09
