FLEX,Date
3.828125,1997-07-21
3.75,1997-07-22
3.78125,1997-07-23
3.765625,1997-07-24
4.1875,1997-07-25
4.140625,1997-07-28
4.0625,1997-07-29
3.96875,1997-07-30
3.921875,1997-07-31
3.75,1997-08-01
3.953125,1997-08-04
4.65625,1997-08-05
4.507812976837158,1997-08-06
4.359375,1997-08-07
4.4375,1997-08-08
4.453125,1997-08-11
4.40625,1997-08-12
4.453125,1997-08-13
4.476562976837158,1997-08-14
4.25,1997-08-15
4.0,1997-08-18
4.375,1997-08-19
4.453125,1997-08-20
4.390625,1997-08-21
4.640625,1997-08-22
4.539062976837158,1997-08-25
4.75,1997-08-26
5.0,1997-08-27
5.015625,1997-08-28
4.96875,1997-08-29
4.984375,1997-09-02
5.0,1997-09-03
4.875,1997-09-04
4.96875,1997-09-05
5.046875,1997-09-08
5.070312976837158,1997-09-09
4.96875,1997-09-10
4.828125,1997-09-11
4.84375,1997-09-12
5.03125,1997-09-15
5.125,1997-09-16
4.984375,1997-09-17
5.015625,1997-09-18
5.59375,1997-09-19
5.859375,1997-09-22
5.90625,1997-09-23
5.796875,1997-09-24
5.921875,1997-09-25
5.765625,1997-09-26
5.921875,1997-09-29
5.953125,1997-09-30
5.875,1997-10-01
5.882812976837158,1997-10-02
5.78125,1997-10-03
5.65625,1997-10-06
5.75,1997-10-07
6.015625,1997-10-08
6.0,1997-10-09
5.890625,1997-10-10
5.703125,1997-10-13
5.5625,1997-10-14
5.578125,1997-10-15
5.703125,1997-10-16
5.632812976837158,1997-10-17
5.65625,1997-10-20
5.890625,1997-10-21
5.921875,1997-10-22
5.75,1997-10-23
5.375,1997-10-24
4.875,1997-10-27
4.953125,1997-10-28
5.0625,1997-10-29
4.734375,1997-10-30
4.75,1997-10-31
5.0625,1997-11-03
5.1875,1997-11-04
5.1875,1997-11-05
5.09375,1997-11-06
5.0,1997-11-07
4.78125,1997-11-10
4.53125,1997-11-11
4.453125,1997-11-12
4.796875,1997-11-13
4.8125,1997-11-14
5.21875,1997-11-17
5.46875,1997-11-18
5.5,1997-11-19
5.5625,1997-11-20
5.640625,1997-11-21
5.125,1997-11-24
5.0,1997-11-25
5.125,1997-11-26
5.0,1997-11-28
4.9375,1997-12-01
4.90625,1997-12-02
4.515625,1997-12-03
4.71875,1997-12-04
4.609375,1997-12-05
4.75,1997-12-08
4.75,1997-12-09
4.46875,1997-12-10
4.1875,1997-12-11
4.0625,1997-12-12
4.390625,1997-12-15
4.375,1997-12-16
4.46875,1997-12-17
4.28125,1997-12-18
4.375,1997-12-19
4.40625,1997-12-22
4.21875,1997-12-23
4.171875,1997-12-24
4.1875,1997-12-26
4.21875,1997-12-29
4.382812976837158,1997-12-30
4.3125,1997-12-31
4.359375,1998-01-02
4.4375,1998-01-05
4.296875,1998-01-06
4.1875,1998-01-07
4.265625,1998-01-08
4.0625,1998-01-09
3.71875,1998-01-12
4.125,1998-01-13
4.0,1998-01-14
4.109375,1998-01-15
4.265625,1998-01-16
4.289062976837158,1998-01-20
4.90625,1998-01-21
4.5,1998-01-22
4.265625,1998-01-23
4.3125,1998-01-26
4.078125,1998-01-27
4.140625,1998-01-28
4.375,1998-01-29
4.453125,1998-01-30
4.765625,1998-02-02
4.953125,1998-02-03
5.0,1998-02-04
4.921875,1998-02-05
4.984375,1998-02-06
5.0,1998-02-09
4.945312976837158,1998-02-10
4.796875,1998-02-11
4.703125,1998-02-12
4.625,1998-02-13
4.5625,1998-02-17
4.84375,1998-02-18
4.984375,1998-02-19
4.992187976837158,1998-02-20
5.375,1998-02-23
5.5,1998-02-24
5.578125,1998-02-25
5.984375,1998-02-26
5.953125,1998-02-27
5.609375,1998-03-02
5.40625,1998-03-03
5.578125,1998-03-04
5.484375,1998-03-05
5.578125,1998-03-06
5.140625,1998-03-09
5.34375,1998-03-10
5.3125,1998-03-11
5.1875,1998-03-12
5.015625,1998-03-13
5.09375,1998-03-16
4.828125,1998-03-17
4.714844226837158,1998-03-18
4.90625,1998-03-19
4.734375,1998-03-20
4.703125,1998-03-23
4.914062976837158,1998-03-24
5.078125,1998-03-25
5.25,1998-03-26
5.34375,1998-03-27
5.3125,1998-03-30
5.398437976837158,1998-03-31
5.15625,1998-04-01
5.140625,1998-04-02
5.484375,1998-04-03
5.4375,1998-04-06
5.265625,1998-04-07
5.3125,1998-04-08
5.515625,1998-04-09
5.765625,1998-04-13
5.859375,1998-04-14
5.875,1998-04-15
5.65625,1998-04-16
5.953125,1998-04-17
5.96875,1998-04-20
6.390625,1998-04-21
6.3125,1998-04-22
6.09375,1998-04-23
6.125,1998-04-24
5.796875,1998-04-27
5.828125,1998-04-28
5.875,1998-04-29
5.9375,1998-04-30
