GL,Date
3.930088996887207,1990-07-11
3.9095659255981445,1990-07-12
3.8993048667907715,1990-07-13
3.940350294113159,1990-07-16
4.001918315887451,1990-07-17
4.053226470947266,1990-07-18
4.073747634887695,1990-07-19
4.073747634887695,1990-07-20
4.042963981628418,1990-07-23
4.053226470947266,1990-07-24
4.114792823791504,1990-07-25
4.053226470947266,1990-07-26
4.063488483428955,1990-07-27
4.114792823791504,1990-07-30
4.166100978851318,1990-07-31
4.166100978851318,1990-08-01
4.145576477050781,1990-08-02
4.073747634887695,1990-08-03
3.9711358547210693,1990-08-06
3.8582615852355957,1990-08-07
3.8685226440429688,1990-08-08
3.8890457153320312,1990-08-09
3.8890457153320312,1990-08-10
3.8993048667907715,1990-08-13
3.8890457153320312,1990-08-14
3.9095659255981445,1990-08-15
3.8582615852355957,1990-08-16
3.8377397060394287,1990-08-17
3.7966954708099365,1990-08-20
3.755646228790283,1990-08-21
3.6940813064575195,1990-08-22
3.550419569015503,1990-08-23
3.5093743801116943,1990-08-24
3.5709426403045654,1990-08-27
3.5709426403045654,1990-08-28
3.673553228378296,1990-08-29
3.622248649597168,1990-08-30
3.7351255416870117,1990-08-31
3.704338788986206,1990-09-04
3.704338788986206,1990-09-05
3.653036117553711,1990-09-06
3.6940813064575195,1990-09-07
3.6838178634643555,1990-09-10
3.673553228378296,1990-09-11
3.663296699523926,1990-09-12
3.632511615753174,1990-09-13
3.622248649597168,1990-09-14
3.653036117553711,1990-09-17
3.6940813064575195,1990-09-18
3.673553228378296,1990-09-19
3.5812063217163086,1990-09-20
3.601726531982422,1990-09-21
3.4888534545898438,1990-09-24
3.5093743801116943,1990-09-25
3.499114990234375,1990-09-26
3.324671506881714,1990-09-27
3.365715980529785,1990-09-28
3.447808027267456,1990-10-01
3.4888534545898438,1990-10-02
3.4764370918273926,1990-10-03
3.4660892486572266,1990-10-04
3.4971306324005127,1990-10-05
3.4971306324005127,1990-10-08
3.331587314605713,1990-10-09
3.3005459308624268,1990-10-10
3.166041374206543,1990-10-11
3.2488131523132324,1990-10-12
3.3419315814971924,1990-10-15
3.290198564529419,1990-10-16
3.2695059776306152,1990-10-17
3.372971773147583,1990-10-18
3.53851580619812,1990-10-19
3.5902504920959473,1990-10-22
3.559209108352661,1990-10-23
3.569556951522827,1990-10-24
3.4660892486572266,1990-10-25
3.4557440280914307,1990-10-26
3.4764370918273926,1990-10-29
3.486783504486084,1990-10-30
3.486783504486084,1990-10-31
3.569556951522827,1990-11-01
3.662674903869629,1990-11-02
3.704057455062866,1990-11-05
3.641981601715088,1990-11-06
3.6316356658935547,1990-11-07
3.6833693981170654,1990-11-08
3.7350993156433105,1990-11-09
3.8489131927490234,1990-11-12
3.9213380813598633,1990-11-13
3.993764638900757,1990-11-14
4.024805068969727,1990-11-15
4.076534748077393,1990-11-16
4.055844783782959,1990-11-19
4.014456748962402,1990-11-20
3.983415365219116,1990-11-21
3.962724447250366,1990-11-23
3.9523813724517822,1990-11-26
3.9420297145843506,1990-11-27
3.8489131927490234,1990-11-28
3.8075270652770996,1990-11-29
3.8696067333221436,1990-11-30
3.9213380813598633,1990-12-03
3.931685209274292,1990-12-04
3.9213380813598633,1990-12-05
4.035149097442627,1990-12-06
3.983415365219116,1990-12-07
3.9730701446533203,1990-12-10
3.962724447250366,1990-12-11
3.9523813724517822,1990-12-12
3.8903002738952637,1990-12-13
3.9006450176239014,1990-12-14
3.9523813724517822,1990-12-17
3.9730701446533203,1990-12-18
3.931685209274292,1990-12-19
3.8799521923065186,1990-12-20
3.9523813724517822,1990-12-21
3.9109933376312256,1990-12-24
3.9109933376312256,1990-12-26
3.931685209274292,1990-12-27
4.024805068969727,1990-12-28
4.045495986938477,1990-12-31
4.035149097442627,1991-01-02
4.014456748962402,1991-01-03
4.0957465171813965,1991-01-04
4.043637752532959,1991-01-07
4.0227952003479,1991-01-08
3.981107711791992,1991-01-09
3.9915289878845215,1991-01-10
4.085324764251709,1991-01-11
3.9394211769104004,1991-01-14
3.8977341651916504,1991-01-15
3.981107711791992,1991-01-16
4.085324764251709,1991-01-17
4.137434482574463,1991-01-18
4.17911958694458,1991-01-21
4.147855281829834,1991-01-22
4.168699264526367,1991-01-23
4.168699264526367,1991-01-24
4.231229305267334,1991-01-25
4.1999640464782715,1991-01-28
4.168699264526367,1991-01-29
4.1582770347595215,1991-01-30
4.283339023590088,1991-01-31
4.189541339874268,1991-02-01
4.189541339874268,1991-02-04
4.304182529449463,1991-02-05
4.408400535583496,1991-02-06
4.502197742462158,1991-02-07
4.53346061706543,1991-02-08
4.575148105621338,1991-02-11
4.595991134643555,1991-02-12
4.616833209991455,1991-02-13
4.585568428039551,1991-02-14
4.585568428039551,1991-02-15
4.502197742462158,1991-02-19
4.502197742462158,1991-02-20
4.53346061706543,1991-02-21
4.543881416320801,1991-02-22
4.595991134643555,1991-02-25
4.564725399017334,1991-02-26
4.616833209991455,1991-02-27
4.627254962921143,1991-02-28
4.648096561431885,1991-03-01
4.648096561431885,1991-03-04
4.648096561431885,1991-03-05
4.627254962921143,1991-03-06
4.6376752853393555,1991-03-07
4.6376752853393555,1991-03-08
4.627254962921143,1991-03-11
4.616833209991455,1991-03-12
4.6376752853393555,1991-03-13
4.6376752853393555,1991-03-14
4.648096561431885,1991-03-15
4.627254962921143,1991-03-18
4.564725399017334,1991-03-19
4.397976398468018,1991-03-20
4.377134323120117,1991-03-21
4.481350421905518,1991-03-22
4.564725399017334,1991-03-25
4.627254962921143,1991-03-26
4.679365634918213,1991-03-27
4.721049785614014,1991-03-28
4.710630416870117,1991-04-01
4.773159027099609,1991-04-02
4.783581733703613,1991-04-03
4.886343002319336,1991-04-04
4.875856876373291,1991-04-05
4.886343002319336,1991-04-08
4.7395405769348145,1991-04-09
4.676626205444336,1991-04-10
4.666142463684082,1991-04-11
4.676626205444336,1991-04-12
4.7395405769348145,1991-04-15
4.7605133056640625,1991-04-16
4.7290568351745605,1991-04-17
4.676626205444336,1991-04-18
4.645173072814941,1991-04-19
4.613715648651123,1991-04-22
4.613715648651123,1991-04-23
4.676626205444336,1991-04-24
4.592741966247559,1991-04-25
4.613715648651123,1991-04-26
4.487883567810059,1991-04-29
4.487883567810059,1991-04-30
4.393513202667236,1991-05-01
4.424970626831055,1991-05-02
4.4774017333984375,1991-05-03
4.487883567810059,1991-05-06
4.351571559906006,1991-05-07
4.403998851776123,1991-05-08
4.41448450088501,1991-05-09
4.362056732177734,1991-05-10
4.2991414070129395,1991-05-13
4.183797836303711,1991-05-14
4.236227989196777,1991-05-15
4.2991414070129395,1991-05-16
4.320113182067871,1991-05-17
4.309628963470459,1991-05-20
4.424970626831055,1991-05-21
4.403998851776123,1991-05-22
4.456428527832031,1991-05-23
4.498371601104736,1991-05-24
4.57177209854126,1991-05-28
4.519341945648193,1991-05-29
4.57177209854126,1991-05-30
4.57177209854126,1991-05-31
4.655655384063721,1991-06-03
4.645173072814941,1991-06-04
4.603226661682129,1991-06-05
4.56128454208374,1991-06-06
4.508855819702148,1991-06-07
4.466915607452393,1991-06-10
4.5507988929748535,1991-06-11
4.445943355560303,1991-06-12
4.41448450088501,1991-06-13
4.487883567810059,1991-06-14
4.424970626831055,1991-06-17
4.267683506011963,1991-06-18
4.257199764251709,1991-06-19
4.267683506011963,1991-06-20
4.267683506011963,1991-06-21
4.141858100891113,1991-06-24
4.1313700675964355,1991-06-25
4.120883464813232,1991-06-26
4.057971477508545,1991-06-27
4.047487735748291,1991-06-28
4.09991455078125,1991-07-01
4.047487735748291,1991-07-02
