HRL,Date
0.13481852412223816,1980-11-21
0.1328921765089035,1980-11-24
0.13385504484176636,1980-11-25
0.12807752192020416,1980-11-26
0.12904046475887299,1980-11-28
0.12807752192020416,1980-12-01
0.1271146535873413,1980-12-02
0.12807752192020416,1980-12-03
0.12807752192020416,1980-12-04
0.13000334799289703,1980-12-05
0.1271146535873413,1980-12-08
0.1261511743068695,1980-12-09
0.1251881718635559,1980-12-10
0.1097804456949234,1980-12-11
0.11363263428211212,1980-12-12
0.11555852741003036,1980-12-15
0.11844730377197266,1980-12-16
0.11748433858156204,1980-12-17
0.11748433858156204,1980-12-18
0.11652136594057083,1980-12-19
0.11555852741003036,1980-12-22
0.11363263428211212,1980-12-23
0.11363263428211212,1980-12-24
0.11748433858156204,1980-12-26
0.11652136594057083,1980-12-29
0.11941071599721909,1980-12-30
0.11844730377197266,1980-12-31
0.12037362903356552,1981-01-02
0.11941071599721909,1981-01-05
0.12326241284608841,1981-01-06
0.12133659422397614,1981-01-07
0.12326241284608841,1981-01-08
0.12326241284608841,1981-01-09
0.12326241284608841,1981-01-12
0.12326241284608841,1981-01-13
0.12422534078359604,1981-01-14
0.12326241284608841,1981-01-15
0.12326241284608841,1981-01-16
0.12326241284608841,1981-01-19
0.12326241284608841,1981-01-20
0.122299425303936,1981-01-21
0.122299425303936,1981-01-22
0.122299425303936,1981-01-23
0.12422534078359604,1981-01-26
0.1271146535873413,1981-01-27
0.1328921765089035,1981-01-28
0.1309661865234375,1981-01-29
0.12904046475887299,1981-01-30
0.1319292187690735,1981-02-02
0.1309661865234375,1981-02-03
0.1328921765089035,1981-02-04
0.1328921765089035,1981-02-05
0.1328921765089035,1981-02-06
0.1309661865234375,1981-02-09
0.1309661865234375,1981-02-10
0.1319292187690735,1981-02-11
0.1319292187690735,1981-02-12
0.1251881718635559,1981-02-13
0.11748433858156204,1981-02-17
0.12133659422397614,1981-02-18
0.1251881718635559,1981-02-19
0.11941071599721909,1981-02-20
0.12133659422397614,1981-02-23
0.1261511743068695,1981-02-24
0.12904046475887299,1981-02-25
0.12904046475887299,1981-02-26
0.1309661865234375,1981-02-27
0.12904046475887299,1981-03-02
0.12904046475887299,1981-03-03
0.12807752192020416,1981-03-04
0.1271146535873413,1981-03-05
0.12807752192020416,1981-03-06
0.12904046475887299,1981-03-09
0.12904046475887299,1981-03-10
0.13000334799289703,1981-03-11
0.13000334799289703,1981-03-12
0.12904046475887299,1981-03-13
0.12904046475887299,1981-03-16
0.12422534078359604,1981-03-17
0.12422534078359604,1981-03-18
0.12133659422397614,1981-03-19
0.12326241284608841,1981-03-20
0.12422534078359604,1981-03-23
0.1251881718635559,1981-03-24
0.1261511743068695,1981-03-25
0.12807752192020416,1981-03-26
0.1271146535873413,1981-03-27
0.13000334799289703,1981-03-30
0.13000334799289703,1981-03-31
0.1271146535873413,1981-04-01
0.13000334799289703,1981-04-02
0.12904046475887299,1981-04-03
