HWM,Date
25.267118453979492,2017-04-24
26.119037628173828,2017-04-25
26.6224422454834,2017-04-26
26.351381301879883,2017-04-27
26.457870483398438,2017-04-28
26.38042640686035,2017-05-01
26.283615112304688,2017-05-02
25.98284339904785,2017-05-03
25.827608108520508,2017-05-04
26.48736572265625,2017-05-05
26.273910522460938,2017-05-08
26.44855499267578,2017-05-09
26.467960357666016,2017-05-10
26.400041580200195,2017-05-11
26.87545394897461,2017-05-12
27.2635440826416,2017-05-15
26.594091415405273,2017-05-16
26.041059494018555,2017-05-17
26.118675231933594,2017-05-18
26.7590274810791,2017-05-19
26.807537078857422,2017-05-22
27.040395736694336,2017-05-23
27.2441463470459,2017-05-24
26.400041580200195,2017-05-25
26.603790283203125,2017-05-26
26.40974235534668,2017-05-30
26.652305603027344,2017-05-31
27.137418746948242,2017-06-01
27.32176399230957,2017-06-02
26.652305603027344,2017-06-05
26.652305603027344,2017-06-06
26.09926986694336,2017-06-07
26.632904052734375,2017-06-08
26.545576095581055,2017-06-09
26.021650314331055,2017-06-12
26.83664894104004,2017-06-13
26.09926986694336,2017-06-14
25.905221939086914,2017-06-15
25.64325714111328,2017-06-16
25.817901611328125,2017-06-19
25.623855590820312,2017-06-20
24.566299438476562,2017-06-21
24.54689598083496,2017-06-22
24.779752731323242,2017-06-23
23.29529571533203,2017-06-26
21.18989372253418,2017-06-27
22.41238784790039,2017-06-28
22.140716552734375,2017-06-29
21.975780487060547,2017-06-30
22.160123825073242,2017-07-03
22.30565643310547,2017-07-05
22.237743377685547,2017-07-06
22.44148826599121,2017-07-07
23.120656967163086,2017-07-10
23.30500030517578,2017-07-11
23.469940185546875,2017-07-12
23.722198486328125,2017-07-13
23.663986206054688,2017-07-14
24.20731544494629,2017-07-17
24.139394760131836,2017-07-18
24.372255325317383,2017-07-19
24.01327133178711,2017-07-20
24.459575653076172,2017-07-21
24.42076301574707,2017-07-24
25.1484432220459,2017-07-25
24.828258514404297,2017-07-26
24.372255325317383,2017-07-27
24.20731544494629,2017-07-28
24.052078247070312,2017-07-31
24.352853775024414,2017-08-01
24.19723892211914,2017-08-02
24.634889602661133,2017-08-03
24.440380096435547,2017-08-04
24.644620895385742,2017-08-07
24.304222106933594,2017-08-08
23.973554611206055,2017-08-09
23.3608455657959,2017-08-10
23.3316593170166,2017-08-11
23.886022567749023,2017-08-14
24.070810317993164,2017-08-15
24.158340454101562,2017-08-16
23.613710403442383,2017-08-17
23.623432159423828,2017-08-18
23.808212280273438,2017-08-21
24.985013961791992,2017-08-22
24.868305206298828,2017-08-23
24.771045684814453,2017-08-24
24.557090759277344,2017-08-25
24.479280471801758,2017-08-28
24.654346466064453,2017-08-29
24.702972412109375,2017-08-30
24.771045684814453,2017-08-31
24.80994987487793,2017-09-01
23.720691680908203,2017-09-05
23.672060012817383,2017-09-06
23.594257354736328,2017-09-07
23.749860763549805,2017-09-08
24.29449462890625,2017-09-11
24.469558715820312,2017-09-12
24.557090759277344,2017-09-13
24.664066314697266,2017-09-14
24.644620895385742,2017-09-15
24.644620895385742,2017-09-18
25.228151321411133,2017-09-19
25.481016159057617,2017-09-20
26.054832458496094,2017-09-21
25.49074363708496,2017-09-22
25.412940979003906,2017-09-25
25.54909896850586,2017-09-26
25.656076431274414,2017-09-27
25.30595588684082,2017-09-28
24.19723892211914,2017-09-29
25.208702087402344,2017-10-02
25.412940979003906,2017-10-03
26.035375595092773,2017-10-04
26.11318588256836,2017-10-05
26.3563232421875,2017-10-06
26.638364791870117,2017-10-09
26.638364791870117,2017-10-10
26.59946060180664,2017-10-11
26.803693771362305,2017-10-12
26.414674758911133,2017-10-13
26.42439842224121,2017-10-16
26.103458404541016,2017-10-17
26.15208625793457,2017-10-18
25.947847366333008,2017-10-19
26.42439842224121,2017-10-20
