DHI,Date
0.9215137362480164,1992-10-02
0.8447209596633911,1992-10-05
0.8447209596633911,1992-10-06
0.8447209596633911,1992-10-07
0.8447209596633911,1992-10-08
0.8191234469413757,1992-10-09
0.8319215774536133,1992-10-12
0.8191234469413757,1992-10-13
0.7423306107521057,1992-10-14
0.7935253977775574,1992-10-15
0.7935253977775574,1992-10-16
0.7935253977775574,1992-10-19
0.7423306107521057,1992-10-20
0.7935253977775574,1992-10-21
0.7423306107521057,1992-10-22
0.7423306107521057,1992-10-23
0.7423306107521057,1992-10-26
0.7935253977775574,1992-10-27
0.8191234469413757,1992-10-28
0.8191234469413757,1992-10-29
0.7807270288467407,1992-10-30
0.8447209596633911,1992-11-02
0.8191234469413757,1992-11-03
0.9215137362480164,1992-11-04
0.8959159851074219,1992-11-05
0.8447209596633911,1992-11-06
0.8447209596633911,1992-11-09
0.7679277658462524,1992-11-10
0.8447209596633911,1992-11-11
0.8447209596633911,1992-11-12
0.8447209596633911,1992-11-13
0.8191234469413757,1992-11-16
0.8959159851074219,1992-11-17
0.8959159851074219,1992-11-18
0.9727086424827576,1992-11-19
0.9727086424827576,1992-11-20
0.9215137362480164,1992-11-23
0.9215137362480164,1992-11-24
0.934312105178833,1992-11-25
0.9471115469932556,1992-11-27
0.9727086424827576,1992-11-30
0.9215137362480164,1992-12-01
0.9215137362480164,1992-12-02
0.9215137362480164,1992-12-03
0.9471115469932556,1992-12-04
0.9215137362480164,1992-12-07
0.9215137362480164,1992-12-08
0.9215137362480164,1992-12-09
0.9727086424827576,1992-12-10
0.870317816734314,1992-12-11
0.8447209596633911,1992-12-14
0.8191234469413757,1992-12-15
0.870317816734314,1992-12-16
0.8191234469413757,1992-12-17
0.870317816734314,1992-12-18
0.8575194478034973,1992-12-21
0.9215137362480164,1992-12-22
0.9471115469932556,1992-12-23
0.9471115469932556,1992-12-24
0.9471115469932556,1992-12-28
0.9471115469932556,1992-12-29
0.9471115469932556,1992-12-30
0.9983065128326416,1992-12-31
1.023903727531433,1993-01-04
1.023903727531433,1993-01-05
1.0495020151138306,1993-01-06
1.0750997066497803,1993-01-07
1.0750997066497803,1993-01-08
1.0495020151138306,1993-01-11
1.0495020151138306,1993-01-12
1.023903727531433,1993-01-13
1.0750997066497803,1993-01-14
1.0495020151138306,1993-01-15
1.036703109741211,1993-01-18
0.9983065128326416,1993-01-19
0.9727086424827576,1993-01-20
1.036703109741211,1993-01-21
0.9983065128326416,1993-01-22
0.9983065128326416,1993-01-25
1.023903727531433,1993-01-26
1.0495020151138306,1993-01-27
0.9983065128326416,1993-01-28
1.0495020151138306,1993-01-29
1.036703109741211,1993-02-01
1.036703109741211,1993-02-02
1.1006969213485718,1993-02-03
1.1262941360473633,1993-02-04
1.0750997066497803,1993-02-05
1.1518917083740234,1993-02-08
1.0750997066497803,1993-02-09
1.0750997066497803,1993-02-10
1.0750997066497803,1993-02-11
1.0750997066497803,1993-02-12
1.023903727531433,1993-02-16
1.023903727531433,1993-02-17
0.9983065128326416,1993-02-18
1.0750997066497803,1993-02-19
1.023903727531433,1993-02-22
1.0750997066497803,1993-02-23
0.9983065128326416,1993-02-24
1.023903727531433,1993-02-25
1.0750997066497803,1993-02-26
1.023903727531433,1993-03-01
1.0111055374145508,1993-03-02
1.0750997066497803,1993-03-03
1.0750997066497803,1993-03-04
1.0750997066497803,1993-03-05
1.1518917083740234,1993-03-08
1.1006969213485718,1993-03-09
1.1262941360473633,1993-03-10
1.1518917083740234,1993-03-11
1.1262941360473633,1993-03-12
1.1774896383285522,1993-03-15
1.1774896383285522,1993-03-16
1.203087329864502,1993-03-17
1.203087329864502,1993-03-18
1.1774896383285522,1993-03-19
1.1006969213485718,1993-03-22
1.1006969213485718,1993-03-23
