DFS,Date
11.915268898010254,2010-03-24
11.9075345993042,2010-03-25
11.9075345993042,2010-03-26
11.87658405303955,2010-03-29
11.713892936706543,2010-03-30
11.543453216552734,2010-03-31
11.884330749511719,2010-04-01
12.070263862609863,2010-04-05
11.915322303771973,2010-04-06
11.752625465393066,2010-04-07
11.938558578491211,2010-04-08
12.008286476135254,2010-04-09
12.085761070251465,2010-04-12
12.085761070251465,2010-04-13
12.426641464233398,2010-04-14
12.488618850708008,2010-04-15
11.89982795715332,2010-04-16
12.139989852905273,2010-04-19
12.287188529968262,2010-04-20
12.132243156433105,2010-04-21
12.256202697753906,2010-04-22
12.59708309173584,2010-04-23
12.46537971496582,2010-04-26
11.907571792602539,2010-04-27
11.961803436279297,2010-04-28
12.426641464233398,2010-04-29
11.97729778289795,2010-04-30
12.473126411437988,2010-05-03
11.884330749511719,2010-05-04
11.574440002441406,2010-05-05
11.163832664489746,2010-05-06
10.908175468444824,2010-05-07
11.520209312438965,2010-05-10
11.543453216552734,2010-05-11
11.783616065979004,2010-05-12
11.458229064941406,2010-05-13
11.03213119506836,2010-05-14
11.00888442993164,2010-05-17
10.427842140197754,2010-05-18
10.536306381225586,2010-05-19
10.102456092834473,2010-05-20
10.482075691223145,2010-05-21
10.19542121887207,2010-05-24
10.21866512298584,2010-05-25
10.203166961669922,2010-05-26
10.613777160644531,2010-05-27
10.420093536376953,2010-05-28
10.210916519165039,2010-06-01
10.435589790344238,2010-06-02
10.474323272705078,2010-06-03
9.963003158569336,2010-06-04
9.62987232208252,2010-06-07
9.79256534576416,2010-06-08
9.738330841064453,2010-06-09
10.536306381225586,2010-06-10
10.582785606384277,2010-06-11
10.381359100341797,2010-06-14
10.784215927124023,2010-06-15
10.908175468444824,2010-06-16
10.877182006835938,2010-06-17
10.846193313598633,2010-06-18
10.838448524475098,2010-06-21
10.722236633300781,2010-06-22
10.853940963745117,2010-06-23
10.908175468444824,2010-06-24
11.249054908752441,2010-06-25
11.434990882873535,2010-06-28
10.691247940063477,2010-06-29
10.830699920654297,2010-06-30
10.784215927124023,2010-07-01
10.737666130065918,2010-07-02
10.78421688079834,2010-07-06
11.304030418395996,2010-07-07
11.350582122802734,2010-07-08
11.521267890930176,2010-07-09
11.36609935760498,2010-07-12
11.847121238708496,2010-07-13
11.777292251586914,2010-07-14
11.800570487976074,2010-07-15
11.249727249145508,2010-07-16
11.241959571838379,2010-07-19
11.50575065612793,2010-07-20
11.071280479431152,2010-07-21
11.629886627197266,2010-07-22
11.684197425842285,2010-07-23
12.017807960510254,2010-07-26
11.823843955993652,2010-07-27
11.668676376342773,2010-07-28
11.715227127075195,2010-07-29
11.847121238708496,2010-07-30
12.227286338806152,2010-08-02
12.056601524353027,2010-08-03
12.103150367736816,2010-08-04
11.971258163452148,2010-08-05
11.878157615661621,2010-08-06
12.079877853393555,2010-08-09
11.89367389678955,2010-08-10
11.443681716918945,2010-08-11
11.412652015686035,2010-08-12
11.389372825622559,2010-08-13
11.389372825622559,2010-08-16
11.474716186523438,2010-08-17
11.459200859069824,2010-08-18
11.172137260437012,2010-08-19
11.071280479431152,2010-08-20
11.071280479431152,2010-08-23
10.838525772094727,2010-08-24
10.791973114013672,2010-08-25
10.830770492553711,2010-08-26
11.459200859069824,2010-08-27
11.11007308959961,2010-08-30
11.257479667663574,2010-08-31
11.761778831481934,2010-09-01
12.056601524353027,2010-09-02
12.304864883422852,2010-09-03
11.878157615661621,2010-09-07
12.11866569519043,2010-09-08
12.188493728637695,2010-09-09
12.335904121398926,2010-09-10
12.460038185119629,2010-09-13
12.165217399597168,2010-09-14
12.25055980682373,2010-09-15
12.25055980682373,2010-09-16
12.079877853393555,2010-09-17
12.537622451782227,2010-09-20
12.382452964782715,2010-09-21
12.646239280700684,2010-09-22
12.801407814025879,2010-09-23
13.01088809967041,2010-09-24
12.79365062713623,2010-09-27
12.809164047241211,2010-09-28
12.86347770690918,2010-09-29
12.94106388092041,2010-09-30
12.86347770690918,2010-10-01
12.653996467590332,2010-10-04
13.112306594848633,2010-10-05
13.205527305603027,2010-10-06
13.034626007080078,2010-10-07
13.16668701171875,2010-10-08
13.158918380737305,2010-10-11
13.275434494018555,2010-10-12
13.733743667602539,2010-10-13
13.718205451965332,2010-10-14
13.28320598602295,2010-10-15
13.360884666442871,2010-10-18
13.454095840454102,2010-10-19
13.624995231628418,2010-10-20
13.632758140563965,2010-10-21
13.524011611938477,2010-10-22
13.609454154968262,2010-10-25
13.718205451965332,2010-10-26
13.601689338684082,2010-10-27
13.555081367492676,2010-10-28
13.710441589355469,2010-10-29
14.005623817443848,2010-11-01
14.01339340209961,2010-11-02
14.091070175170898,2010-11-03
14.557146072387695,2010-11-04
14.689202308654785,2010-11-05
14.712501525878906,2010-11-08
14.347404479980469,2010-11-09
14.541604995727539,2010-11-10
14.829025268554688,2010-11-11
14.448393821716309,2010-11-12
14.658133506774902,2010-11-15
14.060001373291016,2010-11-16
14.254192352294922,2010-11-17
14.277498245239258,2010-11-18
14.293038368225098,2010-11-19
14.316335678100586,2010-11-22
14.145445823669434,2010-11-23
14.448393821716309,2010-11-24
14.308572769165039,2010-11-26
14.308572769165039,2010-11-29
14.199824333190918,2010-11-30
14.650361061096191,2010-12-01
14.712501525878906,2010-12-02
14.6348295211792,2010-12-03
14.790191650390625,2010-12-06
14.347404479980469,2010-12-07
14.627060890197754,2010-12-08
14.580446243286133,2010-12-09
14.968847274780273,2010-12-10
14.836795806884766,2010-12-13
14.875629425048828,2010-12-14
14.860099792480469,2010-12-15
14.394023895263672,2010-12-16
13.997849464416504,2010-12-17
14.192049026489258,2010-12-20
14.160984992980957,2010-12-21
14.137682914733887,2010-12-22
14.339643478393555,2010-12-23
14.448511123657227,2010-12-27
14.432962417602539,2010-12-28
14.4407377243042,2010-12-29
14.12967586517334,2010-12-30
14.409634590148926,2010-12-31
14.642926216125488,2011-01-03
14.479622840881348,2011-01-04
14.907316207885742,2011-01-05
14.767346382141113,2011-01-06
14.697359085083008,2011-01-07
14.86844253540039,2011-01-10
14.961750984191895,2011-01-11
15.47500228881836,2011-01-12
15.583868980407715,2011-01-13
15.848261833190918,2011-01-14
16.128211975097656,2011-01-18
15.879372596740723,2011-01-19
15.817155838012695,2011-01-20
15.918251037597656,2011-01-21
15.879372596740723,2011-01-24
15.902698516845703,2011-01-25
16.12043571472168,2011-01-26
16.361499786376953,2011-01-27
15.910469055175781,2011-01-28
16.01156234741211,2011-01-31
16.244855880737305,2011-02-01
16.01156234741211,2011-02-02
15.980467796325684,2011-02-03
16.02712059020996,2011-02-04
16.431489944458008,2011-02-07
16.69588851928711,2011-02-08
16.41594696044922,2011-02-09
16.796985626220703,2011-02-10
16.890296936035156,2011-02-11
16.952510833740234,2011-02-14
16.81253433227539,2011-02-15
17.092487335205078,2011-02-16
17.100261688232422,2011-02-17
16.999162673950195,2011-02-18
16.408164978027344,2011-02-22
16.33039665222168,2011-02-23
16.804758071899414,2011-02-24
16.968067169189453,2011-02-25
16.913625717163086,2011-02-28
16.423723220825195,2011-03-01
16.36927604675293,2011-03-02
16.68033790588379,2011-03-03
16.804758071899414,2011-03-04
16.750322341918945,2011-03-07
17.31800079345703,2011-03-08
17.022493362426758,2011-03-09
16.874746322631836,2011-03-10
16.9758358001709,2011-03-11
17.045827865600586,2011-03-14
16.898073196411133,2011-03-15
16.462596893310547,2011-03-16
16.81253433227539,2011-03-17
17.1080322265625,2011-03-18
17.605724334716797,2011-03-21
17.302440643310547,2011-03-22
18.227834701538086,2011-03-23
18.55445098876953,2011-03-24
18.663311004638672,2011-03-25
18.943262100219727,2011-03-28
19.04435920715332,2011-03-29
19.425397872924805,2011-03-30
18.756628036499023,2011-03-31
18.77995491027832,2011-04-01
19.16099739074707,2011-04-04
19.176586151123047,2011-04-05
19.036270141601562,2011-04-06
18.740053176879883,2011-04-07
18.591941833496094,2011-04-08
18.802413940429688,2011-04-11
18.755638122558594,2011-04-12
18.88817024230957,2011-04-13
18.669891357421875,2011-04-14
18.927143096923828,2011-04-15
18.591941833496094,2011-04-18
18.997297286987305,2011-04-19
19.426048278808594,2011-04-20
19.30131721496582,2011-04-21
19.0986385345459,2011-04-25
19.28572654724121,2011-04-26
19.0986385345459,2011-04-27
19.231163024902344,2011-04-28
19.363685607910156,2011-04-29
19.231163024902344,2011-05-02
19.29352569580078,2011-05-03
18.747854232788086,2011-05-04
18.716672897338867,2011-05-05
18.9349365234375,2011-05-06
19.184385299682617,2011-05-09
19.16099739074707,2011-05-10
18.849185943603516,2011-05-11
18.864776611328125,2011-05-12
18.895959854125977,2011-05-13
19.542978286743164,2011-05-16
19.691083908081055,2011-05-17
19.745656967163086,2011-05-18
20.018489837646484,2011-05-19
19.426048278808594,2011-05-20
19.044071197509766,2011-05-23
18.358078002929688,2011-05-24
18.358078002929688,2011-05-25
18.552959442138672,2011-05-26
18.529577255249023,2011-05-27
18.58414649963379,2011-05-31
18.2645320892334,2011-06-01
18.248939514160156,2011-06-02
18.08524513244629,2011-06-03
17.484996795654297,2011-06-06
17.7656307220459,2011-06-07
17.664291381835938,2011-06-08
17.789012908935547,2011-06-09
17.55515480041504,2011-06-10
17.664291381835938,2011-06-13
18.06964874267578,2011-06-14
17.89035987854004,2011-06-15
18.13980484008789,2011-06-16
17.99949073791504,2011-06-17
18.41264533996582,2011-06-20
