MAT,Date
0.6788147687911987,1977-02-25
0.6953712105751038,1977-02-28
0.6788147687911987,1977-03-01
0.6788147687911987,1977-03-02
0.6953712105751038,1977-03-03
0.6953712105751038,1977-03-04
0.6953712105751038,1977-03-07
0.6788147687911987,1977-03-08
0.6622582077980042,1977-03-09
0.6622582077980042,1977-03-10
0.6953712105751038,1977-03-11
0.7119272947311401,1977-03-14
0.7450405359268188,1977-03-15
0.7615966200828552,1977-03-16
0.7781540155410767,1977-03-17
0.7615966200828552,1977-03-18
0.7284841537475586,1977-03-21
0.7450405359268188,1977-03-22
0.7284841537475586,1977-03-23
0.7119272947311401,1977-03-24
0.7119272947311401,1977-03-25
0.6953712105751038,1977-03-28
0.7450405359268188,1977-03-29
0.6953712105751038,1977-03-30
0.7119272947311401,1977-03-31
