HBAN,Date
0.554307222366333,1980-11-24
0.554307222366333,1980-11-25
0.554307222366333,1980-11-26
0.5593014359474182,1980-11-28
0.554307222366333,1980-12-01
0.5493136644363403,1980-12-02
0.5493136644363403,1980-12-03
0.544319748878479,1980-12-04
0.544319748878479,1980-12-05
0.5243449807167053,1980-12-08
0.5043700933456421,1980-12-09
0.4993758201599121,1980-12-10
0.4843946695327759,1980-12-11
0.4843946695327759,1980-12-12
0.4843946695327759,1980-12-15
0.48938843607902527,1980-12-16
0.4794010818004608,1980-12-17
0.4993758201599121,1980-12-18
0.5043700933456421,1980-12-19
0.5093639492988586,1980-12-22
0.5193511247634888,1980-12-23
0.5393261313438416,1980-12-24
0.5593014359474182,1980-12-26
0.5593014359474182,1980-12-29
0.5593014359474182,1980-12-30
