MKTX,Date
11.768628120422363,2005-04-21
11.041747093200684,2005-04-22
10.773489952087402,2005-04-25
10.427352905273438,2005-04-26
10.470619201660156,2005-04-27
10.461966514587402,2005-04-28
10.609075546264648,2005-04-29
10.583114624023438,2005-05-02
10.756180763244629,2005-05-03
9.778345108032227,2005-05-04
9.518741607666016,2005-05-05
9.717772483825684,2005-05-06
9.605280876159668,2005-05-09
9.518741607666016,2005-05-10
9.337023735046387,2005-05-11
9.103377342224121,2005-05-12
8.843777656555176,2005-05-13
8.913006782531738,2005-05-16
9.086077690124512,2005-05-17
8.826471328735352,2005-05-18
8.739937782287598,2005-05-19
8.566871643066406,2005-05-20
9.285102844238281,2005-05-23
9.388940811157227,2005-05-24
9.016844749450684,2005-05-25
9.034157752990723,2005-05-26
8.95627498626709,2005-05-27
8.653402328491211,2005-05-31
8.506295204162598,2005-06-01
8.70532512664795,2005-06-02
8.895700454711914,2005-06-03
8.913006782531738,2005-06-06
8.861083984375,2005-06-07
8.592833518981934,2005-06-08
8.73128604888916,2005-06-09
8.826471328735352,2005-06-10
9.172606468200684,2005-06-13
9.890840530395508,2005-06-14
9.665853500366211,2005-06-15
9.994683265686035,2005-06-16
9.830265998840332,2005-06-17
9.80430793762207,2005-06-20
9.908147811889648,2005-06-21
10.081217765808105,2005-06-22
9.951415061950684,2005-06-23
10.020641326904297,2005-06-24
9.96006965637207,2005-06-27
9.951415061950684,2005-06-28
9.838922500610352,2005-06-29
9.778345108032227,2005-06-30
9.536048889160156,2005-07-01
9.388940811157227,2005-07-05
9.42355728149414,2005-07-06
9.103377342224121,2005-07-07
9.120688438415527,2005-07-08
9.778345108032227,2005-07-11
9.562010765075684,2005-07-12
9.397598266601562,2005-07-13
9.42355728149414,2005-07-14
9.40625,2005-07-15
9.47547721862793,2005-07-18
9.492786407470703,2005-07-19
9.890840530395508,2005-07-20
9.570666313171387,2005-07-21
9.856223106384277,2005-07-22
9.536048889160156,2005-07-25
9.449518203735352,2005-07-26
9.510092735290527,2005-07-27
9.397598266601562,2005-07-28
9.47547721862793,2005-07-29
9.311063766479492,2005-08-01
9.311063766479492,2005-08-02
9.380292892456055,2005-08-03
9.137994766235352,2005-08-04
9.146647453308105,2005-08-05
8.843777656555176,2005-08-08
9.380292892456055,2005-08-09
8.895700454711914,2005-08-10
8.653402328491211,2005-08-11
8.688016891479492,2005-08-12
8.964925765991211,2005-08-15
8.653402328491211,2005-08-16
8.64474868774414,2005-08-17
8.64474868774414,2005-08-18
8.70532512664795,2005-08-19
8.70532512664795,2005-08-22
8.757246971130371,2005-08-23
9.086077690124512,2005-08-24
9.527398109436035,2005-08-25
9.527398109436035,2005-08-26
9.847570419311523,2005-08-29
9.639893531799316,2005-08-30
9.683157920837402,2005-08-31
9.562010765075684,2005-09-01
9.579319953918457,2005-09-02
9.769691467285156,2005-09-06
9.709120750427246,2005-09-07
9.778345108032227,2005-09-08
9.812963485717773,2005-09-09
