MCIC,Date
2066113.625,1999-04-01
2324378.75,1999-04-05
2324378.75,1999-04-06
2582644.0,1999-04-07
3185265.25,1999-04-08
2582644.0,1999-04-09
2582644.0,1999-04-12
2410469.75,1999-04-13
2685947.0,1999-04-14
2754818.25,1999-04-15
2617083.25,1999-04-16
3271348.5,1999-04-19
3615704.5,1999-04-20
3443522.75,1999-04-21
3443522.75,1999-04-22
3615704.5,1999-04-23
3271348.5,1999-04-26
3271348.5,1999-04-27
3271348.5,1999-04-28
3443522.75,1999-04-29
3615704.5,1999-04-30
3615704.5,1999-05-03
3443522.75,1999-05-04
3271348.5,1999-05-05
3271348.5,1999-05-06
3271348.5,1999-05-07
3443522.75,1999-05-10
2754818.25,1999-05-11
2582644.0,1999-05-12
2582644.0,1999-05-13
2582644.0,1999-05-14
2685947.0,1999-05-17
2685947.0,1999-05-18
2582644.0,1999-05-19
2582644.0,1999-05-20
2927000.0,1999-05-21
2685947.0,1999-05-24
2685947.0,1999-05-25
2927000.0,1999-05-26
2754818.25,1999-05-27
2582644.0,1999-05-28
2927000.0,1999-06-01
3099174.25,1999-06-02
3013083.25,1999-06-03
3013083.25,1999-06-04
3271348.5,1999-06-07
3013083.25,1999-06-08
3185265.25,1999-06-09
3185265.25,1999-06-10
3271348.5,1999-06-11
2927000.0,1999-06-14
2927000.0,1999-06-15
2927000.0,1999-06-16
2927000.0,1999-06-17
2927000.0,1999-06-18
2927000.0,1999-06-21
2927000.0,1999-06-22
2927000.0,1999-06-23
2927000.0,1999-06-24
2754818.25,1999-06-25
2754818.25,1999-06-28
2754818.25,1999-06-29
2754818.25,1999-06-30
2754818.25,1999-07-01
2754818.25,1999-07-02
2754818.25,1999-07-06
2754818.25,1999-07-07
2582644.0,1999-07-08
2582644.0,1999-07-09
2410469.75,1999-07-12
2582644.0,1999-07-13
2582644.0,1999-07-14
2582644.0,1999-07-15
2410469.75,1999-07-16
2496553.0,1999-07-19
2927000.0,1999-07-20
2927000.0,1999-07-21
2927000.0,1999-07-22
2754818.25,1999-07-23
3185265.25,1999-07-26
3185265.25,1999-07-27
2668734.75,1999-07-28
2668734.75,1999-07-29
2668734.75,1999-07-30
2927000.0,1999-08-02
2668734.75,1999-08-03
2668734.75,1999-08-04
2668734.75,1999-08-05
2410469.75,1999-08-06
2410469.75,1999-08-09
2238295.5,1999-08-10
2066113.625,1999-08-11
2410469.75,1999-08-12
2152204.5,1999-08-13
1893939.375,1999-08-16
1893939.375,1999-08-17
1549583.375,1999-08-18
1721765.125,1999-08-19
1721765.125,1999-08-20
1721765.125,1999-08-23
1721765.125,1999-08-24
1721765.125,1999-08-25
1721765.125,1999-08-26
1721765.125,1999-08-27
1721765.125,1999-08-30
1549583.375,1999-08-31
1549583.375,1999-09-01
1549583.375,1999-09-02
1549583.375,1999-09-03
1463500.0,1999-09-07
1377409.125,1999-09-08
1377409.125,1999-09-09
1377409.125,1999-09-10
1377409.125,1999-09-13
1549583.375,1999-09-14
1291325.75,1999-09-15
1291325.75,1999-09-16
1067492.375,1999-09-17
1205234.875,1999-09-20
1291325.75,1999-09-21
1291325.75,1999-09-22
1119144.0,1999-09-23
1119144.0,1999-09-24
1205234.875,1999-09-27
1033060.625,1999-09-28
1033060.625,1999-09-29
860878.8125,1999-09-30
860878.8125,1999-10-01
792007.5625,1999-10-04
774795.4375,1999-10-05
860878.8125,1999-10-06
860878.8125,1999-10-07
774795.4375,1999-10-08
826447.0,1999-10-11
860878.8125,1999-10-12
602613.625,1999-10-13
757575.75,1999-10-14
757575.75,1999-10-15
688704.5625,1999-10-18
688704.5625,1999-10-19
688704.5625,1999-10-20
860878.8125,1999-10-21
860878.8125,1999-10-22
774795.4375,1999-10-25
774795.4375,1999-10-26
654272.75,1999-10-27
946969.6875,1999-10-28
1033060.625,1999-10-29
860878.8125,1999-11-01
774795.4375,1999-11-02
946969.6875,1999-11-03
1463500.0,1999-11-04
1411848.5,1999-11-05
1463500.0,1999-11-08
1119144.0,1999-11-09
1050272.75,1999-11-10
1205234.875,1999-11-11
1291325.75,1999-11-12
1119144.0,1999-11-15
929750.0,1999-11-16
1463500.0,1999-11-17
2496553.0,1999-11-18
2238295.5,1999-11-19
2840909.0,1999-11-22
2927000.0,1999-11-23
2668734.75,1999-11-24
3357439.5,1999-11-26
8264462.0,1999-11-29
6198348.5,1999-11-30
5371901.5,1999-12-01
5681818.0,1999-12-02
6198348.5,1999-12-03
5681818.0,1999-12-06
4304409.0,1999-12-07
3615704.5,1999-12-08
3529613.75,1999-12-09
3615704.5,1999-12-10
3357439.5,1999-12-13
3443522.75,1999-12-14
3099174.25,1999-12-15
2927000.0,1999-12-16
2840909.0,1999-12-17
2754818.25,1999-12-20
2238295.5,1999-12-21
2685947.0,1999-12-22
2582644.0,1999-12-23
2152204.5,1999-12-27
2754818.25,1999-12-28
2754818.25,1999-12-29
2754818.25,1999-12-30
3443522.75,1999-12-31
3615704.5,2000-01-03
3443522.75,2000-01-04
3099174.25,2000-01-05
2582644.0,2000-01-06
2582644.0,2000-01-07
3099174.25,2000-01-10
3099174.25,2000-01-11
2754818.25,2000-01-12
2754818.25,2000-01-13
3099174.25,2000-01-14
3099174.25,2000-01-18
3615704.5,2000-01-19
3099174.25,2000-01-20
2789257.5,2000-01-21
3099174.25,2000-01-24
2582644.0,2000-01-25
2754818.25,2000-01-26
2927000.0,2000-01-27
2927000.0,2000-01-28
2927000.0,2000-01-31
2496553.0,2000-02-01
2582644.0,2000-02-02
2582644.0,2000-02-03
2066113.625,2000-02-04
2238295.5,2000-02-07
2066113.625,2000-02-08
1893939.375,2000-02-09
2927000.0,2000-02-10
2927000.0,2000-02-11
2840909.0,2000-02-14
2496553.0,2000-02-15
2582644.0,2000-02-16
3013083.25,2000-02-17
2754818.25,2000-02-18
2927000.0,2000-02-22
2582644.0,2000-02-23
2582644.0,2000-02-24
2582644.0,2000-02-25
2754818.25,2000-02-28
2496553.0,2000-02-29
2754818.25,2000-03-01
2496553.0,2000-03-02
2754818.25,2000-03-03
2754818.25,2000-03-06
2582644.0,2000-03-07
2754818.25,2000-03-08
3185265.25,2000-03-09
3271348.5,2000-03-10
3219697.0,2000-03-13
3219697.0,2000-03-14
2582644.0,2000-03-15
2582644.0,2000-03-16
2927000.0,2000-03-17
3443522.75,2000-03-20
2927000.0,2000-03-21
3271348.5,2000-03-22
2927000.0,2000-03-23
2754818.25,2000-03-24
5509644.0,2000-03-27
3099174.25,2000-03-28
2927000.0,2000-03-29
2754818.25,2000-03-30
3271348.5,2000-03-31
3271348.5,2000-04-03
3443522.75,2000-04-04
3099174.25,2000-04-05
2927000.0,2000-04-06
3219697.0,2000-04-07
3219697.0,2000-04-10
2944212.0,2000-04-11
2927000.0,2000-04-12
2754818.25,2000-04-13
2582644.0,2000-04-14
2582644.0,2000-04-17
2685947.0,2000-04-18
2066113.625,2000-04-19
2927000.0,2000-04-20
2066113.625,2000-04-24
2582644.0,2000-04-25
2582644.0,2000-04-26
2410469.75,2000-04-27
2410469.75,2000-04-28
2582644.0,2000-05-01
2410469.75,2000-05-02
2410469.75,2000-05-03
2582644.0,2000-05-04
2582644.0,2000-05-05
1893939.375,2000-05-08
2238295.5,2000-05-09
2152204.5,2000-05-10
1893939.375,2000-05-11
1893939.375,2000-05-12
2066113.625,2000-05-15
2066113.625,2000-05-16
2066113.625,2000-05-17
2066113.625,2000-05-18
2066113.625,2000-05-19
2066113.625,2000-05-22
1721765.125,2000-05-23
1721765.125,2000-05-24
2238295.5,2000-05-25
1721765.125,2000-05-26
1893939.375,2000-05-30
2066113.625,2000-05-31
2238295.5,2000-06-01
2238295.5,2000-06-02
2238295.5,2000-06-05
2324378.75,2000-06-06
2324378.75,2000-06-07
2754818.25,2000-06-08
2548212.0,2000-06-09
2324378.75,2000-06-12
2238295.5,2000-06-13
2238295.5,2000-06-14
2582644.0,2000-06-15
2582644.0,2000-06-16
2238295.5,2000-06-19
2152204.5,2000-06-20
2152204.5,2000-06-21
2410469.75,2000-06-22
1893939.375,2000-06-23
2410469.75,2000-06-26
2238295.5,2000-06-27
2152204.5,2000-06-28
2582644.0,2000-06-29
2582644.0,2000-06-30
2066113.625,2000-07-03
2066113.625,2000-07-05
1893939.375,2000-07-06
1893939.375,2000-07-07
2066113.625,2000-07-10
2238295.5,2000-07-11
1980030.25,2000-07-12
2066113.625,2000-07-13
2152204.5,2000-07-14
2238295.5,2000-07-17
2066113.625,2000-07-18
1980030.25,2000-07-19
2066113.625,2000-07-20
1980030.25,2000-07-21
1980030.25,2000-07-24
2324378.75,2000-07-25
2324378.75,2000-07-26
2324378.75,2000-07-27
2152204.5,2000-07-28
1980030.25,2000-07-31
2238295.5,2000-08-01
2152204.5,2000-08-02
2152204.5,2000-08-03
1893939.375,2000-08-04
2066113.625,2000-08-07
2066113.625,2000-08-08
1893939.375,2000-08-09
2066113.625,2000-08-10
1893939.375,2000-08-11
1807848.5,2000-08-14
1893939.375,2000-08-15
1876719.75,2000-08-16
1980030.25,2000-08-17
1549583.375,2000-08-18
1549583.375,2000-08-21
1549583.375,2000-08-22
2238295.5,2000-08-23
1721765.125,2000-08-24
2066113.625,2000-08-25
2066113.625,2000-08-28
1893939.375,2000-08-29
2238295.5,2000-08-30
2238295.5,2000-08-31
2152204.5,2000-09-01
2066113.625,2000-09-05
2066113.625,2000-09-06
2410469.75,2000-09-07
2410469.75,2000-09-08
2410469.75,2000-09-11
2066113.625,2000-09-12
2066113.625,2000-09-13
2066113.625,2000-09-14
2066113.625,2000-09-15
2152204.5,2000-09-18
1893939.375,2000-09-19
2066113.625,2000-09-20
2066113.625,2000-09-21
1893939.375,2000-09-22
2066113.625,2000-09-25
2066113.625,2000-09-26
2066113.625,2000-09-27
2238295.5,2000-09-28
2066113.625,2000-09-29
2410469.75,2000-10-02
2066113.625,2000-10-03
2324378.75,2000-10-04
2410469.75,2000-10-05
2238295.5,2000-10-06
2238295.5,2000-10-09
1463500.0,2000-10-10
1721765.125,2000-10-11
1721765.125,2000-10-12
1893939.375,2000-10-13
1893939.375,2000-10-16
1893939.375,2000-10-17
1893939.375,2000-10-18
1980030.25,2000-10-19
2066113.625,2000-10-20
1635674.25,2000-10-23
1635674.25,2000-10-24
1549583.375,2000-10-25
1377409.125,2000-10-26
1721765.125,2000-10-27
1549583.375,2000-10-30
1549583.375,2000-10-31
1721765.125,2000-11-01
1721765.125,2000-11-02
2066113.625,2000-11-03
