LNC,Date
3.2535641193389893,1980-08-22
3.198418140411377,1980-08-25
3.1616568565368652,1980-08-26
3.1248927116394043,1980-08-27
3.1248927116394043,1980-08-28
3.088129997253418,1980-08-29
3.0513644218444824,1980-09-02
3.088129997253418,1980-09-03
3.1065101623535156,1980-09-04
3.097317934036255,1980-09-05
3.088129997253418,1980-09-08
3.060556411743164,1980-09-09
3.097317934036255,1980-09-10
3.088129997253418,1980-09-11
3.1248927116394043,1980-09-12
3.1432745456695557,1980-09-15
3.115701675415039,1980-09-16
3.1432745456695557,1980-09-17
3.097317934036255,1980-09-18
3.088129997253418,1980-09-19
3.088129997253418,1980-09-22
3.1248927116394043,1980-09-23
3.1065101623535156,1980-09-24
3.088129997253418,1980-09-25
3.032982110977173,1980-09-26
3.032982110977173,1980-09-29
3.042174816131592,1980-09-30
3.032982110977173,1980-10-01
3.032982110977173,1980-10-02
3.0789380073547363,1980-10-03
3.097317934036255,1980-10-06
3.115701675415039,1980-10-07
3.060556411743164,1980-10-08
3.088129997253418,1980-10-09
3.042174816131592,1980-10-10
3.014603614807129,1980-10-13
3.042174816131592,1980-10-14
3.0237927436828613,1980-10-15
2.9870285987854004,1980-10-16
2.9135031700134277,1980-10-17
2.9135031700134277,1980-10-20
2.885929584503174,1980-10-21
2.9043118953704834,1980-10-22
2.9043118953704834,1980-10-23
2.885929584503174,1980-10-24
2.885929584503174,1980-10-27
2.9043118953704834,1980-10-28
2.9135031700134277,1980-10-29
2.9135031700134277,1980-10-30
2.9135031700134277,1980-10-31
2.996220588684082,1980-11-03
2.885929584503174,1980-11-05
2.895120859146118,1980-11-06
2.9410765171051025,1980-11-07
2.9410765171051025,1980-11-10
2.9318838119506836,1980-11-11
2.959455966949463,1980-11-12
2.959455966949463,1980-11-13
2.959455966949463,1980-11-14
2.9318838119506836,1980-11-17
2.9043118953704834,1980-11-18
2.9318838119506836,1980-11-19
2.9043118953704834,1980-11-20
2.885929584503174,1980-11-21
2.8032114505767822,1980-11-24
2.7572576999664307,1980-11-25
2.720494508743286,1980-11-26
2.7664473056793213,1980-11-28
2.7664473056793213,1980-12-01
2.7572576999664307,1980-12-02
2.7848291397094727,1980-12-03
2.8767402172088623,1980-12-04
2.849167585372925,1980-12-05
2.885929584503174,1980-12-08
2.79402232170105,1980-12-09
2.7480666637420654,1980-12-10
2.7480666637420654,1980-12-11
2.7572576999664307,1980-12-12
2.7296853065490723,1980-12-15
2.6929209232330322,1980-12-16
2.6929209232330322,1980-12-17
2.738877534866333,1980-12-18
2.849167585372925,1980-12-19
2.9043118953704834,1980-12-22
2.8767402172088623,1980-12-23
2.8307852745056152,1980-12-24
2.9318838119506836,1980-12-26
2.8675477504730225,1980-12-29
2.885929584503174,1980-12-30
2.9410765171051025,1980-12-31
2.959455966949463,1981-01-02
2.9778387546539307,1981-01-05
3.069746971130371,1981-01-06
2.9410765171051025,1981-01-07
