PKG,Date
81.81458282470703,2019-06-27
82.99880981445312,2019-06-28
85.02762603759766,2019-07-01
84.95796966552734,2019-07-02
87.05644989013672,2019-07-03
86.89099884033203,2019-07-05
86.6297836303711,2019-07-08
86.76909637451172,2019-07-09
87.11739349365234,2019-07-10
86.15959930419922,2019-07-11
86.50788879394531,2019-07-12
84.56614685058594,2019-07-15
85.74161529541016,2019-07-16
85.32366180419922,2019-07-17
85.62844848632812,2019-07-18
86.98680114746094,2019-07-19
86.60367584228516,2019-07-22
88.1709976196289,2019-07-23
89.02432250976562,2019-07-24
88.80663299560547,2019-07-25
88.82404327392578,2019-07-26
88.83273315429688,2019-07-29
89.72091674804688,2019-07-30
87.91848754882812,2019-07-31
87.14351654052734,2019-08-01
88.16227722167969,2019-08-02
86.7255630493164,2019-08-05
87.2044906616211,2019-08-06
87.50923156738281,2019-08-07
88.91983795166016,2019-08-08
88.05778503417969,2019-08-09
86.76909637451172,2019-08-12
88.37996673583984,2019-08-13
86.69074249267578,2019-08-14
87.06514739990234,2019-08-15
88.18840789794922,2019-08-16
89.2332992553711,2019-08-19
87.81399536132812,2019-08-20
88.16227722167969,2019-08-21
88.0490951538086,2019-08-22
85.41075897216797,2019-08-23
86.10733032226562,2019-08-26
85.03634643554688,2019-08-27
85.76776123046875,2019-08-28
87.14351654052734,2019-08-29
87.57888793945312,2019-08-30
85.76776123046875,2019-09-03
87.19577026367188,2019-09-04
87.53536224365234,2019-09-05
87.60501098632812,2019-09-06
87.5266342163086,2019-09-09
90.73094940185547,2019-09-10
94.1181411743164,2019-09-11
93.88130950927734,2019-09-12
95.05670166015625,2019-09-13
92.86380767822266,2019-09-16
92.11822509765625,2019-09-17
91.82001495361328,2019-09-18
90.6358642578125,2019-09-19
90.2060546875,2019-09-20
90.9867172241211,2019-09-23
90.60954284667969,2019-09-24
92.37261199951172,2019-09-25
91.69719696044922,2019-09-26
92.62699127197266,2019-09-27
93.06555938720703,2019-09-30
90.16220092773438,2019-10-01
89.77625274658203,2019-10-02
89.89027404785156,2019-10-03
90.6358642578125,2019-10-04
90.96916198730469,2019-10-07
89.59203338623047,2019-10-08
90.86390686035156,2019-10-09
93.00415802001953,2019-10-10
95.88997650146484,2019-10-11
94.08304595947266,2019-10-14
93.99534606933594,2019-10-15
93.6971206665039,2019-10-16
93.33748626708984,2019-10-17
94.92510986328125,2019-10-18
95.1619644165039,2019-10-21
95.24089813232422,2019-10-22
96.53907775878906,2019-10-23
95.18826293945312,2019-10-24
97.30219268798828,2019-10-25
98.68807983398438,2019-10-28
97.87234497070312,2019-10-29
96.86361694335938,2019-10-30
96.01277923583984,2019-10-31
97.63550567626953,2019-11-01
98.29338073730469,2019-11-04
99.31964874267578,2019-11-05
98.5565185546875,2019-11-06
99.07405090332031,2019-11-07
99.9073257446289,2019-11-08
99.68803405761719,2019-11-11
99.74064636230469,2019-11-12
98.91613006591797,2019-11-13
99.04772186279297,2019-11-14
98.8108901977539,2019-11-15
99.7055892944336,2019-11-18
99.71434783935547,2019-11-19
98.34600067138672,2019-11-20
97.0741195678711,2019-11-21
97.24956512451172,2019-11-22
98.1179428100586,2019-11-25
98.64423370361328,2019-11-26
98.30215454101562,2019-11-27
98.15303039550781,2019-11-29
97.3899154663086,2019-12-02
97.1355209350586,2019-12-03
97.52149200439453,2019-12-04
98.5565185546875,2019-12-05
99.37226867675781,2019-12-06
99.591552734375,2019-12-09
97.67936706542969,2019-12-10
97.85477447509766,2019-12-11
98.39863586425781,2019-12-12
97.39868927001953,2019-12-13
96.4952163696289,2019-12-16
98.51264953613281,2019-12-17
98.04776000976562,2019-12-18
98.64847564697266,2019-12-19
99.31985473632812,2019-12-20
99.85872650146484,2019-12-23
99.17852020263672,2019-12-24
99.1431655883789,2019-12-26
98.73680114746094,2019-12-27
98.69264221191406,2019-12-30
98.93115997314453,2019-12-31
97.80924224853516,2020-01-02
96.48416900634766,2020-01-03
93.6131362915039,2020-01-06
92.62374114990234,2020-01-07
93.39228820800781,2020-01-08
92.7827377319336,2020-01-09
93.35694122314453,2020-01-10
94.82337188720703,2020-01-13
94.21383666992188,2020-01-14
95.61842346191406,2020-01-15
96.3604736328125,2020-01-16
96.32515716552734,2020-01-17
93.7191390991211,2020-01-21
93.90464782714844,2020-01-22
94.57601928710938,2020-01-23
93.33045196533203,2020-01-24
91.90817260742188,2020-01-27
92.22620391845703,2020-01-28
92.70323944091797,2020-01-29
88.00360107421875,2020-01-30
84.58485412597656,2020-01-31
85.82161712646484,2020-02-03
87.87107849121094,2020-02-04
