SJM,Date
90.11355590820312,2018-06-20
89.29173278808594,2018-06-21
89.56283569335938,2018-06-22
91.69789123535156,2018-06-25
92.45196533203125,2018-06-26
93.23143005371094,2018-06-27
92.39266204833984,2018-06-28
91.06246948242188,2018-06-29
89.09687042236328,2018-07-02
90.9014892578125,2018-07-03
93.7397689819336,2018-07-05
94.67176818847656,2018-07-06
93.96854400634766,2018-07-09
92.46890258789062,2018-07-10
93.07047271728516,2018-07-11
92.96878051757812,2018-07-12
94.09564208984375,2018-07-13
91.85043334960938,2018-07-16
94.03633117675781,2018-07-17
92.35877227783203,2018-07-18
92.83323669433594,2018-07-19
92.7485122680664,2018-07-20
92.09613037109375,2018-07-23
91.172607421875,2018-07-24
91.94361114501953,2018-07-25
93.32463836669922,2018-07-26
93.21449279785156,2018-07-27
94.07870483398438,2018-07-30
94.14646911621094,2018-07-31
92.68920135498047,2018-08-01
95.16316223144531,2018-08-02
98.48438262939453,2018-08-03
96.98475646972656,2018-08-06
95.57833099365234,2018-08-07
94.81580352783203,2018-08-08
93.79061889648438,2018-08-09
93.9007797241211,2018-08-10
94.12953186035156,2018-08-13
94.4175796508789,2018-08-14
95.39193725585938,2018-08-15
95.69071197509766,2018-08-16
97.8249740600586,2018-08-17
98.91769409179688,2018-08-20
92.36984252929688,2018-08-21
89.9794921875,2018-08-22
89.16848754882812,2018-08-23
89.68070220947266,2018-08-24
90.34658813476562,2018-08-27
88.99774932861328,2018-08-28
88.49405670166016,2018-08-29
87.90501403808594,2018-08-30
88.25503540039062,2018-08-31
88.5196762084961,2018-09-04
91.47345733642578,2018-09-05
93.71015167236328,2018-09-06
93.50526428222656,2018-09-07
94.0516128540039,2018-09-10
93.21500396728516,2018-09-11
94.07723236083984,2018-09-12
94.70043182373047,2018-09-13
94.8284683227539,2018-09-14
95.31510162353516,2018-09-17
94.30773162841797,2018-09-18
93.19792938232422,2018-09-19
93.60771179199219,2018-09-20
94.0431137084961,2018-09-21
92.79669952392578,2018-09-24
92.51496124267578,2018-09-25
90.20145416259766,2018-09-26
87.39278411865234,2018-09-27
87.59768676757812,2018-09-28
87.51232147216797,2018-10-01
88.07576751708984,2018-10-02
86.76106262207031,2018-10-03
86.81229400634766,2018-10-04
87.887939453125,2018-10-05
89.12580871582031,2018-10-08
87.05132293701172,2018-10-09
88.3916244506836,2018-10-10
87.2220687866211,2018-10-11
88.06722259521484,2018-10-12
88.72456359863281,2018-10-15
89.9709701538086,2018-10-16
88.61358642578125,2018-10-17
87.84526824951172,2018-10-18
89.6209487915039,2018-10-19
89.39047241210938,2018-10-22
90.3721923828125,2018-10-23
91.56737518310547,2018-10-24
90.94416809082031,2018-10-25
89.94535064697266,2018-10-26
91.95153045654297,2018-10-29
93.56501770019531,2018-10-30
92.4722900390625,2018-10-31
93.68453979492188,2018-11-01
90.2270736694336,2018-11-02
92.18203735351562,2018-11-05
93.83820343017578,2018-11-06
94.58092498779297,2018-11-07
94.69189453125,2018-11-08
96.3651351928711,2018-11-09
97.49200439453125,2018-11-12
97.1761474609375,2018-11-13
97.27005767822266,2018-11-14
97.14104461669922,2018-11-15
97.2442626953125,2018-11-16
96.2035140991211,2018-11-19
96.57334899902344,2018-11-20
94.60370635986328,2018-11-21
95.22298431396484,2018-11-23
93.76080322265625,2018-11-26
93.90702819824219,2018-11-27
87.11213684082031,2018-11-28
88.969970703125,2018-11-29
89.89029693603516,2018-11-30
88.81515502929688,2018-12-03
87.93785095214844,2018-12-04
86.72508239746094,2018-12-06
84.43719482421875,2018-12-07
85.28870391845703,2018-12-10
86.76808166503906,2018-12-11
87.45616912841797,2018-12-12
89.25379943847656,2018-12-13
87.65400695800781,2018-12-14
85.15106964111328,2018-12-17
83.72329711914062,2018-12-18
83.3448486328125,2018-12-19
82.0718765258789,2018-12-20
82.65674591064453,2018-12-21
80.12801361083984,2018-12-24
81.52140045166016,2018-12-26
81.18595886230469,2018-12-27
80.77311706542969,2018-12-28
80.41185760498047,2018-12-31
80.7472915649414,2019-01-02
81.35798645019531,2019-01-03
82.467529296875,2019-01-04
83.57707977294922,2019-01-07
85.73595428466797,2019-01-08
85.73595428466797,2019-01-09
87.28416442871094,2019-01-10
87.89482879638672,2019-01-11
88.27328491210938,2019-01-14
88.73774719238281,2019-01-15
88.78936004638672,2019-01-16
89.60645294189453,2019-01-17
90.13114166259766,2019-01-18
90.30315399169922,2019-01-22
89.61507415771484,2019-01-23
87.53357696533203,2019-01-24
87.249755859375,2019-01-25
88.47970581054688,2019-01-28
88.80654907226562,2019-01-29
89.00437927246094,2019-01-30
90.20852661132812,2019-01-31
89.305419921875,2019-02-01
90.26014709472656,2019-02-04
90.6300048828125,2019-02-05
90.53538513183594,2019-02-06
89.305419921875,2019-02-07
89.1162109375,2019-02-08
88.88395690917969,2019-02-11
89.76128387451172,2019-02-12
89.21941375732422,2019-02-13
88.0573501586914,2019-02-14
89.65301513671875,2019-02-15
90.19937133789062,2019-02-19
92.74032592773438,2019-02-20
92.59288024902344,2019-02-21
87.9532699584961,2019-02-22
87.64107513427734,2019-02-25
92.00316619873047,2019-02-26
93.28667449951172,2019-02-27
91.84707641601562,2019-02-28
91.42212677001953,2019-03-01
88.92455291748047,2019-03-04
88.525634765625,2019-03-05
89.67903900146484,2019-03-06
89.00260162353516,2019-03-07
88.88118743896484,2019-03-08
89.43621063232422,2019-03-11
89.15003204345703,2019-03-12
89.54895782470703,2019-03-13
90.06060028076172,2019-03-14
91.5608901977539,2019-03-15
92.80968475341797,2019-03-18
92.71430969238281,2019-03-19
92.85305786132812,2019-03-20
96.77288055419922,2019-03-21
99.123046875,2019-03-22
100.53662109375,2019-03-25
100.34581756591797,2019-03-26
99.64337158203125,2019-03-27
100.64068603515625,2019-03-28
101.03092193603516,2019-03-29
100.36317443847656,2019-04-01
100.64068603515625,2019-04-02
100.02493286132812,2019-04-03
100.3284683227539,2019-04-04
101.06561279296875,2019-04-05
102.31439971923828,2019-04-08
103.61522674560547,2019-04-09
103.2596664428711,2019-04-10
103.5978775024414,2019-04-11
102.62660217285156,2019-04-12
103.35506439208984,2019-04-15
103.13825225830078,2019-04-16
103.42442321777344,2019-04-17
104.67323303222656,2019-04-18
105.12419891357422,2019-04-22
105.55780029296875,2019-04-23
106.11282348632812,2019-04-24
105.12419891357422,2019-04-25
106.4857177734375,2019-04-26
105.8526611328125,2019-04-29
106.34696960449219,2019-04-30
106.2515640258789,2019-05-01
106.60713958740234,2019-05-02
