F,Date
0.26760226488113403,1973-02-13
0.2610297203063965,1973-02-14
0.25680431723594666,1973-02-15
0.2624381184577942,1973-02-16
0.2638465166091919,1973-02-20
0.2610297203063965,1973-02-21
0.26009055972099304,1973-02-22
0.25351792573928833,1973-02-23
0.2507009208202362,1973-02-26
0.24647583067417145,1973-02-27
0.24788419902324677,1973-02-28
0.24553681910037994,1973-03-01
0.2497621327638626,1973-03-02
0.24694542586803436,1973-03-05
0.2497621327638626,1973-03-06
0.2521095871925354,1973-03-07
0.2483537346124649,1973-03-08
0.2474149465560913,1973-03-09
0.24553681910037994,1973-03-12
0.24600626528263092,1973-03-13
0.24506741762161255,1973-03-14
0.24365906417369843,1973-03-15
0.2422505021095276,1973-03-16
0.23661668598651886,1973-03-19
0.23708635568618774,1973-03-20
