AM,Date
7.530124664306641,2018-12-14
7.156819820404053,2018-12-17
6.820843696594238,2018-12-18
6.81550931930542,2018-12-19
6.287547588348389,2018-12-20
5.946238994598389,2018-12-21
5.615596294403076,2018-12-24
5.96757173538208,2018-12-26
5.823582172393799,2018-12-27
5.898244380950928,2018-12-28
5.962240219116211,2018-12-31
6.074230670928955,2019-01-02
6.239552021026611,2019-01-03
6.719517230987549,2019-01-04
6.938168525695801,2019-01-07
7.114157676696777,2019-01-08
6.884837627410889,2019-01-09
6.708851337432861,2019-01-10
6.532865047454834,2019-01-11
6.420870780944824,2019-01-14
6.4955339431762695,2019-01-15
6.575527191162109,2019-01-16
6.7141852378845215,2019-01-17
6.794177055358887,2019-01-18
6.676855087280273,2019-01-22
6.6661882400512695,2019-01-23
6.831510543823242,2019-01-24
6.996830940246582,2019-01-25
7.130154609680176,2019-01-28
7.226147651672363,2019-01-29
7.386136531829834,2019-01-30
7.242580413818359,2019-01-31
7.237183094024658,2019-02-01
7.372105598449707,2019-02-04
7.4260735511779785,2019-02-05
7.3667073249816895,2019-02-06
7.015911102294922,2019-02-07
6.934959411621094,2019-02-08
6.983530521392822,2019-02-11
7.19940710067749,2019-02-12
7.134642601013184,2019-02-13
7.307342052459717,2019-02-14
7.517821788787842,2019-02-15
7.722901344299316,2019-02-19
7.593376636505127,2019-02-20
7.490836143493652,2019-02-21
7.3181376457214355,2019-02-22
7.285754680633545,2019-02-25
7.167024612426758,2019-02-26
7.0428972244262695,2019-02-27
6.891784191131592,2019-02-28
6.880990028381348,2019-03-01
6.827023029327393,2019-03-04
6.810831546783447,2019-03-05
6.7622599601745605,2019-03-06
6.7406721115112305,2019-03-07
6.535592555999756,2019-03-08
6.665117263793945,2019-03-11
6.767655849456787,2019-03-12
6.60035514831543,2019-03-13
7.064485549926758,2019-03-14
7.091468811035156,2019-03-15
7.3667073249816895,2019-03-18
7.44766092300415,2019-03-19
7.377501487731934,2019-03-20
7.285754680633545,2019-03-21
7.1778178215026855,2019-03-22
7.183215618133545,2019-03-25
7.150834083557129,2019-03-26
7.194009304046631,2019-03-27
7.274959564208984,2019-03-28
7.4368672370910645,2019-03-29
7.722901344299316,2019-04-01
7.59877347946167,2019-04-02
7.587980270385742,2019-04-03
7.512423992156982,2019-04-04
7.647344589233398,2019-04-05
7.690518379211426,2019-04-08
7.517821788787842,2019-04-09
7.415279865264893,2019-04-10
7.5717902183532715,2019-04-11
7.70131254196167,2019-04-12
7.641947269439697,2019-04-15
7.62575626373291,2019-04-16
7.4368672370910645,2019-04-17
7.3667073249816895,2019-04-18
7.296550273895264,2019-04-22
7.285754680633545,2019-04-23
7.210198879241943,2019-04-24
7.051714897155762,2019-04-25
6.990972518920898,2019-04-26
6.9467949867248535,2019-04-29
6.742478370666504,2019-04-30
6.643078327178955,2019-05-01
6.786654472351074,2019-05-02
6.736954689025879,2019-05-03
6.6651692390441895,2019-05-06
6.808742046356201,2019-05-07
6.770088195800781,2019-05-08
6.759044170379639,2019-05-09
7.173200607299805,2019-05-10
7.0738043785095215,2019-05-13
7.16215705871582,2019-05-14
7.366474151611328,2019-05-15
7.49900484085083,2019-05-16
7.360953330993652,2019-05-17
7.34990930557251,2019-05-20
7.327820301055908,2019-05-21
7.421693801879883,2019-05-22
7.2008137702941895,2019-05-23
7.129024028778076,2019-05-24
6.9633612632751465,2019-05-28
6.85291862487793,2019-05-29
6.781131267547607,2019-05-30
6.74799919128418,2019-05-31
6.847395896911621,2019-06-03
7.018583297729492,2019-06-04
7.018583297729492,2019-06-05
7.051714897155762,2019-06-06
7.0738043785095215,2019-06-07
7.046193599700928,2019-06-10
7.018583297729492,2019-06-11
6.692779064178467,2019-06-12
6.742478370666504,2019-06-13
6.389063835144043,2019-06-14
6.488462448120117,2019-06-17
6.587859630584717,2019-06-18
6.444283485412598,2019-06-19
6.493982791900635,2019-06-20
6.466372489929199,2019-06-21
6.245490074157715,2019-06-24
6.074304580688477,2019-06-25
6.146091938018799,2019-06-26
6.239966869354248,2019-06-27
6.3283209800720215,2019-06-28
6.466372489929199,2019-07-01
6.400108337402344,2019-07-02
6.521594047546387,2019-07-03
6.58233642578125,2019-07-05
6.5381598472595215,2019-07-08
6.60994815826416,2019-07-09
6.676213264465332,2019-07-10
6.648601055145264,2019-07-11
6.455328941345215,2019-07-12
6.372497081756592,2019-07-15
6.273099422454834,2019-07-16
6.190268516540527,2019-07-17
6.085348129272461,2019-07-18
6.063258647918701,2019-07-19
6.157135486602783,2019-07-22
6.063258647918701,2019-07-23
6.140568733215332,2019-07-24
5.917936325073242,2019-07-25
5.3670334815979,2019-07-26
4.997873783111572,2019-07-29
5.13417911529541,2019-07-30
5.179614543914795,2019-07-31
4.787735939025879,2019-08-01
4.730942249298096,2019-08-02
4.492406845092773,2019-08-05
4.429933547973633,2019-08-06
4.435613632202148,2019-08-07
4.356101989746094,2019-08-08
4.1175665855407715,2019-08-09
4.003978252410889,2019-08-12
4.100528240203857,2019-08-13
3.918787717819214,2019-08-14
4.1686811447143555,2019-08-15
4.270909786224365,2019-08-16
4.395856857299805,2019-08-19
4.401535987854004,2019-08-20
4.333383560180664,2019-08-21
4.236833572387695,2019-08-22
4.089168548583984,2019-08-23
4.026695728302002,2019-08-26
3.8619930744171143,2019-08-27
3.9471850395202637,2019-08-28
4.089168548583984,2019-08-29
4.038055419921875,2019-08-30
3.9471850395202637,2019-09-03
4.094849109649658,2019-09-04
4.06077241897583,2019-09-05
3.7938404083251953,2019-09-06
4.111887454986572,2019-09-09
4.094849109649658,2019-09-10
