INVH,Date
18.467966079711914,2018-11-20
18.57491683959961,2018-11-21
18.566009521484375,2018-11-23
18.672964096069336,2018-11-26
18.949275970458984,2018-11-27
19.181013107299805,2018-11-28
19.065143585205078,2018-11-29
19.12753677368164,2018-11-30
19.172100067138672,2018-12-03
18.931447982788086,2018-12-04
19.475149154663086,2018-12-06
19.41275405883789,2018-12-07
19.35036277770996,2018-12-10
19.2701416015625,2018-12-11
18.94036102294922,2018-12-12
19.154272079467773,2018-12-13
19.047319412231445,2018-12-14
18.49470329284668,2018-12-17
18.59274673461914,2018-12-18
18.39666175842285,2018-12-19
18.1827449798584,2018-12-20
17.870784759521484,2018-12-21
17.309263229370117,2018-12-24
17.861867904663086,2018-12-26
17.933181762695312,2018-12-27
17.83513641357422,2018-12-28
17.897525787353516,2018-12-31
17.55883026123047,2019-01-02
17.674697875976562,2019-01-03
17.746002197265625,2019-01-04
17.64795684814453,2019-01-07
17.986658096313477,2019-01-08
17.879701614379883,2019-01-09
18.1203556060791,2019-01-10
18.298614501953125,2019-01-11
18.1827449798584,2019-01-14
18.27187728881836,2019-01-15
18.49470329284668,2019-01-16
18.913618087768555,2019-01-17
18.94036102294922,2019-01-18
18.788837432861328,2019-01-22
18.806659698486328,2019-01-23
18.869054794311523,2019-01-24
19.261234283447266,2019-01-25
19.56427764892578,2019-01-28
19.849498748779297,2019-01-29
19.89406394958496,2019-01-30
20.045583724975586,2019-01-31
20.090150833129883,2019-02-01
20.428850173950195,2019-02-04
20.437763214111328,2019-02-05
20.05449676513672,2019-02-06
20.152545928955078,2019-02-07
20.339719772338867,2019-02-08
20.428850173950195,2019-02-11
20.48263168334961,2019-02-12
20.554346084594727,2019-02-13
20.392990112304688,2019-02-14
21.083221435546875,2019-02-15
21.181821823120117,2019-02-19
20.823266983032227,2019-02-20
20.814300537109375,2019-02-21
20.661911010742188,2019-02-22
20.617090225219727,2019-02-25
20.652952194213867,2019-02-26
20.670873641967773,2019-02-27
20.617090225219727,2019-02-28
20.428848266601562,2019-03-01
20.778444290161133,2019-03-04
20.859121322631836,2019-03-05
20.930828094482422,2019-03-06
20.921863555908203,2019-03-07
21.011505126953125,2019-03-08
21.09218406677246,2019-03-11
21.083221435546875,2019-03-12
21.19974708557129,2019-03-13
21.387990951538086,2019-03-14
21.379030227661133,2019-03-15
21.101150512695312,2019-03-18
20.886014938354492,2019-03-19
20.886014938354492,2019-03-20
21.379030227661133,2019-03-21
21.531417846679688,2019-03-22
21.576236724853516,2019-03-25
21.809295654296875,2019-03-26
21.647945404052734,2019-03-27
21.674842834472656,2019-03-28
21.809295654296875,2019-03-29
21.809295654296875,2019-04-01
21.881010055541992,2019-04-02
21.943754196166992,2019-04-03
21.90790367126465,2019-04-04
21.97064971923828,2019-04-05
21.83619499206543,2019-04-08
21.576236724853516,2019-04-09
21.73758316040039,2019-04-10
21.961688995361328,2019-04-11
22.302316665649414,2019-04-12
22.356103897094727,2019-04-15
21.83619499206543,2019-04-16
21.656906127929688,2019-04-17
21.863080978393555,2019-04-18
21.504518508911133,2019-04-22
21.76447868347168,2019-04-23
22.08717918395996,2019-04-24
22.203710556030273,2019-04-25
22.409883499145508,2019-04-26
22.17681884765625,2019-04-29
22.28438377380371,2019-04-30
22.21268081665039,2019-05-01
22.19474983215332,2019-05-02
22.311275482177734,2019-05-03
22.275426864624023,2019-05-06
22.060293197631836,2019-05-07
21.90790367126465,2019-05-08
22.123035430908203,2019-05-09
22.436779022216797,2019-05-10
22.266460418701172,2019-05-13
22.311513900756836,2019-05-14
22.500743865966797,2019-05-15
22.8071231842041,2019-05-16
22.843170166015625,2019-05-17
22.644922256469727,2019-05-20
22.924274444580078,2019-05-21
22.915260314941406,2019-05-22
23.005373001098633,2019-05-23
23.221637725830078,2019-05-24
22.897235870361328,2019-05-28
22.771081924438477,2019-05-29
22.90625,2019-05-30
23.095478057861328,2019-05-31
23.248666763305664,2019-06-03
23.509992599487305,2019-06-04
23.717247009277344,2019-06-05
23.96055030822754,2019-06-06
24.014616012573242,2019-06-07
24.140769958496094,2019-06-10
24.27593994140625,2019-06-11
24.30296516418457,2019-06-12
24.41110610961914,2019-06-13
24.609352111816406,2019-06-14
24.762537002563477,2019-06-17
24.789573669433594,2019-06-18
25.00583839416504,2019-06-19
24.94275665283203,2019-06-20
24.46516990661621,2019-06-21
