MU,Date
42.133296966552734,2019-04-08
40.974388122558594,2019-04-09
41.41634750366211,2019-04-10
41.524383544921875,2019-04-11
41.25920104980469,2019-04-12
41.07259750366211,2019-04-15
41.99579620361328,2019-04-16
42.37883758544922,2019-04-17
42.624366760253906,2019-04-18
42.624366760253906,2019-04-22
42.0056266784668,2019-04-23
42.26097106933594,2019-04-24
41.985984802246094,2019-04-25
41.347591400146484,2019-04-26
41.357421875,2019-04-29
41.30830764770508,2019-04-30
41.15117263793945,2019-05-01
41.799381256103516,2019-05-02
42.55561065673828,2019-05-03
41.37706756591797,2019-05-06
39.54047775268555,2019-05-07
39.03959274291992,2019-05-08
38.568172454833984,2019-05-09
38.24406814575195,2019-05-10
36.71194839477539,2019-05-13
37.82175064086914,2019-05-14
37.723541259765625,2019-05-15
36.64320373535156,2019-05-16
35.41554641723633,2019-05-17
34.00127029418945,2019-05-20
35.00304412841797,2019-05-21
34.109310150146484,2019-05-22
33.215572357177734,2019-05-23
33.392356872558594,2019-05-24
32.35130310058594,2019-05-28
32.695045471191406,2019-05-29
32.72451400756836,2019-05-30
32.027198791503906,2019-05-31
32.105770111083984,2019-06-03
33.873600006103516,2019-06-04
32.74414825439453,2019-06-05
32.8718376159668,2019-06-06
33.382537841796875,2019-06-07
34.3155517578125,2019-06-10
34.217350006103516,2019-06-11
32.370948791503906,2019-06-12
32.7834358215332,2019-06-13
32.07631301879883,2019-06-14
31.850421905517578,2019-06-17
33.67717361450195,2019-06-18
33.33342742919922,2019-06-19
33.53968048095703,2019-06-20
32.655757904052734,2019-06-21
32.59683609008789,2019-06-24
32.095951080322266,2019-06-25
36.378028869628906,2019-06-26
37.38962173461914,2019-06-27
37.900325775146484,2019-06-28
39.39315414428711,2019-07-01
38.89227294921875,2019-07-02
38.88245391845703,2019-07-03
38.715492248535156,2019-07-05
39.68779754638672,2019-07-08
40.611000061035156,2019-07-09
42.133296966552734,2019-07-10
42.70293045043945,2019-07-11
43.71452713012695,2019-07-12
43.60649108886719,2019-07-15
42.29044723510742,2019-07-16
42.59490203857422,2019-07-17
43.871665954589844,2019-07-18
44.70647430419922,2019-07-19
46.34663009643555,2019-07-22
46.11091613769531,2019-07-23
47.132328033447266,2019-07-24
46.91626739501953,2019-07-25
46.64126968383789,2019-07-26
45.983238220214844,2019-07-29
46.61180877685547,2019-07-30
44.087730407714844,2019-07-31
42.82079315185547,2019-08-01
43.29221725463867,2019-08-02
41.190460205078125,2019-08-05
41.85830307006836,2019-08-06
41.003849029541016,2019-08-07
41.86812210083008,2019-08-08
40.77796173095703,2019-08-09
41.37706756591797,2019-08-12
43.38059997558594,2019-08-13
41.288665771484375,2019-08-14
41.48509216308594,2019-08-15
42.77168273925781,2019-08-16
44.205589294433594,2019-08-19
43.43952941894531,2019-08-20
43.38059997558594,2019-08-21
43.979698181152344,2019-08-22
42.192222595214844,2019-08-23
42.6538200378418,2019-08-26
41.6815185546875,2019-08-27
42.37883758544922,2019-08-28
43.871665954589844,2019-08-29
44.46094512939453,2019-08-30
44.18595504760742,2019-09-03
45.97342300415039,2019-09-04
48.15373992919922,2019-09-05
48.09481430053711,2019-09-06
48.2519645690918,2019-09-09
48.50730895996094,2019-09-10
49.57783126831055,2019-09-11
49.538543701171875,2019-09-12
49.597476959228516,2019-09-13
49.25373077392578,2019-09-16
49.931400299072266,2019-09-17
49.57783126831055,2019-09-18
48.929630279541016,2019-09-19
48.28142547607422,2019-09-20
48.713558197021484,2019-09-23
47.64303207397461,2019-09-24
48.585880279541016,2019-09-25
47.73142623901367,2019-09-26
42.4377555847168,2019-09-27
42.08419418334961,2019-09-30
41.54402160644531,2019-10-01
41.229740142822266,2019-10-02
42.68328857421875,2019-10-03
43.753807067871094,2019-10-04
43.37078094482422,2019-10-07
41.8779411315918,2019-10-08
42.1136589050293,2019-10-09
42.506507873535156,2019-10-10
44.29397964477539,2019-10-11
44.05827713012695,2019-10-14
45.629676818847656,2019-10-15
44.352909088134766,2019-10-16
44.68683624267578,2019-10-17
42.693111419677734,2019-10-18
44.411842346191406,2019-10-21
43.861839294433594,2019-10-22
43.861839294433594,2019-10-23
46.258235931396484,2019-10-24
47.1716194152832,2019-10-25
47.819820404052734,2019-10-28
47.25019073486328,2019-10-29
47.024295806884766,2019-10-30
46.70020294189453,2019-10-31
47.51536178588867,2019-11-01
48.7037353515625,2019-11-04
47.810001373291016,2019-11-05
46.8278694152832,2019-11-06
47.535011291503906,2019-11-07
46.34663009643555,2019-11-08
45.43324661254883,2019-11-11
46.06181335449219,2019-11-12
45.4725341796875,2019-11-13
45.96359634399414,2019-11-14
46.85733413696289,2019-11-15
46.96536636352539,2019-11-18
45.74753189086914,2019-11-19
44.75558090209961,2019-11-20
44.735939025878906,2019-11-21
45.05021667480469,2019-11-22
46.67072677612305,2019-11-25
45.88502883911133,2019-11-26
47.29928970336914,2019-11-27
46.660911560058594,2019-11-29
45.5609245300293,2019-12-02
44.421661376953125,2019-12-03
45.4725341796875,2019-12-04
45.78681564331055,2019-12-05
47.07340621948242,2019-12-06
45.619850158691406,2019-12-09
46.61180877685547,2019-12-10
48.379634857177734,2019-12-11
50.059078216552734,2019-12-12
50.28496551513672,2019-12-13
51.99386215209961,2019-12-16
52.052791595458984,2019-12-17
52.09207534790039,2019-12-18
53.55544662475586,2019-12-19
54.07597732543945,2019-12-20
54.4099006652832,2019-12-23
54.42953872680664,2019-12-24
54.12508010864258,2019-12-26
53.06438446044922,2019-12-27
52.2590446472168,2019-12-30
52.81885528564453,2019-12-31
54.40007400512695,2020-01-02
53.55544662475586,2020-01-03
52.612606048583984,2020-01-06
57.22861099243164,2020-01-07
56.49201202392578,2020-01-08
56.285770416259766,2020-01-09
55.657203674316406,2020-01-10
56.42327117919922,2020-01-13
56.49201202392578,2020-01-14
55.166133880615234,2020-01-15
56.64915466308594,2020-01-16
56.629512786865234,2020-01-17
57.916099548339844,2020-01-21
58.112525939941406,2020-01-22
58.14198684692383,2020-01-23
56.727725982666016,2020-01-24
54.41972732543945,2020-01-27
55.460777282714844,2020-01-28
54.31168746948242,2020-01-29
54.046512603759766,2020-01-30
52.14118194580078,2020-01-31
52.81885528564453,2020-02-03
54.50811767578125,2020-02-04
55.75541687011719,2020-02-05
57.631282806396484,2020-02-06
55.86345291137695,2020-02-07
56.30541229248047,2020-02-10
56.226837158203125,2020-02-11
58.21073532104492,2020-02-12
58.26966094970703,2020-02-13
57.454498291015625,2020-02-14
56.71790313720703,2020-02-18
58.917869567871094,2020-02-19
57.9455680847168,2020-02-20
55.97148513793945,2020-02-21
54.02687454223633,2020-02-24
51.168880462646484,2020-02-25
51.434051513671875,2020-02-26
49.676048278808594,2020-02-27
51.62065887451172,2020-02-28
53.614376068115234,2020-03-02
50.874237060546875,2020-03-03
54.30187225341797,2020-03-04
52.759925842285156,2020-03-05
50.550140380859375,2020-03-06
45.1484375,2020-03-09
47.00464630126953,2020-03-10
42.938636779785156,2020-03-11
38.116397857666016,2020-03-12
42.2216911315918,2020-03-13
33.85395812988281,2020-03-16
36.71194839477539,2020-03-17
34.07002639770508,2020-03-18
35.64142990112305,2020-03-19
35.46464920043945,2020-03-20
37.56640625,2020-03-23
42.49668502807617,2020-03-24
41.74045181274414,2020-03-25
43.98951721191406,2020-03-26
42.70293045043945,2020-03-27
43.724342346191406,2020-03-30
41.30830764770508,2020-03-31
39.17708969116211,2020-04-01
40.35565185546875,2020-04-02
