URBN,Date
1.1328129768371582,1995-06-02
1.1875,1995-06-05
1.2890629768371582,1995-06-06
1.328125,1995-06-07
1.3125,1995-06-08
1.3125,1995-06-09
1.40625,1995-06-12
1.4375,1995-06-13
1.4375,1995-06-14
1.421875,1995-06-15
1.453125,1995-06-16
1.4296879768371582,1995-06-19
1.4453129768371582,1995-06-20
1.421875,1995-06-21
1.46875,1995-06-22
1.453125,1995-06-23
1.375,1995-06-26
1.378906011581421,1995-06-27
1.390625,1995-06-28
1.390625,1995-06-29
1.359375,1995-06-30
1.375,1995-07-03
1.34375,1995-07-05
1.328125,1995-07-06
1.34375,1995-07-07
1.359375,1995-07-10
1.390625,1995-07-11
1.390625,1995-07-12
1.390625,1995-07-13
1.34375,1995-07-14
1.3515629768371582,1995-07-17
1.375,1995-07-18
1.328125,1995-07-19
1.359375,1995-07-20
1.3125,1995-07-21
1.28125,1995-07-24
1.3359379768371582,1995-07-25
1.296875,1995-07-26
1.34375,1995-07-27
1.34375,1995-07-28
1.328125,1995-07-31
1.328125,1995-08-01
1.375,1995-08-02
1.34375,1995-08-03
1.328125,1995-08-04
1.3359379768371582,1995-08-07
1.3359379768371582,1995-08-08
1.3359379768371582,1995-08-09
1.328125,1995-08-10
1.34375,1995-08-11
1.328125,1995-08-14
1.328125,1995-08-15
1.332031011581421,1995-08-16
1.34375,1995-08-17
1.3515629768371582,1995-08-18
1.390625,1995-08-21
1.390625,1995-08-22
1.296875,1995-08-23
1.34375,1995-08-24
1.359375,1995-08-25
1.375,1995-08-28
1.3515629768371582,1995-08-29
1.328125,1995-08-30
1.328125,1995-08-31
1.375,1995-09-01
1.3515629768371582,1995-09-05
1.46875,1995-09-06
1.484375,1995-09-07
1.5,1995-09-08
1.5,1995-09-11
1.484375,1995-09-12
1.515625,1995-09-13
1.53125,1995-09-14
1.53125,1995-09-15
1.5625,1995-09-18
1.5703129768371582,1995-09-19
1.5703129768371582,1995-09-20
1.5625,1995-09-21
1.59375,1995-09-22
1.578125,1995-09-25
1.578125,1995-09-26
1.5,1995-09-27
1.5703129768371582,1995-09-28
1.59375,1995-09-29
1.609375,1995-10-02
1.609375,1995-10-03
1.625,1995-10-04
1.625,1995-10-05
1.609375,1995-10-06
1.578125,1995-10-09
1.546875,1995-10-10
1.5625,1995-10-11
1.546875,1995-10-12
1.5625,1995-10-13
1.53125,1995-10-16
1.5546879768371582,1995-10-17
1.515625,1995-10-18
1.546875,1995-10-19
1.546875,1995-10-20
1.4765629768371582,1995-10-23
1.453125,1995-10-24
1.40625,1995-10-25
1.4140629768371582,1995-10-26
1.375,1995-10-27
1.375,1995-10-30
1.359375,1995-10-31
1.265625,1995-11-01
1.34375,1995-11-02
1.40625,1995-11-03
1.40625,1995-11-06
1.46875,1995-11-07
1.4375,1995-11-08
1.453125,1995-11-09
1.421875,1995-11-10
1.5,1995-11-13
1.453125,1995-11-14
1.515625,1995-11-15
1.546875,1995-11-16
1.515625,1995-11-17
1.484375,1995-11-20
1.46875,1995-11-21
1.4375,1995-11-22
1.40625,1995-11-24
1.3046879768371582,1995-11-27
1.4140629768371582,1995-11-28
1.390625,1995-11-29
1.4375,1995-11-30
1.375,1995-12-01
1.390625,1995-12-04
1.296875,1995-12-05
1.296875,1995-12-06
1.34375,1995-12-07
1.3125,1995-12-08
1.3359379768371582,1995-12-11
1.3359379768371582,1995-12-12
1.3203129768371582,1995-12-13
1.3984379768371582,1995-12-14
1.390625,1995-12-15
1.4375,1995-12-18
1.394531011581421,1995-12-19
1.40625,1995-12-20
1.421875,1995-12-21
1.433593988418579,1995-12-22
1.4296879768371582,1995-12-26
1.46875,1995-12-27
1.4765629768371582,1995-12-28
1.453125,1995-12-29
1.46875,1996-01-02
1.4453129768371582,1996-01-03
1.4453129768371582,1996-01-04
1.4765629768371582,1996-01-05
1.453125,1996-01-08
1.5,1996-01-09
1.441406011581421,1996-01-10
1.4375,1996-01-11
1.4375,1996-01-12
1.40625,1996-01-15
1.40625,1996-01-16
1.46875,1996-01-17
1.5234379768371582,1996-01-18
1.515625,1996-01-19
1.5,1996-01-22
1.59375,1996-01-23
1.578125,1996-01-24
1.5703129768371582,1996-01-25
1.5625,1996-01-26
1.5625,1996-01-29
1.53125,1996-01-30
1.5390629768371582,1996-01-31
1.546875,1996-02-01
1.5625,1996-02-02
1.546875,1996-02-05
1.515625,1996-02-06
1.515625,1996-02-07
1.5234379768371582,1996-02-08
1.515625,1996-02-09
1.515625,1996-02-12
1.5,1996-02-13
1.53125,1996-02-14
1.5625,1996-02-15
1.53125,1996-02-16
1.5546879768371582,1996-02-20
1.53125,1996-02-21
1.5625,1996-02-22
1.59375,1996-02-23
1.5625,1996-02-26
1.6015629768371582,1996-02-27
1.5625,1996-02-28
1.5625,1996-02-29
1.5625,1996-03-01
1.578125,1996-03-04
1.640625,1996-03-05
1.734375,1996-03-06
1.734375,1996-03-07
1.796875,1996-03-08
1.777343988418579,1996-03-11
1.8203129768371582,1996-03-12
1.796875,1996-03-13
1.8046879768371582,1996-03-14
1.828125,1996-03-15
1.875,1996-03-18
1.875,1996-03-19
1.8828129768371582,1996-03-20
1.828125,1996-03-21
1.765625,1996-03-22
1.765625,1996-03-25
1.8125,1996-03-26
1.8671879768371582,1996-03-27
1.890625,1996-03-28
1.890625,1996-03-29
1.8828129768371582,1996-04-01
1.8984379768371582,1996-04-02
1.921875,1996-04-03
1.921875,1996-04-04
1.90625,1996-04-08
1.8984379768371582,1996-04-09
