WBA,Date
0.15720847249031067,1980-11-21
0.1538429856300354,1980-11-24
0.1538429856300354,1980-11-25
0.15576595067977905,1980-11-26
0.1538429856300354,1980-11-28
0.1548045426607132,1980-12-01
0.15432408452033997,1980-12-02
0.1548045426607132,1980-12-03
0.15865083038806915,1980-12-04
0.15576595067977905,1980-12-05
0.15143921971321106,1980-12-08
0.14999724924564362,1980-12-09
0.15047769248485565,1980-12-10
0.14903530478477478,1980-12-11
0.1475934088230133,1980-12-12
0.1471123844385147,1980-12-15
0.14566993713378906,1980-12-16
0.14807389676570892,1980-12-17
0.1451895385980606,1980-12-18
0.1442279815673828,1980-12-19
0.14566993713378906,1980-12-22
0.14615091681480408,1980-12-23
0.14855484664440155,1980-12-24
0.14951631426811218,1980-12-26
0.14903530478477478,1980-12-29
