AMT,Date
31.694618225097656,2000-04-14
32.72975540161133,2000-04-17
34.50424575805664,2000-04-18
35.53939437866211,2000-04-19
35.68726348876953,2000-04-20
33.86344909667969,2000-04-24
33.912757873535156,2000-04-25
35.29292297363281,2000-04-26
34.9478759765625,2000-04-27
36.72239303588867,2000-04-28
36.574520111083984,2000-05-01
36.032310485839844,2000-05-02
33.66630172729492,2000-05-03
34.15921401977539,2000-05-04
35.68726348876953,2000-05-05
35.58867263793945,2000-05-08
34.50424575805664,2000-05-09
32.28612518310547,2000-05-10
31.891794204711914,2000-05-11
32.97621536254883,2000-05-12
32.33541488647461,2000-05-15
34.553550720214844,2000-05-16
35.34220886230469,2000-05-17
34.898582458496094,2000-05-18
33.912757873535156,2000-05-19
32.384708404541016,2000-05-22
30.955238342285156,2000-05-23
30.41303062438965,2000-05-24
31.39886474609375,2000-05-25
30.905954360961914,2000-05-26
29.72295379638672,2000-05-30
29.27933692932129,2000-05-31
30.462322235107422,2000-06-01
32.63118362426758,2000-06-02
34.356388092041016,2000-06-05
34.307090759277344,2000-06-06
33.46914291381836,2000-06-07
32.97621536254883,2000-06-08
32.92692565917969,2000-06-09
32.33541488647461,2000-06-12
32.08895492553711,2000-06-13
32.483299255371094,2000-06-14
33.124088287353516,2000-06-15
33.074790954589844,2000-06-16
32.58187484741211,2000-06-19
32.828330993652344,2000-06-20
33.5184211730957,2000-06-21
32.5325813293457,2000-06-22
32.33541488647461,2000-06-23
32.384708404541016,2000-06-26
32.236846923828125,2000-06-27
32.236846923828125,2000-06-28
32.483299255371094,2000-06-29
32.877628326416016,2000-06-30
33.124088287353516,2000-07-03
33.173377990722656,2000-07-05
33.61698913574219,2000-07-06
34.50424575805664,2000-07-07
36.673099517822266,2000-07-10
36.27875900268555,2000-07-11
37.41246032714844,2000-07-12
36.673099517822266,2000-07-13
36.08159637451172,2000-07-14
34.799991607666016,2000-07-17
35.09574508666992,2000-07-18
35.09574508666992,2000-07-19
35.58867263793945,2000-07-20
35.19435119628906,2000-07-21
36.574520111083984,2000-07-24
35.78583908081055,2000-07-25
35.19435119628906,2000-07-26
34.405677795410156,2000-07-27
32.97621536254883,2000-07-28
33.81417465209961,2000-07-31
33.86344909667969,2000-08-01
34.011348724365234,2000-08-02
34.2578010559082,2000-08-03
35.34220886230469,2000-08-04
34.997161865234375,2000-08-07
34.4549674987793,2000-08-08
34.356388092041016,2000-08-09
33.02549362182617,2000-08-10
33.02549362182617,2000-08-11
33.71559143066406,2000-08-14
33.912757873535156,2000-08-15
34.109920501708984,2000-08-16
33.56771469116211,2000-08-17
35.88443374633789,2000-08-18
35.39150619506836,2000-08-21
33.5184211730957,2000-08-22
34.356388092041016,2000-08-23
34.060638427734375,2000-08-24
34.15921401977539,2000-08-25
32.13824462890625,2000-08-28
32.33541488647461,2000-08-29
30.215877532958984,2000-08-30
28.68781852722168,2000-08-31
29.870832443237305,2000-09-01
28.884986877441406,2000-09-05
29.8215274810791,2000-09-06
29.72295379638672,2000-09-07
29.476491928100586,2000-09-08
29.377901077270508,2000-09-11
28.68781852722168,2000-09-12
28.09632682800293,2000-09-13
28.392070770263672,2000-09-14
27.75128746032715,2000-09-15
26.765451431274414,2000-09-18
26.814741134643555,2000-09-19
26.02606201171875,2000-09-20
24.152984619140625,2000-09-21
24.44873046875,2000-09-22
26.518985748291016,2000-09-25
26.02606201171875,2000-09-26
27.603408813476562,2000-09-27
29.0821590423584,2000-09-28
29.72295379638672,2000-09-29
29.67365837097168,2000-10-02
29.870832443237305,2000-10-03
29.77224349975586,2000-10-04
29.0821590423584,2000-10-05
27.603408813476562,2000-10-06
28.09632682800293,2000-10-09
28.786409378051758,2000-10-10
28.047025680541992,2000-10-11
27.455535888671875,2000-10-12
29.27933692932129,2000-10-13
30.36374855041504,2000-10-16
28.638532638549805,2000-10-17
26.814741134643555,2000-10-18
28.293489456176758,2000-10-19
28.293489456176758,2000-10-20
27.800567626953125,2000-10-23
27.554115295410156,2000-10-24
26.61756706237793,2000-10-25
25.237396240234375,2000-10-26
29.476491928100586,2000-10-27
30.758087158203125,2000-10-30
32.28612518310547,2000-10-31
32.33541488647461,2000-11-01
33.22269058227539,2000-11-02
33.02549362182617,2000-11-03
32.384708404541016,2000-11-06
30.955238342285156,2000-11-07
31.891794204711914,2000-11-08
30.856653213500977,2000-11-09
30.462322235107422,2000-11-10
29.180734634399414,2000-11-13
29.96940803527832,2000-11-14
32.18754196166992,2000-11-15
30.117290496826172,2000-11-16
28.539945602416992,2000-11-17
26.66685676574707,2000-11-20
26.02606201171875,2000-11-21
25.138818740844727,2000-11-22
26.420400619506836,2000-11-24
27.25836181640625,2000-11-27
25.138818740844727,2000-11-28
24.695186614990234,2000-11-29
23.758649826049805,2000-11-30
24.202272415161133,2000-12-01
23.955810546875,2000-12-04
27.40624237060547,2000-12-05
27.652700424194336,2000-12-06
26.420400619506836,2000-12-07
30.01870346069336,2000-12-08
30.5609188079834,2000-12-11
30.758087158203125,2000-12-12
29.624357223510742,2000-12-13
28.293489456176758,2000-12-14
28.194908142089844,2000-12-15
27.554115295410156,2000-12-18
26.568279266357422,2000-12-19
27.603408813476562,2000-12-20
26.61756706237793,2000-12-21
27.701988220214844,2000-12-22
28.14560890197754,2000-12-26
28.589242935180664,2000-12-27
29.427207946777344,2000-12-28
29.870832443237305,2000-12-29
28.589242935180664,2001-01-02
30.807371139526367,2001-01-03
31.20171356201172,2001-01-04
28.490659713745117,2001-01-05
28.44136619567871,2001-01-08
27.997751235961914,2001-01-09
29.32862091064453,2001-01-10
32.33541488647461,2001-01-11
31.54673957824707,2001-01-12
30.067989349365234,2001-01-16
30.955238342285156,2001-01-17
28.589242935180664,2001-01-18
28.3427791595459,2001-01-19
27.652700424194336,2001-01-22
28.539945602416992,2001-01-23
27.899147033691406,2001-01-24
28.490659713745117,2001-01-25
28.884986877441406,2001-01-26
28.510387420654297,2001-01-29
28.668115615844727,2001-01-30
28.5498104095459,2001-01-31
29.164976119995117,2001-02-01
27.863662719726562,2001-02-02
27.666505813598633,2001-02-05
28.5498104095459,2001-02-06
28.0687198638916,2001-02-07
27.216955184936523,2001-02-08
26.097047805786133,2001-02-09
25.970867156982422,2001-02-12
26.136478424072266,2001-02-13
25.98663330078125,2001-02-14
26.854167938232422,2001-02-15
26.02606201171875,2001-02-16
25.324153900146484,2001-02-20
25.395130157470703,2001-02-21
24.661666870117188,2001-02-22
23.36825180053711,2001-02-23
25.00079917907715,2001-02-26
23.02912712097168,2001-02-27
22.82406997680664,2001-02-28
21.88555335998535,2001-03-01
21.846120834350586,2001-03-02
21.767263412475586,2001-03-05
22.406078338623047,2001-03-06
22.003860473632812,2001-03-07
21.727819442749023,2001-03-08
20.876068115234375,2001-03-09
19.006916046142578,2001-03-12
17.894895553588867,2001-03-13
17.350711822509766,2001-03-14
17.185096740722656,2001-03-15
16.640911102294922,2001-03-16
16.71977424621582,2001-03-19
16.364877700805664,2001-03-20
16.0651798248291,2001-03-21
15.339603424072266,2001-03-22
15.891670227050781,2001-03-23
15.970538139343262,2001-03-26
16.956378936767578,2001-03-27
15.938990592956543,2001-03-28
15.18187427520752,2001-03-29
14.590367317199707,2001-03-30
14.519393920898438,2001-04-02
11.396262168884277,2001-04-03
11.443583488464355,2001-04-04
13.399483680725098,2001-04-05
11.790596961975098,2001-04-06
12.14549732208252,2001-04-09
13.407370567321777,2001-04-10
14.314338684082031,2001-04-11
16.199256896972656,2001-04-12
16.009979248046875,2001-04-16
18.21824836730957,2001-04-17
19.858680725097656,2001-04-18
20.702550888061523,2001-04-19
21.033794403076172,2001-04-20
19.645734786987305,2001-04-23
19.40125274658203,2001-04-24
19.566865921020508,2001-04-25
20.063737869262695,2001-04-26
20.10316276550293,2001-04-27
21.136323928833008,2001-04-30
21.712051391601562,2001-05-01
21.96442413330078,2001-05-02
21.82246208190918,2001-05-03
22.08272933959961,2001-05-04
22.08272933959961,2001-05-07
20.473840713500977,2001-05-08
20.032184600830078,2001-05-09
20.18202781677246,2001-05-10
19.874460220336914,2001-05-11
19.014806747436523,2001-05-14
18.86495590209961,2001-05-15
19.125215530395508,2001-05-16
20.90760612487793,2001-05-17
21.136323928833008,2001-05-18
20.899723052978516,2001-05-21
21.230960845947266,2001-05-22
20.48961067199707,2001-05-23
20.394969940185547,2001-05-24
20.3476505279541,2001-05-25
19.543203353881836,2001-05-29
18.336549758911133,2001-05-30
19.51165771484375,2001-05-31
19.756145477294922,2001-06-01
19.125215530395508,2001-06-04
19.330270767211914,2001-06-05
19.125215530395508,2001-06-06
19.32238006591797,2001-06-07
19.23563575744629,2001-06-08
18.849184036254883,2001-06-11
18.06051254272461,2001-06-12
17.879121780395508,2001-06-13
17.011581420898438,2001-06-14
16.491065979003906,2001-06-15
15.631415367126465,2001-06-18
14.976818084716797,2001-06-19
15.103004455566406,2001-06-20
14.472075462341309,2001-06-21
14.590367317199707,2001-06-22
14.393204689025879,2001-06-25
14.558822631835938,2001-06-26
14.763875007629395,2001-06-27
14.94527530670166,2001-06-28
16.30178451538086,2001-06-29
15.962652206420898,2001-07-02
15.852243423461914,2001-07-03
15.70238971710205,2001-07-05
14.527277946472168,2001-07-06
14.385313034057617,2001-07-09
13.998875617980957,2001-07-10
13.754384994506836,2001-07-11
