NSC,Date
47.19135665893555,2012-11-29
47.11333465576172,2012-11-30
46.372074127197266,2012-12-03
46.98068618774414,2012-12-04
48.057472229003906,2012-12-05
47.893611907958984,2012-12-06
47.99504852294922,2012-12-07
48.43981170654297,2012-12-10
48.026248931884766,2012-12-11
48.010643005371094,2012-12-12
47.78437423706055,2012-12-13
47.87800216674805,2012-12-14
48.08087921142578,2012-12-17
48.7207145690918,2012-12-18
48.49443054199219,2012-12-19
49.13424301147461,2012-12-20
48.806541442871094,2012-12-21
48.36960220336914,2012-12-24
48.065269470214844,2012-12-26
47.76877975463867,2012-12-27
47.651729583740234,2012-12-28
48.25254440307617,2012-12-31
49.383949279785156,2013-01-02
49.51658630371094,2013-01-03
51.00692367553711,2013-01-04
50.58558654785156,2013-01-07
49.93014907836914,2013-01-08
50.523155212402344,2013-01-09
50.46073532104492,2013-01-10
49.969154357910156,2013-01-11
50.616798400878906,2013-01-14
51.07716369628906,2013-01-15
51.069332122802734,2013-01-16
51.45948028564453,2013-01-17
52.04469680786133,2013-01-18
52.231964111328125,2013-01-22
53.37897872924805,2013-01-23
54.486976623535156,2013-01-24
54.377742767333984,2013-01-25
54.58061599731445,2013-01-28
55.189231872558594,2013-01-29
54.13621520996094,2013-01-30
54.12050247192383,2013-01-31
54.69415283203125,2013-02-01
53.92405319213867,2013-02-04
54.11262130737305,2013-02-05
54.340553283691406,2013-02-06
54.049774169921875,2013-02-07
54.222660064697266,2013-02-08
55.456424713134766,2013-02-11
56.29726791381836,2013-02-12
56.48586654663086,2013-02-13
56.556575775146484,2013-02-14
56.187252044677734,2013-02-15
57.52316665649414,2013-02-19
56.776615142822266,2013-02-20
56.226524353027344,2013-02-21
57.452423095703125,2013-02-22
56.14008712768555,2013-02-25
56.06151580810547,2013-02-26
57.1302375793457,2013-02-27
57.405277252197266,2013-02-28
57.95537185668945,2013-03-01
58.363983154296875,2013-03-04
59.16557312011719,2013-03-05
58.46615219116211,2013-03-06
57.67247009277344,2013-03-07
58.75691604614258,2013-03-08
58.953392028808594,2013-03-11
58.529048919677734,2013-03-12
58.387577056884766,2013-03-13
58.98481369018555,2013-03-14
59.42487716674805,2013-03-15
59.024131774902344,2013-03-18
59.291290283203125,2013-03-19
59.73922348022461,2013-03-20
58.827674865722656,2013-03-21
58.66263961791992,2013-03-22
58.45044708251953,2013-03-25
59.52705001831055,2013-03-26
59.94355392456055,2013-03-27
60.57220458984375,2013-03-28
59.81781005859375,2013-04-01
59.91996383666992,2013-04-02
59.06340026855469,2013-04-03
58.04182434082031,2013-04-04
58.56047439575195,2013-04-05
59.22057342529297,2013-04-08
58.45044708251953,2013-04-09
59.58990478515625,2013-04-10
59.87281036376953,2013-04-11
60.360042572021484,2013-04-12
58.23828125,2013-04-15
59.6213493347168,2013-04-16
57.9239501953125,2013-04-17
58.04182434082031,2013-04-18
58.741207122802734,2013-04-19
58.98481369018555,2013-04-22
59.597774505615234,2013-04-23
58.874813079833984,2013-04-24
59.597774505615234,2013-04-25
59.37775802612305,2013-04-26
60.19498062133789,2013-04-29
60.839385986328125,2013-04-30
59.47895812988281,2013-05-01
60.483463287353516,2013-05-02
61.543312072753906,2013-05-03
61.55122756958008,2013-05-06
62.01789474487305,2013-05-07
62.56365203857422,2013-05-08
62.16026306152344,2013-05-09
62.49248504638672,2013-05-10
62.009986877441406,2013-05-13
63.3150634765625,2013-05-14
63.56026077270508,2013-05-15
62.74556350708008,2013-05-16
63.457427978515625,2013-05-17
63.47323226928711,2013-05-20
63.25968933105469,2013-05-21
61.55915069580078,2013-05-22
61.25859069824219,2013-05-23
61.40886306762695,2013-05-24
61.38514709472656,2013-05-28
60.81563949584961,2013-05-29
61.511695861816406,2013-05-30
60.578407287597656,2013-05-31
60.9580192565918,2013-06-03
60.90264129638672,2013-06-04
59.82699203491211,2013-06-05
60.75239181518555,2013-06-06
61.226951599121094,2013-06-07
61.67778778076172,2013-06-10
60.51511001586914,2013-06-11
59.83488845825195,2013-06-12
60.90264129638672,2013-06-13
60.24618911743164,2013-06-14
60.47555160522461,2013-06-17
60.9263916015625,2013-06-18
59.676692962646484,2013-06-19
58.118534088134766,2013-06-20
57.659812927246094,2013-06-21
55.729888916015625,2013-06-24
57.34342956542969,2013-06-25
58.015716552734375,2013-06-26
58.12643051147461,2013-06-27
57.46204376220703,2013-06-28
57.43041229248047,2013-07-01
57.13777542114258,2013-07-02
56.67903137207031,2013-07-03
57.20895004272461,2013-07-05
57.62815856933594,2013-07-08
58.83829116821289,2013-07-09
58.07109832763672,2013-07-10
59.27334976196289,2013-07-11
59.47895812988281,2013-07-12
59.81907272338867,2013-07-15
60.238277435302734,2013-07-16
60.483463287353516,2013-07-17
61.40886306762695,2013-07-18
61.75688934326172,2013-07-19
61.20322036743164,2013-07-22
60.799835205078125,2013-07-23
59.05187225341797,2013-07-24
58.5851936340332,2013-07-25
58.4665641784668,2013-07-26
58.41910934448242,2013-07-29
58.173919677734375,2013-07-30
58.2774658203125,2013-07-31
60.53972625732422,2013-08-01
60.14144515991211,2013-08-02
59.59978103637695,2013-08-05
58.89082336425781,2013-08-06
59.01826858520508,2013-08-07
59.2731819152832,2013-08-08
58.93064880371094,2013-08-09
59.22538375854492,2013-08-12
59.1776008605957,2013-08-13
58.76336669921875,2013-08-14
58.588130950927734,2013-08-15
58.946598052978516,2013-08-16
58.11017990112305,2013-08-19
58.165950775146484,2013-08-20
57.76764678955078,2013-08-21
58.74742126464844,2013-08-22
59.31301498413086,2013-08-23
59.464359283447266,2013-08-26
58.062400817871094,2013-08-27
58.213741302490234,2013-08-28
57.91104507446289,2013-08-29
57.48088073730469,2013-08-30
57.80748748779297,2013-09-03
58.89879608154297,2013-09-04
59.05012893676758,2013-09-05
59.25723648071289,2013-09-06
59.719261169433594,2013-09-09
60.810577392578125,2013-09-10
60.79463577270508,2013-09-11
60.06180191040039,2013-09-12
60.25297164916992,2013-09-13
60.890228271484375,2013-09-16
61.22480773925781,2013-09-17
61.98950958251953,2013-09-18
62.268314361572266,2013-09-19
61.909847259521484,2013-09-20
62.22052001953125,2013-09-23
62.35593032836914,2013-09-24
62.02137756347656,2013-09-25
62.37186050415039,2013-09-26
61.96562576293945,2013-09-27
61.61511993408203,2013-09-30
62.31609344482422,2013-10-01
62.54711151123047,2013-10-02
61.63103485107422,2013-10-03
61.7425651550293,2013-10-04
61.19293212890625,2013-10-07
60.75481033325195,2013-10-08
61.24073791503906,2013-10-09
62.89759826660156,2013-10-10
62.7303352355957,2013-10-11
62.977256774902344,2013-10-14
62.722347259521484,2013-10-15
63.65435791015625,2013-10-16
62.54711151123047,2013-10-17
63.63843536376953,2013-10-18
63.726043701171875,2013-10-21
64.20396423339844,2013-10-22
68.55329132080078,2013-10-23
69.99510192871094,2013-10-24
69.81985473632812,2013-10-25
70.1862564086914,2013-10-28
70.09066772460938,2013-10-29
69.32939910888672,2013-10-30
68.92876434326172,2013-10-31
69.71405029296875,2013-11-01
69.58586883544922,2013-11-04
69.25730895996094,2013-11-05
69.28135681152344,2013-11-06
68.4960708618164,2013-11-07
68.60826110839844,2013-11-08
69.20121765136719,2013-11-11
69.4336166381836,2013-11-12
70.21086120605469,2013-11-13
69.98649597167969,2013-11-14
69.8342514038086,2013-11-15
69.89837646484375,2013-11-18
69.15316009521484,2013-11-19
68.95281982421875,2013-11-20
69.56980895996094,2013-11-21
69.81021118164062,2013-11-22
69.73009490966797,2013-11-25
69.69804382324219,2013-11-26
70.25092315673828,2013-11-27
70.26695251464844,2013-11-29
70.71570587158203,2013-12-02
70.34711456298828,2013-12-03
69.86630249023438,2013-12-04
70.651611328125,2013-12-05
71.85357666015625,2013-12-06
72.5106430053711,2013-12-09
71.94171142578125,2013-12-10
70.56343078613281,2013-12-11
70.12271881103516,2013-12-12
70.49134063720703,2013-12-13
71.64522552490234,2013-12-16
71.44489288330078,2013-12-17
72.71097564697266,2013-12-18
72.52667236328125,2013-12-19
73.17575073242188,2013-12-20
73.58439636230469,2013-12-23
73.8808822631836,2013-12-24
74.41776275634766,2013-12-26
73.98505401611328,2013-12-27
73.68856811523438,2013-12-30
74.38570404052734,2013-12-31
73.16771697998047,2014-01-02
73.21580505371094,2014-01-03
72.11800384521484,2014-01-06
72.55070495605469,2014-01-07
72.0458755493164,2014-01-08
73.16771697998047,2014-01-09
73.39204406738281,2014-01-10
72.27025604248047,2014-01-13
72.72698974609375,2014-01-14
73.04753112792969,2014-01-15
70.32307434082031,2014-01-16
71.30864715576172,2014-01-17
71.08429718017578,2014-01-21
74.47383117675781,2014-01-22
75.05078887939453,2014-01-23
71.80548858642578,2014-01-24
72.37442779541016,2014-01-27
73.1276626586914,2014-01-28
71.95772552490234,2014-01-29
74.32962036132812,2014-01-30
74.1933822631836,2014-01-31
71.7814712524414,2014-02-03
73.55233001708984,2014-02-04
73.96342468261719,2014-02-05
75.42236328125,2014-02-06
76.36546325683594,2014-02-07
74.8984375,2014-02-10
75.05158996582031,2014-02-11
75.44657135009766,2014-02-12
74.53573608398438,2014-02-13
74.8339614868164,2014-02-14
73.67323303222656,2014-02-18
72.802734375,2014-02-19
73.366943359375,2014-02-20
72.92362213134766,2014-02-21
73.5684585571289,2014-02-24
73.06065368652344,2014-02-25
73.10094451904297,2014-02-26
73.03646087646484,2014-02-27
74.08433532714844,2014-02-28
73.96342468261719,2014-03-03
75.889892578125,2014-03-04
75.76093292236328,2014-03-05
76.1720199584961,2014-03-06
76.00276184082031,2014-03-07
76.1156005859375,2014-03-10
77.17957305908203,2014-03-11
77.45364379882812,2014-03-12
76.76847076416016,2014-03-13
76.19618225097656,2014-03-14
77.24406433105469,2014-03-17
77.9130859375,2014-03-18
78.428955078125,2014-03-19
78.17103576660156,2014-03-20
77.75994110107422,2014-03-21
77.82441711425781,2014-03-24
78.49345397949219,2014-03-25
77.41333770751953,2014-03-26
76.78461456298828,2014-03-27
77.66320037841797,2014-03-28
78.32416534423828,2014-03-31
79.05768585205078,2014-04-01
78.73523712158203,2014-04-02
78.56598663330078,2014-04-03
77.89697265625,2014-04-04
77.28437042236328,2014-04-07
76.79267120361328,2014-04-08
77.60678100585938,2014-04-09
76.1720199584961,2014-04-10
75.08385467529297,2014-04-11
75.6077651977539,2014-04-14
76.1639633178711,2014-04-15
76.77655029296875,2014-04-16
77.5987319946289,2014-04-17
78.09849548339844,2014-04-21
78.1226577758789,2014-04-22
76.58309936523438,2014-04-23
76.6636734008789,2014-04-24
75.79315948486328,2014-04-25
75.97047424316406,2014-04-28
76.3412857055664,2014-04-29
76.63312530517578,2014-04-30
75.86298370361328,2014-05-01
75.8548812866211,2014-05-02
75.91162872314453,2014-05-05
76.00082397460938,2014-05-06
76.98172760009766,2014-05-07
77.41950988769531,2014-05-08
77.25733947753906,2014-05-09
78.44093322753906,2014-05-12
79.10567474365234,2014-05-13
78.9759750366211,2014-05-14
78.17342376708984,2014-05-15
78.91111755371094,2014-05-16
79.25970458984375,2014-05-19
79.34075927734375,2014-05-20
80.11904907226562,2014-05-21
80.28929138183594,2014-05-22
80.4189682006836,2014-05-23
80.91349029541016,2014-05-27
81.1810073852539,2014-05-28
81.91063690185547,2014-05-29
81.6755142211914,2014-05-30
81.5377197265625,2014-06-02
80.15955352783203,2014-06-03
80.40277862548828,2014-06-04
81.46475219726562,2014-06-05
82.49431610107422,2014-06-06
83.01315307617188,2014-06-09
82.6240234375,2014-06-10
82.48617553710938,2014-06-11
81.22962951660156,2014-06-12
82.00790405273438,2014-06-13
82.33214569091797,2014-06-16
82.28352355957031,2014-06-17
83.35360717773438,2014-06-18
83.62926483154297,2014-06-19
84.64259338378906,2014-06-20
83.78327941894531,2014-06-23
82.79425048828125,2014-06-24
82.93206787109375,2014-06-25
82.39701843261719,2014-06-26
82.40511322021484,2014-06-27
83.52387237548828,2014-06-30
83.1347427368164,2014-07-01
83.95349884033203,2014-07-02
84.18050384521484,2014-07-03
83.68603515625,2014-07-07
83.24825286865234,2014-07-08
83.82380676269531,2014-07-09
83.021240234375,2014-07-10
84.26966857910156,2014-07-11
84.65882110595703,2014-07-14
84.59397888183594,2014-07-15
