JPM,Date
1.2788158655166626,1980-09-26
1.258771300315857,1980-09-29
1.2707985639572144,1980-09-30
1.258771300315857,1980-10-01
1.2788158655166626,1980-10-02
1.3028689622879028,1980-10-03
1.3148958683013916,1980-10-06
1.3229129314422607,1980-10-07
1.3229129314422607,1980-10-08
1.3269219398498535,1980-10-09
1.3269219398498535,1980-10-10
1.3389480113983154,1980-10-13
1.3389480113983154,1980-10-14
1.3148958683013916,1980-10-15
1.318904995918274,1980-10-16
1.3229129314422607,1980-10-17
1.318904995918274,1980-10-20
1.318904995918274,1980-10-21
1.3148958683013916,1980-10-22
1.3068782091140747,1980-10-23
1.3068782091140747,1980-10-24
1.3148958683013916,1980-10-27
1.318904995918274,1980-10-28
1.318904995918274,1980-10-29
1.318904995918274,1980-10-30
1.318904995918274,1980-10-31
1.3148958683013916,1980-11-03
1.3148958683013916,1980-11-05
1.2748064994812012,1980-11-06
1.2748064994812012,1980-11-07
1.2828251123428345,1980-11-10
1.2988600730895996,1980-11-11
1.318904995918274,1980-11-12
1.3469651937484741,1980-11-13
1.3509747982025146,1980-11-14
1.3148958683013916,1980-11-17
1.3148958683013916,1980-11-18
1.2828251123428345,1980-11-19
1.2788158655166626,1980-11-20
1.258771300315857,1980-11-21
1.2667895555496216,1980-11-24
1.2707985639572144,1980-11-25
1.262781023979187,1980-11-26
1.262781023979187,1980-11-28
1.2507538795471191,1980-12-01
1.254763126373291,1980-12-02
1.2467451095581055,1980-12-03
1.258771300315857,1980-12-04
1.2467451095581055,1980-12-05
1.2507538795471191,1980-12-08
1.2387276887893677,1980-12-09
1.2427371740341187,1980-12-10
1.2467451095581055,1980-12-11
1.2387276887893677,1980-12-12
1.2467451095581055,1980-12-15
1.258771300315857,1980-12-16
1.2988600730895996,1980-12-17
1.3349400758743286,1980-12-18
1.3389480113983154,1980-12-19
1.358992576599121,1980-12-22
1.3349400758743286,1980-12-23
1.3429577350616455,1980-12-24
1.3389480113983154,1980-12-26
1.3389480113983154,1980-12-29
1.3389480113983154,1980-12-30
1.3670101165771484,1980-12-31
1.375028133392334,1981-01-02
