PDCO,Date
18.655620574951172,2019-02-20
18.002471923828125,2019-02-21
18.288227081298828,2019-02-22
18.296384811401367,2019-02-25
18.05145263671875,2019-02-26
18.255565643310547,2019-02-27
18.41069221496582,2019-02-28
18.90054702758789,2019-03-01
18.827070236206055,2019-03-04
18.53315544128418,2019-03-05
17.88817024230957,2019-03-06
17.70855140686035,2019-03-07
17.635068893432617,2019-03-08
18.149433135986328,2019-03-11
18.05145263671875,2019-03-12
18.38619613647461,2019-03-13
18.280057907104492,2019-03-14
18.231075286865234,2019-03-15
18.255565643310547,2019-03-18
18.40252685546875,2019-03-19
18.10860824584961,2019-03-20
18.622962951660156,2019-03-21
18.19025230407715,2019-03-22
17.659561157226562,2019-03-25
17.831016540527344,2019-03-26
17.659561157226562,2019-03-27
17.586088180541992,2019-03-28
17.839181900024414,2019-03-29
18.13309669494629,2019-04-01
17.904499053955078,2019-04-02
17.912662506103516,2019-04-03
18.10860824584961,2019-04-04
18.337209701538086,2019-04-05
18.182083129882812,2019-04-08
18.01063346862793,2019-04-09
17.94532012939453,2019-04-10
17.77181625366211,2019-04-11
17.920534133911133,2019-04-12
17.937055587768555,2019-04-15
17.92879867553711,2019-04-16
17.350444793701172,2019-04-17
17.631359100341797,2019-04-18
17.41654396057129,2019-04-22
17.80485725402832,2019-04-23
17.904010772705078,2019-04-24
17.730501174926758,2019-04-25
18.094038009643555,2019-04-26
17.97836685180664,2019-04-29
18.044464111328125,2019-04-30
17.97836685180664,2019-05-01
18.31711196899414,2019-05-02
18.63933753967285,2019-05-03
18.5484561920166,2019-05-06
18.655864715576172,2019-05-07
18.821102142333984,2019-05-08
19.03592300415039,2019-05-09
18.845890045166016,2019-05-10
18.19318389892578,2019-05-13
18.40799903869629,2019-05-14
18.20144271850586,2019-05-15
18.30059051513672,2019-05-16
18.217967987060547,2019-05-17
18.3914737701416,2019-05-20
18.606287002563477,2019-05-21
18.614551544189453,2019-05-22
18.052724838256836,2019-05-23
18.234493255615234,2019-05-24
18.176660537719727,2019-05-28
17.97010612487793,2019-05-29
17.7635498046875,2019-05-30
17.366968154907227,2019-05-31
17.67267417907715,2019-06-03
18.209707260131836,2019-06-04
18.036205291748047,2019-06-05
17.82139015197754,2019-06-06
17.97836685180664,2019-06-07
18.242755889892578,2019-06-10
18.259279251098633,2019-06-11
18.31711196899414,2019-06-12
18.449308395385742,2019-06-13
18.50714111328125,2019-06-14
18.647598266601562,2019-06-17
19.225948333740234,2019-06-18
19.15159034729004,2019-06-19
19.11853790283203,2019-06-20
19.630794525146484,2019-06-21
19.38292694091797,2019-06-24
19.994325637817383,2019-06-25
20.539623260498047,2019-06-26
19.53990936279297,2019-06-27
18.920246124267578,2019-06-28
18.38321304321289,2019-07-01
18.292325973510742,2019-07-02
18.45756721496582,2019-07-03
18.614551544189453,2019-07-05
18.606287002563477,2019-07-08
18.341903686523438,2019-07-09
17.937055587768555,2019-07-10
17.895244598388672,2019-07-11
17.91196632385254,2019-07-12
18.020679473876953,2019-07-15
17.819984436035156,2019-07-16
17.36005973815918,2019-07-17
17.22626495361328,2019-07-18
16.95867347717285,2019-07-19
16.515472412109375,2019-07-22
16.615819931030273,2019-07-23
16.44857406616211,2019-07-24
16.206064224243164,2019-07-25
16.39840316772461,2019-07-26
16.490385055541992,2019-07-29
16.766342163085938,2019-07-30
16.557281494140625,2019-07-31
16.23115348815918,2019-08-01
16.08899688720703,2019-08-02
15.495274543762207,2019-08-05
14.951730728149414,2019-08-06
14.98517894744873,2019-08-07
15.31966781616211,2019-08-08
15.30294132232666,2019-08-09
15.144063949584961,2019-08-12
14.751035690307617,2019-08-13
14.148947715759277,2019-08-14
13.923169136047363,2019-08-15
14.073690414428711,2019-08-16
14.625600814819336,2019-08-19
14.625600814819336,2019-08-20
14.29947280883789,2019-08-21
14.307833671569824,2019-08-22
13.831186294555664,2019-08-23
14.065326690673828,2019-08-26
13.538507461547852,2019-08-27
13.64721393585205,2019-08-28
14.006793022155762,2019-08-29
13.981706619262695,2019-08-30
13.413073539733887,2019-09-03
13.488330841064453,2019-09-04
13.948256492614746,2019-09-05
13.914807319641113,2019-09-06
14.307833671569824,2019-09-09
15.026988983154297,2019-09-10
15.378205299377441,2019-09-11
15.386565208435059,2019-09-12
15.25277042388916,2019-09-13
15.645792961120605,2019-09-16
15.05207347869873,2019-09-17
14.72594928741455,2019-09-18
14.625600814819336,2019-09-19
14.751035690307617,2019-09-20
14.642324447631836,2019-09-23
14.257661819458008,2019-09-24
14.59215259552002,2019-09-25
14.558700561523438,2019-09-26
14.8346529006958,2019-09-27
14.901554107666016,2019-09-30
14.533612251281738,2019-10-01
14.249300956726074,2019-10-02
14.215848922729492,2019-10-03
14.174038887023926,2019-10-04
14.19076156616211,2019-10-07
13.806097984313965,2019-10-08
13.872997283935547,2019-10-09
14.025914192199707,2019-10-10
14.518647193908691,2019-10-11
14.442188262939453,2019-10-14
14.714043617248535,2019-10-15
14.637582778930664,2019-10-16
14.849970817565918,2019-10-17
14.824481010437012,2019-10-18
14.756521224975586,2019-10-21
14.646079063415527,2019-10-22
14.535636901855469,2019-10-23
14.110869407653809,2019-10-24
14.535636901855469,2019-10-25
14.595107078552246,2019-10-28
14.815986633300781,2019-10-29
14.824481010437012,2019-10-30
14.552627563476562,2019-10-31
14.87545394897461,2019-11-01
15.351198196411133,2019-11-04
15.775969505310059,2019-11-05
15.589070320129395,2019-11-06
15.69101333618164,2019-11-07
15.767474174499512,2019-11-08
15.478629112243652,2019-11-11
15.470134735107422,2019-11-12
15.529600143432617,2019-11-13
15.436150550842285,2019-11-14
15.682518005371094,2019-11-15
15.971362113952637,2019-11-18
16.175254821777344,2019-11-19
16.005342483520508,2019-11-20
16.183748245239258,2019-11-21
16.370643615722656,2019-11-22
16.735946655273438,2019-11-25
16.370643615722656,2019-11-26
16.634000778198242,2019-11-27
16.532054901123047,2019-11-29
16.52356719970703,2019-12-02
16.778425216674805,2019-12-03
17.186203002929688,2019-12-04
19.624387741088867,2019-12-05
19.972702026367188,2019-12-06
19.49695587158203,2019-12-09
19.61589241027832,2019-12-10
19.25908088684082,2019-12-11
18.672895431518555,2019-12-12
17.67893409729004,2019-12-13
17.942296981811523,2019-12-16
17.95079231262207,2019-12-17
17.840349197387695,2019-12-18
17.8233585357666,2019-12-19
17.67893409729004,2019-12-20
17.356115341186523,2019-12-23
17.339120864868164,2019-12-24
17.24567222595215,2019-12-26
17.177705764770508,2019-12-27
17.092756271362305,2019-12-30
17.398588180541992,2019-12-31
17.356115341186523,2020-01-02
17.305143356323242,2020-01-03
17.619468688964844,2020-01-06
18.46051597595215,2020-01-07
18.477506637573242,2020-01-08
18.63227081298828,2020-01-09
18.752643585205078,2020-01-10
18.744047164916992,2020-01-13
19.39751434326172,2020-01-14
19.775833129882812,2020-01-15
20.377708435058594,2020-01-16
20.016582489013672,2020-01-17
20.377708435058594,2020-01-21
20.437896728515625,2020-01-22
20.24013328552246,2020-01-23
20.076770782470703,2020-01-24
19.95639419555664,2020-01-27
20.24013328552246,2020-01-28
19.767234802246094,2020-01-29
19.86181640625,2020-01-30
18.924612045288086,2020-01-31
19.208349227905273,2020-02-03
19.01919174194336,2020-02-04
19.89620590209961,2020-02-05
20.016582489013672,2020-02-06
19.689851760864258,2020-02-07
19.62965965270996,2020-02-10
19.922000885009766,2020-02-11
20.205739974975586,2020-02-12
19.87041473388672,2020-02-13
19.78443145751953,2020-02-14
19.793027877807617,2020-02-18
20.14555549621582,2020-02-19
19.440502166748047,2020-02-20
19.543678283691406,2020-02-21
20.102563858032227,2020-02-24
20.11975860595703,2020-02-25
19.500688552856445,2020-02-26
20.644248962402344,2020-02-27
20.455087661743164,2020-02-28
21.435277938842773,2020-03-02
20.695838928222656,2020-03-03
21.48687171936035,2020-03-04
20.670045852661133,2020-03-05
20.506677627563477,2020-03-06
18.425918579101562,2020-03-09
19.165361404418945,2020-03-10
17.96161651611328,2020-03-11
16.783660888671875,2020-03-12
17.918624877929688,2020-03-13
16.198986053466797,2020-03-16
16.77506446838379,2020-03-17
13.567939758300781,2020-03-18
13.825886726379395,2020-03-19
14.023643493652344,2020-03-20
13.920466423034668,2020-03-23
14.857669830322266,2020-03-24
14.625518798828125,2020-03-25
14.857669830322266,2020-03-26
13.722708702087402,2020-03-27
14.049439430236816,2020-03-30
13.14663028717041,2020-03-31
12.510363578796387,2020-04-01
12.34699821472168,2020-04-02
11.581759452819824,2020-04-03
11.263625144958496,2020-04-06
12.080453872680664,2020-04-07
13.00904655456543,2020-04-08
13.350696563720703,2020-04-09
13.368218421936035,2020-04-13
13.998961448669434,2020-04-14
12.991524696350098,2020-04-15
13.122929573059082,2020-04-16
13.631027221679688,2020-04-17
13.595987319946289,2020-04-20
13.017807006835938,2020-04-21
13.070367813110352,2020-04-22
13.131690979003906,2020-04-23
13.403260231018066,2020-04-24
14.025242805480957,2020-04-27
14.98011302947998,2020-04-28
15.943743705749512,2020-04-29
16.01382827758789,2020-04-30
14.620942115783691,2020-05-01
14.235487937927246,2020-05-04
14.78738784790039,2020-05-05
14.28804874420166,2020-05-06
14.226726531982422,2020-05-07
14.323090553283691,2020-05-08
14.384415626525879,2020-05-11
13.560943603515625,2020-05-12
13.131690979003906,2020-05-13
12.974003791809082,2020-05-14
13.035327911376953,2020-05-15
14.796147346496582,2020-05-18
14.65598201751709,2020-05-19
15.076471328735352,2020-05-20
15.172842025756836,2020-05-21
15.24292278289795,2020-05-22
16.574493408203125,2020-05-26
17.538122177124023,2020-05-27
17.5118408203125,2020-05-28
17.24903106689453,2020-05-29
17.608203887939453,2020-06-01
18.13382339477539,2020-06-02
17.88853645324707,2020-06-03
17.94109344482422,2020-06-04
18.449190139770508,2020-06-05
18.834646224975586,2020-06-08
17.08258628845215,2020-06-09
16.495643615722656,2020-06-10
15.102757453918457,2020-06-11
15.567055702209473,2020-06-12
16.329198837280273,2020-06-15
16.784732818603516,2020-06-16
16.9161376953125,2020-06-17
16.653329849243164,2020-06-18
16.96870231628418,2020-06-19
17.26654815673828,2020-06-22
17.76589012145996,2020-06-23
17.54688262939453,2020-06-24
19.13249969482422,2020-06-25
19.973485946655273,2020-06-26
19.710678100585938,2020-06-29
19.272663116455078,2020-06-30
19.552989959716797,2020-07-01
19.281421661376953,2020-07-02
20.148691177368164,2020-07-06
19.929685592651367,2020-07-07
19.955965042114258,2020-07-08
19.920921325683594,2020-07-09
20.236295700073242,2020-07-10
20.139930725097656,2020-07-13
20.648029327392578,2020-07-14
21.725543975830078,2020-07-15
21.849485397338867,2020-07-16
22.823331832885742,2020-07-17
22.283288955688477,2020-07-20
22.32755470275879,2020-07-21
22.708236694335938,2020-07-22
22.655122756958008,2020-07-23
22.168201446533203,2020-07-24
22.433788299560547,2020-07-27
22.20361328125,2020-07-28
22.478057861328125,2020-07-29
23.186307907104492,2020-07-30
23.513872146606445,2020-07-31
24.284095764160156,2020-08-03
24.67363166809082,2020-08-04
24.824134826660156,2020-08-05
24.60280990600586,2020-08-06
24.523128509521484,2020-08-07
24.496572494506836,2020-08-10
23.956527709960938,2020-08-11
23.956527709960938,2020-08-12
23.690933227539062,2020-08-13
23.832590103149414,2020-08-14
23.628965377807617,2020-08-17
23.416488647460938,2020-08-18
23.106630325317383,2020-08-19
22.832183837890625,2020-08-20
22.90300750732422,2020-08-21
23.797170639038086,2020-08-24
24.319509506225586,2020-08-25
25.39958953857422,2020-08-26
25.771421432495117,2020-08-27
26.072423934936523,2020-08-28
25.682886123657227,2020-08-31
25.612062454223633,2020-09-01
25.665184020996094,2020-09-02
23.416488647460938,2020-09-03
23.159753799438477,2020-09-04
21.397977828979492,2020-09-08
21.681278228759766,2020-09-09
21.105825424194336,2020-09-10
21.176651000976562,2020-09-11
21.831783294677734,2020-09-14
21.521921157836914,2020-09-15
21.41568374633789,2020-09-16
21.60160255432129,2020-09-17
21.017295837402344,2020-09-18
21.82292938232422,2020-09-21
21.176651000976562,2020-09-22
19.90180206298828,2020-09-23
20.468400955200195,2020-09-24
20.77825927734375,2020-09-25
21.486515045166016,2020-09-28
20.866792678833008,2020-09-29
21.344860076904297,2020-09-30
21.362565994262695,2020-10-01
21.69013214111328,2020-10-02
22.292144775390625,2020-10-05
21.973430633544922,2020-10-06
22.026546478271484,2020-10-07
22.557735443115234,2020-10-08
22.371824264526367,2020-10-09
22.743648529052734,2020-10-12
22.7613582611084,2020-10-13
23.460756301879883,2020-10-14
24.310134887695312,2020-10-15
24.560482025146484,2020-10-16
23.782623291015625,2020-10-19
23.568044662475586,2020-10-20
23.308765411376953,2020-10-21
24.220726013183594,2020-10-22
24.24755096435547,2020-10-23
23.648517608642578,2020-10-26
23.702157974243164,2020-10-27
21.97657585144043,2020-10-28
22.325267791748047,2020-10-29
22.24479866027832,2020-10-30
22.02128028869629,2020-11-02
22.90642738342285,2020-11-03
23.264060974121094,2020-11-04
23.469696044921875,2020-11-05
23.523340225219727,2020-11-06
26.160888671875,2020-11-09
25.803255081176758,2020-11-10
25.141633987426758,2020-11-11
24.506834030151367,2020-11-12
25.365156173706055,2020-11-13
