AMLN,Date
7.125,1992-09-01
8.25,1992-09-02
9.0,1992-09-03
8.75,1992-09-04
8.5,1992-09-08
8.0,1992-09-09
7.75,1992-09-10
8.5,1992-09-11
8.0,1992-09-14
8.0,1992-09-15
8.0,1992-09-16
8.0,1992-09-17
8.0,1992-09-18
8.125,1992-09-21
8.5,1992-09-22
9.0,1992-09-23
10.0,1992-09-24
9.5,1992-09-25
9.5,1992-09-28
9.5,1992-09-29
10.0,1992-09-30
9.5,1992-10-01
9.5,1992-10-02
8.875,1992-10-05
8.625,1992-10-06
9.0,1992-10-07
9.0,1992-10-08
8.25,1992-10-09
8.0,1992-10-12
8.25,1992-10-13
8.25,1992-10-14
8.0,1992-10-15
8.25,1992-10-16
7.75,1992-10-19
7.625,1992-10-20
8.0,1992-10-21
7.625,1992-10-22
7.625,1992-10-23
7.75,1992-10-26
8.0,1992-10-27
8.25,1992-10-28
8.375,1992-10-29
8.0,1992-10-30
8.0,1992-11-02
8.375,1992-11-03
8.5,1992-11-04
8.0,1992-11-05
9.5,1992-11-06
11.25,1992-11-09
10.5,1992-11-10
9.75,1992-11-11
10.25,1992-11-12
12.0,1992-11-13
12.375,1992-11-16
12.25,1992-11-17
11.75,1992-11-18
12.75,1992-11-19
12.0,1992-11-20
11.75,1992-11-23
11.5,1992-11-24
11.625,1992-11-25
11.5,1992-11-27
12.5,1992-11-30
12.0,1992-12-01
12.0,1992-12-02
11.75,1992-12-03
11.5,1992-12-04
12.25,1992-12-07
12.0,1992-12-08
12.25,1992-12-09
12.0,1992-12-10
11.625,1992-12-11
11.0,1992-12-14
11.25,1992-12-15
11.5,1992-12-16
11.5,1992-12-17
10.75,1992-12-18
11.0,1992-12-21
10.75,1992-12-22
10.0,1992-12-23
10.0,1992-12-24
9.75,1992-12-28
9.75,1992-12-29
10.25,1992-12-30
11.25,1992-12-31
11.0,1993-01-04
11.0,1993-01-05
11.25,1993-01-06
11.0,1993-01-07
10.5,1993-01-08
12.25,1993-01-11
12.75,1993-01-12
13.125,1993-01-13
14.75,1993-01-14
14.75,1993-01-15
14.25,1993-01-18
12.75,1993-01-19
12.5,1993-01-20
13.25,1993-01-21
13.25,1993-01-22
13.5,1993-01-25
13.25,1993-01-26
12.0,1993-01-27
11.75,1993-01-28
12.0,1993-01-29
12.0,1993-02-01
12.0,1993-02-02
11.0,1993-02-03
11.5,1993-02-04
10.5,1993-02-05
11.75,1993-02-08
11.0,1993-02-09
10.5,1993-02-10
10.25,1993-02-11
11.375,1993-02-12
10.5,1993-02-16
11.0,1993-02-17
10.875,1993-02-18
11.0,1993-02-19
10.5,1993-02-22
10.25,1993-02-23
10.0,1993-02-24
9.5,1993-02-25
10.25,1993-02-26
10.5,1993-03-01
10.125,1993-03-02
10.5,1993-03-03
9.625,1993-03-04
10.25,1993-03-05
10.5,1993-03-08
10.25,1993-03-09
10.25,1993-03-10
9.5,1993-03-11
9.5,1993-03-12
9.0,1993-03-15
9.5,1993-03-16
9.0,1993-03-17
9.0,1993-03-18
8.0,1993-03-19
8.0,1993-03-22
8.0,1993-03-23
7.5,1993-03-24
8.25,1993-03-25
7.5,1993-03-26
7.875,1993-03-29
8.25,1993-03-30
8.5,1993-03-31
9.0,1993-04-01
9.0,1993-04-02
9.0,1993-04-05
9.0,1993-04-06
9.0,1993-04-07
8.5,1993-04-08
8.0,1993-04-12
8.5,1993-04-13
8.125,1993-04-14
8.25,1993-04-15
8.0,1993-04-16
8.125,1993-04-19
9.0,1993-04-20
9.0,1993-04-21
9.25,1993-04-22
9.0,1993-04-23
8.75,1993-04-26
8.875,1993-04-27
8.25,1993-04-28
8.5,1993-04-29
8.75,1993-04-30
9.0,1993-05-03
9.25,1993-05-04
9.5,1993-05-05
9.0,1993-05-06
9.375,1993-05-07
9.25,1993-05-10
9.25,1993-05-11
8.875,1993-05-12
9.25,1993-05-13
9.25,1993-05-14
9.5,1993-05-17
9.5,1993-05-18
9.375,1993-05-19
9.25,1993-05-20
9.25,1993-05-21
9.75,1993-05-24
10.0,1993-05-25
9.5,1993-05-26
9.75,1993-05-27
9.75,1993-05-28
9.25,1993-06-01
9.0,1993-06-02
9.0,1993-06-03
9.5,1993-06-04
9.5,1993-06-07
9.25,1993-06-08
9.25,1993-06-09
9.5,1993-06-10
9.5,1993-06-11
10.75,1993-06-14
10.5,1993-06-15
10.5,1993-06-16
9.125,1993-06-17
9.375,1993-06-18
9.0,1993-06-21
9.0,1993-06-22
9.25,1993-06-23
9.0,1993-06-24
9.0,1993-06-25
8.75,1993-06-28
8.5,1993-06-29
9.0,1993-06-30
9.0,1993-07-01
9.125,1993-07-02
9.0,1993-07-06
9.0,1993-07-07
8.5,1993-07-08
8.875,1993-07-09
8.75,1993-07-12
8.5,1993-07-13
8.5,1993-07-14
8.75,1993-07-15
9.0,1993-07-16
8.75,1993-07-19
9.25,1993-07-20
9.375,1993-07-21
9.5,1993-07-22
9.375,1993-07-23
9.5,1993-07-26
9.25,1993-07-27
9.0,1993-07-28
9.0,1993-07-29
9.0,1993-07-30
9.25,1993-08-02
9.25,1993-08-03
9.5,1993-08-04
9.5,1993-08-05
9.25,1993-08-06
9.25,1993-08-09
9.25,1993-08-10
9.5,1993-08-11
9.75,1993-08-12
9.5,1993-08-13
9.25,1993-08-16
9.25,1993-08-17
9.5,1993-08-18
9.5,1993-08-19
9.5,1993-08-20
9.25,1993-08-23
9.5,1993-08-24
9.625,1993-08-25
9.5,1993-08-26
9.75,1993-08-27
9.5,1993-08-30
9.5,1993-08-31
10.0,1993-09-01
10.0,1993-09-02
10.0,1993-09-03
10.0,1993-09-07
10.75,1993-09-08
10.5,1993-09-09
11.25,1993-09-10
11.25,1993-09-13
12.0,1993-09-14
11.75,1993-09-15
12.0,1993-09-16
12.25,1993-09-17
11.75,1993-09-20
12.0,1993-09-21
11.5,1993-09-22
11.75,1993-09-23
12.0,1993-09-24
11.75,1993-09-27
11.5,1993-09-28
11.5,1993-09-29
12.0,1993-09-30
11.5,1993-10-01
11.5,1993-10-04
12.0,1993-10-05
12.5,1993-10-06
11.75,1993-10-07
11.0,1993-10-08
11.25,1993-10-11
11.0,1993-10-12
12.0,1993-10-13
13.25,1993-10-14
13.75,1993-10-15
12.875,1993-10-18
12.25,1993-10-19
12.875,1993-10-20
13.25,1993-10-21
13.25,1993-10-22
13.0,1993-10-25
13.0,1993-10-26
13.0,1993-10-27
13.0,1993-10-28
13.0,1993-10-29
13.5,1993-11-01
13.5,1993-11-02
13.25,1993-11-03
12.5,1993-11-04
12.75,1993-11-05
12.25,1993-11-08
13.0,1993-11-09
12.875,1993-11-10
13.0,1993-11-11
13.25,1993-11-12
13.0,1993-11-15
13.0,1993-11-16
12.25,1993-11-17
12.5,1993-11-18
12.625,1993-11-19
12.75,1993-11-22
12.25,1993-11-23
12.75,1993-11-24
12.375,1993-11-26
12.375,1993-11-29
12.25,1993-11-30
12.5,1993-12-01
11.75,1993-12-02
12.0,1993-12-03
11.25,1993-12-06
11.75,1993-12-07
11.75,1993-12-08
11.75,1993-12-09
11.75,1993-12-10
11.0,1993-12-13
10.75,1993-12-14
11.25,1993-12-15
11.25,1993-12-16
10.5,1993-12-17
10.625,1993-12-20
10.875,1993-12-21
10.75,1993-12-22
10.75,1993-12-23
11.0,1993-12-27
11.75,1993-12-28
12.5,1993-12-29
11.75,1993-12-30
13.0,1993-12-31
13.125,1994-01-03
14.25,1994-01-04
13.5,1994-01-05
13.75,1994-01-06
13.75,1994-01-07
13.75,1994-01-10
14.25,1994-01-11
13.75,1994-01-12
13.5,1994-01-13
13.25,1994-01-14
13.5,1994-01-17
13.625,1994-01-18
14.125,1994-01-19
14.25,1994-01-20
14.5,1994-01-21
14.25,1994-01-24
14.25,1994-01-25
14.25,1994-01-26
14.75,1994-01-27
14.25,1994-01-28
14.375,1994-01-31
14.25,1994-02-01
14.75,1994-02-02
14.25,1994-02-03
13.75,1994-02-04
13.25,1994-02-07
13.125,1994-02-08
13.25,1994-02-09
13.0,1994-02-10
13.0,1994-02-11
12.875,1994-02-14
12.5,1994-02-15
12.75,1994-02-16
12.75,1994-02-17
12.5,1994-02-18
12.75,1994-02-22
12.75,1994-02-23
12.375,1994-02-24
12.5,1994-02-25
13.0,1994-02-28
13.0,1994-03-01
12.625,1994-03-02
13.125,1994-03-03
14.75,1994-03-04
14.0,1994-03-07
13.25,1994-03-08
12.875,1994-03-09
12.25,1994-03-10
12.75,1994-03-11
12.5,1994-03-14
12.25,1994-03-15
11.75,1994-03-16
12.0,1994-03-17
11.75,1994-03-18
11.5,1994-03-21
10.25,1994-03-22
10.25,1994-03-23
11.0,1994-03-24
11.0,1994-03-25
10.75,1994-03-28
10.5,1994-03-29
10.75,1994-03-30
10.75,1994-03-31
11.0,1994-04-04
11.375,1994-04-05
12.25,1994-04-06
12.25,1994-04-07
10.625,1994-04-08
11.0,1994-04-11
10.25,1994-04-12
10.5,1994-04-13
9.5,1994-04-14
10.0,1994-04-15
10.25,1994-04-18
9.25,1994-04-19
9.75,1994-04-20
10.5,1994-04-21
10.25,1994-04-22
10.75,1994-04-25
10.25,1994-04-26
10.75,1994-04-28
11.0,1994-04-29
10.25,1994-05-02
10.75,1994-05-03
10.0,1994-05-04
9.75,1994-05-05
8.25,1994-05-06
8.75,1994-05-09
9.5,1994-05-10
9.25,1994-05-11
9.0,1994-05-12
9.0,1994-05-13
9.0,1994-05-16
8.75,1994-05-17
8.25,1994-05-18
8.25,1994-05-19
9.0,1994-05-20
9.25,1994-05-23
9.25,1994-05-24
9.75,1994-05-25
9.625,1994-05-26
9.75,1994-05-27
8.75,1994-05-31
8.625,1994-06-01
9.0,1994-06-02
8.5,1994-06-03
9.25,1994-06-06
9.75,1994-06-07
10.0,1994-06-08
10.25,1994-06-09
11.25,1994-06-10
7.5,1994-06-13
8.25,1994-06-14
7.625,1994-06-15
8.25,1994-06-16
7.5,1994-06-17
6.875,1994-06-20
6.25,1994-06-21
6.25,1994-06-22
6.5,1994-06-23
5.75,1994-06-24
6.25,1994-06-27
6.25,1994-06-28
6.0,1994-06-29
6.0,1994-06-30
6.25,1994-07-01
6.25,1994-07-05
6.25,1994-07-06
7.0,1994-07-07
7.0,1994-07-08
6.875,1994-07-11
6.875,1994-07-12
7.25,1994-07-13
6.75,1994-07-14
6.875,1994-07-15
6.25,1994-07-18
6.375,1994-07-19
6.0,1994-07-20
5.75,1994-07-21
6.0,1994-07-22
6.0,1994-07-25
6.5,1994-07-26
6.0,1994-07-27
6.0,1994-07-28
6.5,1994-07-29
6.0,1994-08-01
6.25,1994-08-02
6.0,1994-08-03
6.75,1994-08-04
6.75,1994-08-05
7.5,1994-08-08
7.5,1994-08-09
8.625,1994-08-10
8.5,1994-08-11
8.5,1994-08-12
8.25,1994-08-15
8.25,1994-08-16
8.0,1994-08-17
7.875,1994-08-18
8.0,1994-08-19
8.25,1994-08-22
8.25,1994-08-23
8.0,1994-08-24
8.5,1994-08-25
8.5,1994-08-26
7.75,1994-08-29
7.5,1994-08-30
8.0,1994-08-31
8.0,1994-09-01
7.75,1994-09-02
7.5,1994-09-06
7.5,1994-09-07
7.625,1994-09-08
7.5,1994-09-09
7.5,1994-09-12
8.0,1994-09-13
8.5,1994-09-14
7.75,1994-09-15
8.0,1994-09-16
8.5,1994-09-19
8.0,1994-09-20
7.75,1994-09-21
7.75,1994-09-22
7.75,1994-09-23
8.25,1994-09-26
8.0,1994-09-27
8.0,1994-09-28
8.0,1994-09-29
7.75,1994-09-30
8.5,1994-10-03
8.25,1994-10-04
7.875,1994-10-05
7.5,1994-10-06
7.625,1994-10-07
7.875,1994-10-10
7.75,1994-10-11
7.75,1994-10-12
7.875,1994-10-13
7.75,1994-10-14
7.75,1994-10-17
7.5,1994-10-18
7.5,1994-10-19
7.375,1994-10-20
7.6875,1994-10-21
7.25,1994-10-24
7.25,1994-10-25
7.5,1994-10-26
7.375,1994-10-27
7.25,1994-10-28
7.375,1994-10-31
7.75,1994-11-01
7.5,1994-11-02
7.25,1994-11-03
7.25,1994-11-04
7.375,1994-11-07
7.375,1994-11-08
7.25,1994-11-09
6.625,1994-11-10
6.5,1994-11-11
6.25,1994-11-14
6.125,1994-11-15
6.0,1994-11-16
5.75,1994-11-17
6.25,1994-11-18
6.5,1994-11-21
6.5,1994-11-22
6.0,1994-11-23
5.875,1994-11-25
5.875,1994-11-28
5.75,1994-11-29
6.0,1994-11-30
6.25,1994-12-01
6.25,1994-12-02
6.25,1994-12-05
5.5,1994-12-06
5.75,1994-12-07
6.0,1994-12-08
4.813000202178955,1994-12-09
5.375,1994-12-12
5.25,1994-12-13
5.0,1994-12-14
5.0,1994-12-15
5.5,1994-12-16
5.0,1994-12-19
5.0,1994-12-20
5.125,1994-12-21
5.375,1994-12-22
5.5,1994-12-23
5.75,1994-12-27
5.375,1994-12-28
5.0,1994-12-29
6.0,1994-12-30
6.0,1995-01-03
5.5,1995-01-04
5.313000202178955,1995-01-05
5.375,1995-01-06
5.75,1995-01-09
6.25,1995-01-10
6.125,1995-01-11
6.125,1995-01-12
6.25,1995-01-13
5.875,1995-01-16
5.5,1995-01-17
5.5,1995-01-18
5.25,1995-01-19
5.5,1995-01-20
5.5,1995-01-23
5.5,1995-01-24
5.5,1995-01-25
5.25,1995-01-26
5.0,1995-01-27
5.25,1995-01-30
5.5,1995-01-31
5.5,1995-02-01
5.5,1995-02-02
5.75,1995-02-03
5.75,1995-02-06
5.75,1995-02-07
5.5,1995-02-08
5.625,1995-02-09
6.0,1995-02-10
5.5,1995-02-13
6.0,1995-02-14
6.25,1995-02-15
6.0,1995-02-16
6.0,1995-02-17
5.75,1995-02-21
5.75,1995-02-22
5.75,1995-02-23
6.0,1995-02-24
6.0,1995-02-27
6.25,1995-02-28
6.0,1995-03-01
5.625,1995-03-02
5.625,1995-03-03
5.625,1995-03-06
5.75,1995-03-07
5.75,1995-03-08
5.5,1995-03-09
5.75,1995-03-10
5.563000202178955,1995-03-13
5.375,1995-03-14
5.375,1995-03-15
5.5,1995-03-16
5.5,1995-03-17
5.375,1995-03-20
5.375,1995-03-21
5.125,1995-03-22
5.125,1995-03-23
4.5,1995-03-24
5.0,1995-03-27
4.625,1995-03-28
4.5,1995-03-29
4.25,1995-03-30
4.625,1995-03-31
4.5,1995-04-03
4.25,1995-04-04
4.25,1995-04-05
3.625,1995-04-06
3.875,1995-04-07
3.875,1995-04-10
4.188000202178955,1995-04-11
4.5,1995-04-12
4.25,1995-04-13
4.0,1995-04-17
3.875,1995-04-18
4.0,1995-04-19
4.125,1995-04-20
3.812999963760376,1995-04-21
3.875,1995-04-24
4.0,1995-04-25
3.875,1995-04-26
4.125,1995-04-27
4.5,1995-04-28
4.625,1995-05-01
5.063000202178955,1995-05-02
5.0,1995-05-03
4.938000202178955,1995-05-04
5.25,1995-05-05
5.0,1995-05-08
4.875,1995-05-09
4.875,1995-05-10
5.25,1995-05-11
5.375,1995-05-12
5.625,1995-05-15
5.5,1995-05-16
5.75,1995-05-17
5.625,1995-05-18
6.0,1995-05-19
6.0,1995-05-22
6.125,1995-05-23
6.0,1995-05-24
6.25,1995-05-25
6.125,1995-05-26
6.375,1995-05-30
7.5,1995-05-31
7.125,1995-06-01
7.0,1995-06-02
7.25,1995-06-05
7.0,1995-06-06
7.375,1995-06-07
7.25,1995-06-08
7.25,1995-06-09
7.125,1995-06-12
7.0,1995-06-13
7.125,1995-06-14
6.75,1995-06-15
7.625,1995-06-16
7.75,1995-06-19
7.875,1995-06-20
7.75,1995-06-21
8.0,1995-06-22
7.75,1995-06-23
7.75,1995-06-26
7.875,1995-06-27
7.5,1995-06-28
7.5,1995-06-29
7.875,1995-06-30
7.75,1995-07-03
7.375,1995-07-05
7.5,1995-07-06
7.375,1995-07-07
7.375,1995-07-10
7.25,1995-07-11
7.75,1995-07-12
7.25,1995-07-13
7.5,1995-07-14
8.25,1995-07-17
7.375,1995-07-18
6.75,1995-07-19
7.0,1995-07-20
7.25,1995-07-21
7.375,1995-07-24
7.375,1995-07-25
7.25,1995-07-26
7.313000202178955,1995-07-27
7.375,1995-07-28
7.375,1995-07-31
7.25,1995-08-01
7.375,1995-08-02
7.125,1995-08-03
7.375,1995-08-04
7.125,1995-08-07
7.125,1995-08-08
7.375,1995-08-09
7.75,1995-08-10
8.125,1995-08-11
8.25,1995-08-14
9.0,1995-08-15
8.75,1995-08-16
8.625,1995-08-17
8.5,1995-08-18
8.5,1995-08-21
8.375,1995-08-22
8.375,1995-08-23
8.5,1995-08-24
8.187999725341797,1995-08-25
8.0,1995-08-28
8.0,1995-08-29
7.875,1995-08-30
7.625,1995-08-31
7.875,1995-09-01
8.0,1995-09-05
8.062999725341797,1995-09-06
8.0,1995-09-07
8.062999725341797,1995-09-08
8.375,1995-09-11
8.625,1995-09-12
8.375,1995-09-13
8.25,1995-09-14
8.25,1995-09-15
8.375,1995-09-18
8.375,1995-09-19
8.625,1995-09-20
8.5,1995-09-21
7.75,1995-09-22
7.625,1995-09-25
7.375,1995-09-26
7.125,1995-09-27
7.375,1995-09-28
7.25,1995-09-29
6.938000202178955,1995-10-02
7.125,1995-10-03
7.0,1995-10-04
7.0,1995-10-05
7.125,1995-10-06
6.75,1995-10-09
6.688000202178955,1995-10-10
6.375,1995-10-11
6.625,1995-10-12
6.875,1995-10-13
7.0,1995-10-16
7.125,1995-10-17
7.25,1995-10-18
7.375,1995-10-19
7.75,1995-10-20
7.5,1995-10-23
7.625,1995-10-24
7.063000202178955,1995-10-25
6.875,1995-10-26
6.75,1995-10-27
6.625,1995-10-30
7.375,1995-10-31
7.188000202178955,1995-11-01
7.125,1995-11-02
7.0,1995-11-03
7.125,1995-11-06
7.125,1995-11-07
6.875,1995-11-08
7.0,1995-11-09
7.0,1995-11-10
7.125,1995-11-13
7.125,1995-11-14
7.0,1995-11-15
7.125,1995-11-16
7.0,1995-11-17
7.0,1995-11-20
6.75,1995-11-21
6.25,1995-11-22
6.625,1995-11-24
6.75,1995-11-27
6.875,1995-11-28
7.0,1995-11-29
7.0,1995-11-30
6.875,1995-12-01
7.0,1995-12-04
6.875,1995-12-05
7.0,1995-12-06
6.688000202178955,1995-12-07
6.75,1995-12-08
6.5,1995-12-11
6.5,1995-12-12
6.5,1995-12-13
6.375,1995-12-14
6.25,1995-12-15
6.125,1995-12-18
6.25,1995-12-19
6.25,1995-12-20
7.125,1995-12-21
7.125,1995-12-22
8.5,1995-12-26
8.25,1995-12-27
8.625,1995-12-28
9.5,1995-12-29
9.25,1996-01-02
9.375,1996-01-03
10.0,1996-01-04
9.875,1996-01-05
10.812999725341797,1996-01-08
11.125,1996-01-09
10.25,1996-01-10
10.25,1996-01-11
10.25,1996-01-12
10.5,1996-01-15
10.375,1996-01-16
10.312999725341797,1996-01-17
10.625,1996-01-18
10.718999862670898,1996-01-19
10.5,1996-01-22
11.5,1996-01-23
11.25,1996-01-24
11.125,1996-01-25
10.875,1996-01-26
11.625,1996-01-29
12.0,1996-01-30
13.5,1996-01-31
12.125,1996-02-01
12.5,1996-02-02
12.625,1996-02-05
12.75,1996-02-06
12.625,1996-02-07
12.375,1996-02-08
12.125,1996-02-09
12.375,1996-02-12
10.75,1996-02-13
11.375,1996-02-14
12.0,1996-02-15
11.375,1996-02-16
10.75,1996-02-20
10.625,1996-02-21
10.875,1996-02-22
11.0,1996-02-23
10.75,1996-02-26
10.75,1996-02-27
11.390999794006348,1996-02-28
11.25,1996-02-29
10.75,1996-03-01
10.875,1996-03-04
11.125,1996-03-05
11.125,1996-03-06
11.125,1996-03-07
10.125,1996-03-08
10.0,1996-03-11
9.75,1996-03-12
9.625,1996-03-13
11.0,1996-03-14
10.625,1996-03-15
10.5,1996-03-18
10.625,1996-03-19
10.25,1996-03-20
10.375,1996-03-21
10.25,1996-03-22
9.812999725341797,1996-03-25
9.875,1996-03-26
10.25,1996-03-27
10.25,1996-03-28
9.875,1996-03-29
9.875,1996-04-01
10.0,1996-04-02
9.5,1996-04-03
9.5,1996-04-04
9.437999725341797,1996-04-08
9.5,1996-04-09
9.75,1996-04-10
9.75,1996-04-11
9.687999725341797,1996-04-12
10.0,1996-04-15
9.75,1996-04-16
9.437999725341797,1996-04-17
9.5,1996-04-18
9.875,1996-04-19
10.25,1996-04-22
10.0,1996-04-23
10.0,1996-04-24
9.75,1996-04-25
9.875,1996-04-26
9.375,1996-04-29
9.5,1996-04-30
9.75,1996-05-01
9.0,1996-05-02
9.5,1996-05-03
9.375,1996-05-06
9.375,1996-05-07
9.625,1996-05-08
9.5,1996-05-09
9.5,1996-05-10
10.812999725341797,1996-05-13
10.875,1996-05-14
11.0,1996-05-15
11.0,1996-05-16
11.875,1996-05-17
11.75,1996-05-20
11.625,1996-05-21
11.5,1996-05-22
11.375,1996-05-23
11.375,1996-05-24
11.375,1996-05-28
11.375,1996-05-29
12.25,1996-05-30
12.25,1996-05-31
11.875,1996-06-03
12.0,1996-06-04
11.875,1996-06-05
11.25,1996-06-06
11.0,1996-06-07
10.75,1996-06-10
11.0,1996-06-11
11.375,1996-06-12
11.0,1996-06-13
11.062999725341797,1996-06-14
12.25,1996-06-17
11.625,1996-06-18
11.375,1996-06-19
10.625,1996-06-20
11.0,1996-06-21
11.375,1996-06-24
11.0,1996-06-25
10.0,1996-06-26
10.625,1996-06-27
10.75,1996-06-28
10.875,1996-07-01
10.875,1996-07-02
10.937999725341797,1996-07-03
10.25,1996-07-05
10.375,1996-07-08
10.125,1996-07-09
9.812999725341797,1996-07-10
9.375,1996-07-11
8.5,1996-07-12
8.125,1996-07-15
8.375,1996-07-16
9.75,1996-07-17
10.0,1996-07-18
9.75,1996-07-19
9.0,1996-07-22
8.25,1996-07-23
8.25,1996-07-24
8.375,1996-07-25
8.75,1996-07-26
8.625,1996-07-29
8.5,1996-07-30
9.0,1996-07-31
9.437999725341797,1996-08-01
9.375,1996-08-02
8.875,1996-08-05
8.75,1996-08-06
13.625,1996-08-07
12.25,1996-08-08
12.5,1996-08-09
11.875,1996-08-12
11.875,1996-08-13
12.0,1996-08-14
12.125,1996-08-15
11.5,1996-08-16
11.375,1996-08-19
10.875,1996-08-20
10.875,1996-08-21
11.75,1996-08-22
11.5,1996-08-23
10.75,1996-08-26
10.625,1996-08-27
10.75,1996-08-28
10.75,1996-08-29
10.625,1996-08-30
10.5,1996-09-03
10.375,1996-09-04
10.25,1996-09-05
10.625,1996-09-06
10.125,1996-09-09
10.125,1996-09-10
10.0,1996-09-11
10.812999725341797,1996-09-12
11.25,1996-09-13
10.875,1996-09-16
11.625,1996-09-17
11.5,1996-09-18
11.0,1996-09-19
10.5,1996-09-20
10.5,1996-09-23
10.5,1996-09-24
11.125,1996-09-25
11.0,1996-09-26
11.25,1996-09-27
11.375,1996-09-30
11.5,1996-10-01
11.5,1996-10-02
11.5,1996-10-03
12.25,1996-10-04
12.937999725341797,1996-10-07
13.5,1996-10-08
13.125,1996-10-09
12.75,1996-10-10
13.0,1996-10-11
13.5,1996-10-14
13.375,1996-10-15
13.5,1996-10-16
12.75,1996-10-17
12.75,1996-10-18
12.75,1996-10-21
13.0,1996-10-22
13.0,1996-10-23
13.0,1996-10-24
12.875,1996-10-25
12.0,1996-10-28
11.75,1996-10-29
11.25,1996-10-30
11.25,1996-10-31
10.75,1996-11-01
10.75,1996-11-04
11.5,1996-11-05
12.0,1996-11-06
11.875,1996-11-07
11.687999725341797,1996-11-08
11.875,1996-11-11
11.75,1996-11-12
11.937999725341797,1996-11-13
12.125,1996-11-14
11.75,1996-11-15
12.0,1996-11-18
12.25,1996-11-19
11.875,1996-11-20
12.25,1996-11-21
11.812999725341797,1996-11-22
11.937999725341797,1996-11-25
12.0,1996-11-26
12.125,1996-11-27
12.0,1996-11-29
12.25,1996-12-02
12.375,1996-12-03
12.125,1996-12-04
12.5,1996-12-05
12.125,1996-12-06
11.875,1996-12-09
12.25,1996-12-10
12.0,1996-12-11
11.75,1996-12-12
11.375,1996-12-13
11.0,1996-12-16
11.437999725341797,1996-12-17
12.5,1996-12-18
12.5,1996-12-19
12.437999725341797,1996-12-20
12.5,1996-12-23
12.375,1996-12-24
12.375,1996-12-26
12.5,1996-12-27
13.125,1996-12-30
13.0,1996-12-31
12.5,1997-01-02
12.984000205993652,1997-01-03
13.125,1997-01-06
