CBRE,Date
32.040000915527344,2014-06-30
32.04999923706055,2014-07-01
32.310001373291016,2014-07-02
32.33000183105469,2014-07-03
31.93000030517578,2014-07-07
31.979999542236328,2014-07-08
32.5099983215332,2014-07-09
32.630001068115234,2014-07-10
32.54999923706055,2014-07-11
32.90999984741211,2014-07-14
32.81999969482422,2014-07-15
32.900001525878906,2014-07-16
32.7400016784668,2014-07-17
33.099998474121094,2014-07-18
33.04999923706055,2014-07-21
33.4900016784668,2014-07-22
33.40999984741211,2014-07-23
33.619998931884766,2014-07-24
33.52000045776367,2014-07-25
32.97999954223633,2014-07-28
32.5099983215332,2014-07-29
31.649999618530273,2014-07-30
30.84000015258789,2014-07-31
30.950000762939453,2014-08-01
31.0,2014-08-04
30.59000015258789,2014-08-05
30.209999084472656,2014-08-06
30.479999542236328,2014-08-07
30.5,2014-08-08
30.860000610351562,2014-08-11
30.68000030517578,2014-08-12
31.079999923706055,2014-08-13
30.93000030517578,2014-08-14
30.8799991607666,2014-08-15
31.43000030517578,2014-08-18
31.75,2014-08-19
31.899999618530273,2014-08-20
31.780000686645508,2014-08-21
31.510000228881836,2014-08-22
31.5,2014-08-25
31.549999237060547,2014-08-26
31.68000030517578,2014-08-27
31.40999984741211,2014-08-28
31.780000686645508,2014-08-29
31.780000686645508,2014-09-02
31.469999313354492,2014-09-03
31.110000610351562,2014-09-04
31.329999923706055,2014-09-05
31.139999389648438,2014-09-08
30.81999969482422,2014-09-09
30.530000686645508,2014-09-10
30.6299991607666,2014-09-11
30.040000915527344,2014-09-12
30.059999465942383,2014-09-15
30.31999969482422,2014-09-16
30.170000076293945,2014-09-17
30.270000457763672,2014-09-18
30.3700008392334,2014-09-19
30.170000076293945,2014-09-22
29.950000762939453,2014-09-23
29.81999969482422,2014-09-24
29.719999313354492,2014-09-25
29.979999542236328,2014-09-26
30.010000228881836,2014-09-29
29.739999771118164,2014-09-30
29.18000030517578,2014-10-01
29.020000457763672,2014-10-02
29.579999923706055,2014-10-03
29.459999084472656,2014-10-06
28.829999923706055,2014-10-07
29.5,2014-10-08
29.100000381469727,2014-10-09
28.43000030517578,2014-10-10
27.739999771118164,2014-10-13
28.729999542236328,2014-10-14
28.3799991607666,2014-10-15
28.610000610351562,2014-10-16
28.979999542236328,2014-10-17
29.489999771118164,2014-10-20
29.989999771118164,2014-10-21
30.139999389648438,2014-10-22
30.479999542236328,2014-10-23
30.56999969482422,2014-10-24
30.610000610351562,2014-10-27
31.059999465942383,2014-10-28
30.75,2014-10-29
31.469999313354492,2014-10-30
32.0,2014-10-31
32.310001373291016,2014-11-03
32.16999816894531,2014-11-04
32.08000183105469,2014-11-05
31.799999237060547,2014-11-06
31.8799991607666,2014-11-07
31.809999465942383,2014-11-10
32.63999938964844,2014-11-11
32.709999084472656,2014-11-12
32.689998626708984,2014-11-13
32.400001525878906,2014-11-14
32.52000045776367,2014-11-17
33.13999938964844,2014-11-18
32.91999816894531,2014-11-19
32.95000076293945,2014-11-20
33.4900016784668,2014-11-21
33.79999923706055,2014-11-24
33.5099983215332,2014-11-25
33.540000915527344,2014-11-26
33.7400016784668,2014-11-28
33.310001373291016,2014-12-01
33.34000015258789,2014-12-02
32.959999084472656,2014-12-03
32.95000076293945,2014-12-04
32.90999984741211,2014-12-05
33.09000015258789,2014-12-08
33.560001373291016,2014-12-09
