GIS,Date
0.358686238527298,1980-11-24
0.37183189392089844,1980-11-25
0.37183189392089844,1980-11-26
0.3680758774280548,1980-11-28
0.3661978840827942,1980-12-01
0.3680758774280548,1980-12-02
0.36431992053985596,1980-12-03
0.3680758774280548,1980-12-04
0.3699539005756378,1980-12-05
0.3680758774280548,1980-12-08
0.3661978840827942,1980-12-09
0.3699539005756378,1980-12-10
0.3624420464038849,1980-12-11
0.36431992053985596,1980-12-12
0.36431992053985596,1980-12-15
0.36056405305862427,1980-12-16
0.3661978840827942,1980-12-17
0.38685503602027893,1980-12-18
0.38873326778411865,1980-12-19
0.3981229364871979,1980-12-22
0.409390389919281,1980-12-23
0.409390389919281,1980-12-24
0.407512903213501,1980-12-26
0.40375688672065735,1980-12-29
0.40375688672065735,1980-12-30
0.40563467144966125,1980-12-31
