CB,Date
22.159605026245117,2001-04-30
22.45133399963379,2001-05-01
22.215465545654297,2001-05-02
21.718887329101562,2001-05-03
21.656818389892578,2001-05-04
21.29680633544922,2001-05-07
21.880279541015625,2001-05-08
21.886486053466797,2001-05-09
21.569929122924805,2001-05-10
21.880279541015625,2001-05-11
22.31478500366211,2001-05-14
22.718250274658203,2001-05-15
22.81134605407715,2001-05-16
22.79894256591797,2001-05-17
23.152748107910156,2001-05-18
23.494140625,2001-05-21
22.985158920288086,2001-05-22
23.18378257751465,2001-05-23
23.568639755249023,2001-05-24
23.17757225036621,2001-05-25
23.804506301879883,2001-05-29
24.05898666381836,2001-05-30
24.05279541015625,2001-05-31
23.64931297302246,2001-06-01
24.05279541015625,2001-06-04
24.350732803344727,2001-06-05
24.363143920898438,2001-06-06
24.760404586791992,2001-06-07
24.61764907836914,2001-06-08
24.288667678833008,2001-06-11
24.239011764526367,2001-06-12
24.288667678833008,2001-06-13
24.294870376586914,2001-06-14
23.92864990234375,2001-06-15
23.36379623413086,2001-06-18
22.563072204589844,2001-06-19
22.873416900634766,2001-06-20
22.904462814331055,2001-06-21
23.270689010620117,2001-06-22
22.81134605407715,2001-06-25
23.31413459777832,2001-06-26
23.931116104125977,2001-06-27
24.72882080078125,2001-06-28
24.36111831665039,2001-06-29
24.12430191040039,2001-07-02
24.099388122558594,2001-07-03
23.494869232177734,2001-07-05
23.55717658996582,2001-07-06
23.077320098876953,2001-07-09
22.535137176513672,2001-07-10
22.229761123657227,2001-07-11
22.248462677001953,2001-07-12
22.335702896118164,2001-07-13
22.416725158691406,2001-07-16
22.123815536499023,2001-07-17
21.718740463256836,2001-07-18
21.076824188232422,2001-07-19
21.03943634033203,2001-07-20
20.93971824645996,2001-07-23
20.81507682800293,2001-07-24
20.634353637695312,2001-07-25
20.765228271484375,2001-07-26
20.66551399230957,2001-07-27
20.970876693725586,2001-07-30
21.756132125854492,2001-07-31
21.562925338745117,2001-08-01
21.107986450195312,2001-08-02
21.718740463256836,2001-08-03
21.724966049194336,2001-08-06
22.4354190826416,2001-08-07
22.123815536499023,2001-08-08
22.123815536499023,2001-08-09
22.13005256652832,2001-08-10
22.528902053833008,2001-08-13
22.803112030029297,2001-08-14
22.765718460083008,2001-08-15
22.815580368041992,2001-08-16
22.36686134338379,2001-08-17
21.99917221069336,2001-08-20
21.81220817565918,2001-08-21
21.375965118408203,2001-08-22
21.650177001953125,2001-08-23
21.388431549072266,2001-08-24
21.0331974029541,2001-08-27
20.864938735961914,2001-08-28
20.734067916870117,2001-08-29
20.503480911254883,2001-08-30
20.67174530029297,2001-08-31
20.758996963500977,2001-09-04
21.164079666137695,2001-09-05
21.05190658569336,2001-09-06
20.60318946838379,2001-09-07
20.565799713134766,2001-09-10
17.767606735229492,2001-09-17
16.19712257385254,2001-09-18
14.956944465637207,2001-09-19
13.056167602539062,2001-09-20
12.775728225708008,2001-09-21
14.80737018585205,2001-09-24
15.580158233642578,2001-09-25
15.793319702148438,2001-09-26
17.266700744628906,2001-09-27
18.10055923461914,2001-09-28
18.18206214904785,2001-10-01
18.11937713623047,2001-10-02
21.511266708374023,2001-10-03
21.385875701904297,2001-10-04
20.88430404663086,2001-10-05
20.821596145629883,2001-10-08
22.633533477783203,2001-10-09
22.570842742919922,2001-10-10
22.978378295898438,2001-10-11
23.2228946685791,2001-10-12
23.247968673706055,2001-10-15
24.200973510742188,2001-10-16
23.943899154663086,2001-10-17
23.11004066467285,2001-10-18
22.884323120117188,2001-10-19
23.266769409179688,2001-10-22
23.034801483154297,2001-10-23
23.367088317871094,2001-10-24
