SO,Date
0.3896362781524658,1982-09-10
0.3896362781524658,1982-09-13
0.3896362781524658,1982-09-14
0.3930246829986572,1982-09-15
0.3930246829986572,1982-09-16
0.3896362781524658,1982-09-17
0.3896362781524658,1982-09-20
0.3930246829986572,1982-09-21
0.39980095624923706,1982-09-22
0.39980095624923706,1982-09-23
0.39641252160072327,1982-09-24
0.39641252160072327,1982-09-27
0.3930246829986572,1982-09-28
0.3930246829986572,1982-09-29
0.39641252160072327,1982-09-30
0.3930246829986572,1982-10-01
0.39641252160072327,1982-10-04
0.3930246829986572,1982-10-05
0.39641252160072327,1982-10-06
0.39980095624923706,1982-10-07
0.41335323452949524,1982-10-08
0.42351770401000977,1982-10-11
0.41674110293388367,1982-10-12
0.42351770401000977,1982-10-13
0.42351770401000977,1982-10-14
